accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-4.399817456698308822e-03,-1.041742174938081050e-02,-9.801010687394004606e+00
-4.645838337715339425e-03,7.119167278119523969e-03,-9.803195160361799054e+00
-3.945879809726800485e-04,-4.850130298318470860e-03,-9.793974039473257065e+00
-8.868929773369671477e-03,-6.838980604442914486e-04,-9.799134649049030088e+00
3.256654278904243770e-03,-1.286496631702429715e-04,-9.794912679825962698e+00
-1.247932792280348089e-03,-8.964125199777394151e-03,-9.788475575567263220e+00
3.649663339396978443e-03,-5.857155190723605485e-03,-9.792044361096744254e+00
-5.794887937042443940e-03,-3.647343257805069332e-03,-9.797616941231881427e+00
5.470633047553284146e-03,8.824667875405326151e-04,-9.798317743494870058e+00
2.602641741567047941e-03,-5.269002616172084770e-03,-9.795132544280443554e+00
2.483790729995084714e-04,-5.132809319218553830e-03,-9.797258249290530685e+00
-6.557617209420758472e-03,-4.637150471343522086e-04,-9.786751915620547138e+00
-4.143797085728471909e-04,3.683012588179495825e-03,-9.791693247865589811e+00
1.282401680431184557e-03,-3.077867756994876695e-03,-9.793004539278063802e+00
-4.737043844018962169e-03,8.631166238606251143e-05,-9.787865959954689998e+00
1.276646357357631321e-03,1.366836468829001842e-03,-9.797001477716449358e+00
1.875790430807470653e-03,7.313181612574557247e-03,-9.799429801044492905e+00
2.262034302273850921e-03,1.253631872483546190e-03,-9.802506890078019453e+00
2.888264857293919318e-04,3.368077095780003857e-03,-9.794974816654823613e+00
5.752468229345433434e-03,-7.807662665661941519e-04,-9.791853074502476773e+00
-5.102767072144296853e-03,1.320482190360885684e-03,-9.800250921488386169e+00
-3.503791395385676480e-03,-1.240644692229900085e-03,-9.797333551457541034e+00
-9.045110772484813615e-04,-8.421097680482088647e-04,-9.802546905946028843e+00
-3.937776662948266659e-05,3.077426116438779051e-03,-9.786407510571280000e+00
6.499772525747681516e-03,-6.818695626142296049e-04,-9.802789334966586665e+00
1.317184585531205659e-03,-1.089020645733235768e-03,-9.789801126264855213e+00
4.226113737429389346e-03,-3.915162043202470056e-03,-9.791072214878774105e+00
-9.614452216036233718e-04,-6.567649253991793799e-03,-9.791758197396340790e+00
-3.474751966531657542e-03,-1.751652689115238424e-03,-9.796807987973064513e+00
-1.925120746434035891e-03,2.653229948177780219e-03,-9.798783946521485433e+00
5.646653886948687848e-03,-8.108717833621673522e-04,-9.791057344028212484e+00
-3.912585233609517689e-03,-9.441485041566109390e-03,-9.792840875214656293e+00
-5.805007472486052936e-04,-1.187545197405340432e-02,-9.793732420156709750e+00
-5.375543168480816092e-03,-9.095946553590644398e-03,-9.788469136077166510e+00
-1.254248076837777975e-02,9.709454206657696556e-04,-9.788399985535917835e+00
-3.823386745795646826e-03,-2.706525779523104476e-03,-9.797862940201431670e+00
1.003799987678704979e-02,-2.498667058217615613e-03,-9.796469670304633226e+00
8.826809656866163372e-04,9.802744093598053307e-04,-9.804249865180667101e+00
-7.697643639846833610e-04,-8.115887223828943675e-03,-9.803800132127344469e+00
3.194094290946025705e-03,-5.148336604214962670e-03,-9.790631383543514588e+00
2.984968490141717747e-04,-4.266375727897106507e-03,-9.807734638466564903e+00
6.511442064874736757e-03,1.494839600730469903e-03,-9.800467434677779366e+00
2.435296800260401337e-03,-2.507527830466447626e-03,-9.796233702568436286e+00
-3.706791380665248967e-03,8.351034159085244345e-04,-9.803193572535651157e+00
1.386514903641254638e-03,-4.826822132354041499e-03,-9.791077687066918500e+00
-3.449996494745569044e-03,2.256785433506511914e-04,-9.797024341768851841e+00
3.411055772878885100e-03,-4.903774476596034840e-03,-9.784591451750852542e+00
5.727373063369047002e-03,5.949630738965463496e-03,-9.795009710013006909e+00
4.729596622873342288e-03,5.526007258956570044e-03,-9.784718575258539275e+00
9.939922981823518227e-04,9.457469080032601672e-03,-9.798875565432570767e+00
-7.150562882035373894e-05,-7.679276220893607730e-04,-9.796156958780143142e+00
-3.612170039980687648e-03,1.801263913301663242e-03,-9.787944842140159807e+00
-1.018781470714880816e-02,4.482794138517607989e-03,-9.791159062663258084e+00
1.294951686204922009e-03,-8.705778868421645746e-04,-9.792602656376637071e+00
6.833602735678083809e-03,-3.554133487187635838e-03,-9.785944026476496305e+00
-6.259760996166736187e-04,-2.685651480947086681e-03,-9.803900919368777167e+00
5.812572210814955127e-03,-3.722269401281561745e-04,-9.795412133507415575e+00
5.892336498411990687e-04,6.193867079022868580e-03,-9.793321773919169360e+00
