gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707031130339984316e+06,4.688711966240629554e+06,3.360419947414976079e+06,5.207854238690945436e-02,-1.136119746396941667e-02,-1.274921298286684629e-02
-2.707023580025293399e+06,4.688712224589363672e+06,3.360415152254198678e+06,-7.661235572453094222e-02,-7.790653164159927480e-02,4.019555282088189789e-03
-2.707021406789406668e+06,4.688706869625146501e+06,3.360431329747238196e+06,-7.134948067994577314e-02,-1.214906620968269138e-02,5.669176869849563982e-02
-2.707029232123491354e+06,4.688709192996459082e+06,3.360424239940654486e+06,5.947335438905392707e-02,-1.648769049524404342e-03,-1.669562218198143363e-02
-2.707014503568871412e+06,4.688713039723483846e+06,3.360417581638875883e+06,8.096858936370293636e-02,-8.544784822013732836e-03,1.549391874966742771e-02
-2.707026921148683876e+06,4.688711825899640098e+06,3.360425106056733523e+06,-1.821734239631259914e-03,-9.558977460715209484e-02,4.165074078704100735e-02
-2.707028492707981262e+06,4.688713345490560867e+06,3.360425974434327334e+06,1.444577575319564225e-02,3.542256150365761386e-02,5.783788990121309370e-02
-2.707028910429823678e+06,4.688715243770032190e+06,3.360431021386759821e+06,2.586344431235814909e-02,-4.496534457843624072e-02,5.139854068964629097e-02
-2.707032509781366214e+06,4.688709251592068002e+06,3.360429775918543804e+06,-2.869211417063340010e-03,1.235089434421155277e-02,-2.334665246651265735e-02
-2.707030010378674138e+06,4.688706847228621133e+06,3.360435683911822271e+06,1.765772770901393243e-02,3.243491566006861948e-02,5.258223001921490808e-02
-2.707034508800544776e+06,4.688715872218784876e+06,3.360431256488381885e+06,2.197507532975346081e-02,2.949971333417941363e-02,4.780869024828818953e-02
-2.707028856210211292e+06,4.688715425378044136e+06,3.360434662895893212e+06,-2.865932009018250237e-02,-2.758238701528933565e-02,-9.079424421320937341e-03
-2.707025092041100375e+06,4.688714899561661296e+06,3.360446160418268293e+06,5.370338822127396217e-02,-3.765789019722959319e-02,5.920704514937946694e-02
-2.707032345532912761e+06,4.688714027565953322e+06,3.360430932755657472e+06,-2.272950833260833220e-02,-4.490740312234428600e-02,2.349272169216887890e-02
-2.707029344844974577e+06,4.688718560344010592e+06,3.360419724424916320e+06,1.998224125383073549e-02,-1.574986692430401652e-02,-5.653111996499218805e-02
-2.707036733053599019e+06,4.688717064053035341e+06,3.360429286810773890e+06,-1.031594958558044312e-02,-4.965126254957381857e-02,7.163033335144304570e-02
-2.707034826799483038e+06,4.688713528451142833e+06,3.360437393972979859e+06,1.670332547578458685e-02,-2.507962731737081383e-02,5.030215850941974903e-02
-2.707030213297984097e+06,4.688708094015144743e+06,3.360451975564753637e+06,-6.826861370454527511e-02,7.616205196077072137e-02,-3.380182725459002571e-03
-2.707028756781188305e+06,4.688710418006474152e+06,3.360429873678134289e+06,-3.282260550972361524e-02,-5.810747569818275338e-02,5.375957485263754831e-02
-2.707031698998761829e+06,4.688709772110314108e+06,3.360413504462050274e+06,9.130539381651187059e-02,-7.613497860292726960e-02,4.212210422257863657e-02
-2.707031349472164642e+06,4.688710328108947724e+06,3.360438413754553534e+06,-1.931462799551123335e-02,8.222403267682913686e-02,3.275137872047490656e-02
-2.707020291590097826e+06,4.688713042724371888e+06,3.360427314185858704e+06,-2.666567843886910247e-02,-1.522744397869405311e-02,6.440341944898328452e-03
-2.707028315564630553e+06,4.688713170852303505e+06,3.360438192061799113e+06,7.096832723940489987e-03,4.246704362803380151e-02,9.052999332128684740e-03
-2.707022095045769121e+06,4.688708262778941542e+06,3.360436201559154317e+06,4.945204914066479718e-02,5.352381932737455827e-02,-3.793213643685171971e-02
-2.707025605956401210e+06,4.688719344260862097e+06,3.360432889137137681e+06,-7.693214648522143928e-02,-3.582613211970122561e-03,6.317992174083673917e-02
-2.707036298682614230e+06,4.688714279709745198e+06,3.360431982962691225e+06,4.546132932343216471e-02,-7.110729501533646912e-02,-1.345359011619302325e-01
-2.707029385433726478e+06,4.688706986654556356e+06,3.360431965502392035e+06,1.258696164110721140e-02,-1.855879131726105580e-02,-6.036020729069255936e-02
-2.707031756405304652e+06,4.688708624825381674e+06,3.360422399651400745e+06,-1.227397375294841941e-01,-6.069981979391710081e-02,3.924711202735708948e-02
-2.707034407037517056e+06,4.688710013684745878e+06,3.360437827183957677e+06,-6.008726181927914051e-02,-7.473173513884873165e-02,6.557767763585342635e-02
-2.707027476640959270e+06,4.688704004228531383e+06,3.360422948887707666e+06,-3.197879508443670499e-02,2.971246150302517958e-02,-1.189287537896840767e-02
-2.707030054406229872e+06,4.688712170699174516e+06,3.360426096271073911e+06,-1.914144741441973357e-03,9.789463241146112438e-02,1.110347548836903980e-01
-2.707030289830159396e+06,4.688710053335541859e+06,3.360433806802317034e+06,-3.891031719814456308e-02,-1.125545086883191631e-02,6.128874808187651489e-05
-2.707027442293697037e+06,4.688702526546224952e+06,3.360426789011063520e+06,6.650254440866164296e-02,8.070307150966954390e-02,-3.749234067436042067e-02
-2.707030764076817781e+06,4.688712235874423757e+06,3.360437958872592542e+06,-4.648222723962529973e-02,3.666985310545681914e-02,-3.726497498058429364e-02
-2.707024635929581709e+06,4.688711411494054832e+06,3.360436704063793644e+06,-8.882641918821680346e-03,6.904077007303048574e-02,-1.873929714532128823e-02
-2.707026671047119424e+06,4.688711233731401153e+06,3.360444658843309153e+06,-2.086826340190984369e-02,-1.557952247758075462e-02,-7.725557275164528399e-03
-2.707026904137406033e+06,4.688704465335628018e+06,3.360432252091933973e+06,-4.208256842455691121e-02,-2.322153443130279757e-02,-1.733969937842435791e-02
-2.707024782960266806e+06,4.688715720221660100e+06,3.360428914215522818e+06,1.113709483571065917e-01,7.736492715147556170e-04,-4.977758334336754992e-02
-2.707032809423861559e+06,4.688715104400683194e+06,3.360442887812263798e+06,-7.324962805840361246e-02,-2.205136773668052788e-02,-5.939487418648348172e-02
-2.707027077584537212e+06,4.688728872434347868e+06,3.360424934736724012e+06,1.837039565369251795e-02,8.393498399803278609e-02,-3.206243361809190534e-02
-2.707023561420101207e+06,4.688712108824445866e+06,3.360437595374960452e+06,3.689418328574869260e-02,2.829149308755931139e-02,-6.184891246500040518e-03
-2.707035350071939174e+06,4.688707375978821889e+06,3.360429647514796816e+06,1.120245325764384400e-03,-2.841800265654730387e-02,-5.153520011546133817e-02
-2.707033268194280565e+06,4.688709008609128185e+06,3.360438426368786953e+06,7.210474387925386308e-02,3.589754584772394952e-02,-2.221025201380770302e-03
-2.707030544591719750e+06,4.688711635469799861e+06,3.360422172919316683e+06,-1.037094629660192252e-01,-2.810401002882643995e-02,2.539239268359376467e-02
-2.707028999157726765e+06,4.688712840225183405e+06,3.360417582191205584e+06,1.902607076965405833e-02,2.798142635486080762e-02,7.250397663851222696e-02
-2.707019999068025500e+06,4.688715320508022793e+06,3.360416833576190751e+06,-2.303127336320253630e-03,-3.527660619835495948e-02,1.163513215942026807e-02
-2.707024570417904761e+06,4.688714605141007341e+06,3.360417508430952206e+06,7.543305314860491127e-03,2.250096795607971212e-02,6.467133386541326634e-03
-2.707025421196826268e+06,4.688709510184552521e+06,3.360443932035791222e+06,-3.201256192779901311e-02,-6.196077961559988412e-02,-5.383794601776096395e-02
-2.707036374534128699e+06,4.688714706679473631e+06,3.360428624367422890e+06,-4.282703686068801280e-02,6.459539059358208879e-02,-3.131892744205815038e-02
-2.707024344499750994e+06,4.688709926104181446e+06,3.360436139202639461e+06,-4.525119464027904659e-02,1.273413657547268762e-01,1.035129654698716400e-01
-2.707025116148028988e+06,4.688712766040943563e+06,3.360437876175926533e+06,1.678395715746907810e-02,-1.006139348847045730e-03,-2.048395859861643856e-03
-2.707028011833681725e+06,4.688706683507493697e+06,3.360429012321797665e+06,2.172467740287894675e-02,-6.374088759538062976e-02,5.346059504928483280e-02
-2.707031224995957687e+06,4.688706040946879424e+06,3.360438943407498766e+06,6.065819122384578238e-02,3.979624365055680311e-03,4.372222779017920918e-02
-2.707037821592992172e+06,4.688714432604449801e+06,3.360421684732901864e+06,-3.076387299681967655e-02,-9.086055793999776864e-02,9.346807718089478884e-03
-2.707030510741259903e+06,4.688715613922826946e+06,3.360431941045046784e+06,8.364708028280358476e-02,-7.297501671573512760e-02,4.950832639581880662e-02
-2.707034741210113280e+06,4.688708799637058750e+06,3.360424955170042813e+06,5.916507896191060267e-02,-2.651984954436616571e-03,-3.506660286006385574e-02
-2.707026479155639187e+06,4.688715031149766408e+06,3.360428298663382884e+06,8.177957535890265084e-02,-9.373270746589087987e-02,4.486275499611155904e-03
-2.707029123419476673e+06,4.688716609172397293e+06,3.360433996570565272e+06,6.788655129684183220e-02,-9.577381022792980439e-03,4.157992592660675855e-03
-2.707031571122265887e+06,4.688705638946607709e+06,3.360434292470982764e+06,-1.106061660048766535e-02,1.670943453421653430e-02,-1.153241595262646801e-02
-2.707027823529381305e+06,4.688712202977282926e+06,3.360421843126879539e+06,4.148447713818238553e-04,-2.933554387241273098e-02,1.840107207134978815e-02
-2.707033284436430316e+06,4.688713746876700781e+06,3.360427577956914902e+06,1.431982542347406961e-02,-1.178332784531754829e-02,1.792245300221766494e-02
-2.707030414772642776e+06,4.688718914062469266e+06,3.360428140852930956e+06,-1.058582277044559572e-03,-5.383090962395717383e-02,-2.167227886741746740e-02
-2.707030219130672980e+06,4.688715309195500799e+06,3.360439815839440562e+06,-2.763532471114730354e-02,-6.327325775817316256e-02,-4.599610211748939720e-02
-2.707032740402776748e+06,4.688713388481192291e+06,3.360434141020793468e+06,6.676033962735604399e-02,-3.583944779560176847e-02,3.024724759658847448e-02
-2.707028597713444382e+06,4.688707362670428120e+06,3.360443411833714228e+06,-9.764099575282469273e-03,-6.844644759313651960e-02,-3.484619073602950035e-02
-2.707028426113668364e+06,4.688713392014075071e+06,3.360424381756446790e+06,-1.072626924832559107e-02,3.999936762356483960e-02,7.993637667161589480e-03
-2.707025373052088544e+06,4.688707122838115320e+06,3.360429318969048560e+06,6.582522611000529711e-02,-2.049101041896503328e-02,2.580842052159766989e-02
-2.707029612108509988e+06,4.688705816474546678e+06,3.360439587729108520e+06,3.153561621887737004e-02,4.905819193568679987e-02,3.365982392013545325e-03
-2.707038607575017959e+06,4.688710228073347360e+06,3.360439370579772163e+06,-1.222319409715805910e-01,-5.396089263688447213e-02,-6.446120844072876499e-02
-2.707023036506569944e+06,4.688710661043797620e+06,3.360427460090979002e+06,-1.487901643820765674e-01,-1.408684962621591791e-02,3.895822451199421055e-02
-2.707022991658929270e+06,4.688708189234927297e+06,3.360432449391354807e+06,3.022115537176885483e-02,9.583795392874260022e-02,-2.172012077363268123e-02
-2.707031896728324238e+06,4.688708827171743847e+06,3.360431423460316379e+06,2.184818704495041300e-02,3.636440950699750679e-02,-3.054977722252116487e-02
-2.707027655949425418e+06,4.688701253028653562e+06,3.360418156136291567e+06,5.177514159407937966e-02,-6.336903187761300238e-02,-6.653485603846980012e-02
-2.707021491107168142e+06,4.688712804230082780e+06,3.360426912802872714e+06,-1.730773561471558863e-02,-5.833158000455989506e-02,-3.447814350463047905e-02
-2.707034353864800651e+06,4.688711504013963044e+06,3.360438944892602041e+06,-5.999744235165205448e-03,-5.854817186981212118e-02,-4.670526753360236538e-02
-2.707033147038904019e+06,4.688713293829791248e+06,3.360443481874468271e+06,-1.998265127378787143e-02,-1.637320539923092788e-02,-1.057950008439408757e-02
-2.707036836621069815e+06,4.688718642347506247e+06,3.360427896692900453e+06,-3.269812054016536448e-03,-3.952360985382992464e-02,-3.532335251668049930e-02
-2.707031200662373099e+06,4.688712253154967912e+06,3.360423059407709632e+06,-8.101626099159481287e-02,-2.538388113611648230e-03,5.467257326004396761e-02
-2.707029315120211802e+06,4.688716713800720870e+06,3.360432501025857404e+06,-6.129151815531702630e-02,1.285720857548765250e-02,-1.771270585152764573e-02
-2.707024358126645442e+06,4.688715055061310530e+06,3.360426330282655079e+06,2.370970332953645232e-02,1.496826184704565244e-02,-5.673037335104716417e-02
-2.707024993907434400e+06,4.688721126375542022e+06,3.360439079937807284e+06,-6.937568861364568074e-02,-5.611121838029514003e-03,-6.008347490490435761e-02
-2.707027015071917325e+06,4.688719798787668347e+06,3.360428435743149836e+06,-2.607347163177226729e-02,1.309816043397762642e-01,-5.866378700785223471e-02
-2.707031272960900329e+06,4.688706740909292363e+06,3.360429137050184887e+06,5.375360298684081495e-02,1.282812110418662770e-02,7.160992879454959603e-02
-2.707027119353994727e+06,4.688708779939454980e+06,3.360424916000173427e+06,-6.178461106309839773e-02,-2.957476506922869855e-02,-3.643945934574122775e-02
-2.707028562906542793e+06,4.688720368214519694e+06,3.360424616638089530e+06,5.339450255521747263e-02,-1.331884416110290341e-02,3.353646659728724139e-02
-2.707025354641187470e+06,4.688711245249436237e+06,3.360425865119252354e+06,4.338264309156707708e-03,4.008500510764349996e-03,1.437370774130291434e-03
-2.707025879363150802e+06,4.688712295031618327e+06,3.360429877945651766e+06,-1.469814741331891550e-02,-4.994798680704408411e-02,-2.454342745231168771e-02
-2.707025057983204257e+06,4.688706816594939679e+06,3.360437438683331013e+06,7.021649985012660966e-02,-5.092808379262316054e-02,-7.900139301609258868e-02
-2.707027150977493729e+06,4.688713868854338303e+06,3.360429349293955602e+06,-8.630035967961241505e-02,2.732720136456118915e-02,-7.552933262836040995e-02
-2.707027504243509844e+06,4.688713187016758136e+06,3.360436966387725901e+06,-1.119183711570520025e-02,-2.277964823388039985e-03,4.609104861308629952e-02
-2.707025536791923922e+06,4.688708834204809740e+06,3.360436032407914754e+06,2.954995932645621080e-03,9.223025099249160252e-02,1.621836730907052744e-03
-2.707018451981214806e+06,4.688719123769587837e+06,3.360423552184059285e+06,4.908546685017910888e-02,1.366178542063800905e-01,-2.229467530836364703e-02
-2.707026141670035198e+06,4.688714033272237517e+06,3.360439136863505002e+06,-4.129553727215162784e-02,-3.816299568124558589e-02,6.337697113534450366e-02
-2.707033158393273596e+06,4.688708420924860053e+06,3.360434546962050255e+06,2.730746635314298953e-02,3.128394030281444332e-02,-6.499701868610953392e-02
-2.707022848816853948e+06,4.688714110252086073e+06,3.360423219967755489e+06,6.715194579503923344e-02,-2.173278366136154396e-02,-9.250593250824985445e-03
-2.707027909210419748e+06,4.688712027123677544e+06,3.360421612425749656e+06,6.277887136745256835e-02,1.006312170032281662e-02,1.014818292316374548e-01
