gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-2.929024071394231363e-02,-2.352301041510019598e-03,-4.589947844714083874e-02
2.784775941082894349e-02,4.361111837226706173e-02,1.936615078822776469e-03
4.337444547509866632e-02,-2.188762855431895110e-02,2.745047402928165597e-02
-5.566015009443971845e-02,-2.399172954083499815e-02,1.625862861213693555e-02
-2.434703369581691854e-02,1.351902241217308419e-02,-3.234936531926555208e-03
6.183117169640339056e-02,-3.286879065518218818e-02,3.823887321775428644e-02
-4.478229717816509942e-02,-1.000793535112455002e-01,4.384399535205039944e-02
3.027841674014737292e-02,-6.014771774628722631e-03,-3.258827130309597392e-02
-4.384711404556106265e-05,9.437237329098225463e-03,1.879968775492170049e-02
6.035285361022647149e-02,-2.214033597321785757e-02,-6.076529953230855145e-03
6.484392038438241412e-02,4.145493182132728438e-02,2.589554742674407550e-02
-2.574821324668476880e-02,-1.356594491642833591e-02,-2.408697004284484494e-02
-1.237718041049607138e-03,3.164179211770113548e-02,-3.753474953412054560e-02
-2.665781065565991925e-02,-7.360508830737659547e-02,-3.567123534069596702e-02
5.032675297688957161e-02,-3.213528195602644716e-02,-1.649189484267470779e-02
-6.620851757012756814e-03,2.593797874496829928e-02,2.371191459491256773e-02
-1.288564949482776632e-02,7.357689347715989925e-02,1.284834170373363657e-02
-9.744388519441117558e-02,1.673333860394680267e-02,-1.822130619852145236e-02
-4.519487155757304780e-02,-3.856961760462235614e-03,-5.480152631056583318e-02
-2.653983920250271508e-02,-4.828448229180163503e-02,-8.551504542993966507e-02
-7.329904811215141869e-02,-4.008218728603449299e-02,-2.495551212346869968e-02
-2.330004429164391280e-02,4.124130172134901975e-03,-3.292770264998431170e-03
-2.465246237226964999e-03,-5.152528963557598957e-02,8.182097885505498075e-03
-1.274347729769475801e-01,4.334511441786719627e-02,-3.214189866398387690e-02
-8.685366541082452374e-02,1.246504596206533637e-02,-2.611399487050470453e-02
-4.535904121362831221e-02,5.261257130431493123e-02,2.240098896200035800e-02
-8.027596056008019787e-02,1.923659909108141330e-02,-1.565147320206116896e-02
-7.494387983055127156e-02,3.083651319377426689e-02,5.544823145509569610e-03
5.185418754084349102e-02,-8.537425133594934989e-02,-1.157136701075990246e-03
3.078628549699326256e-02,-2.031342138166043407e-02,-2.603160814235603096e-02
5.064712973768672327e-02,-2.931699006352913792e-02,1.311806119986967493e-02
1.429588619016912421e-02,3.327199113574659528e-02,4.182726784648194140e-02
-2.876917040860032734e-02,1.069799508868735094e-01,-5.813053103879584071e-02
-9.564607236858113648e-02,-1.051196365668020244e-02,4.467011543396302159e-02
4.109744785721770183e-02,-8.222694817150790619e-03,5.505062023245870656e-02
3.331246472158003180e-02,-5.360609974630350938e-02,-3.578994377243852748e-02
-3.347555859234487268e-03,-9.471772361600858461e-03,7.898753751799965361e-02
6.681880652127235309e-02,1.761833214784104887e-02,3.886109937844394163e-03
-9.572729918352874956e-03,4.164106085232754245e-02,3.521708750454833822e-03
-8.723294696917935354e-02,3.189001501411282968e-02,-5.526281413984292235e-02
-3.503245021592928804e-02,-1.810417151330936600e-02,9.155582169960494246e-03
-1.497663648606277487e-02,-5.343717264234666003e-02,-4.557511659171283730e-02
3.713570367744156719e-02,3.821990309291600774e-02,-1.113844488636705002e-02
6.427833933590273996e-02,4.129037297667809137e-03,-1.562887474786258269e-03
-1.092300687407695287e-01,1.834608300934231686e-03,-2.429444221041135790e-02
1.836376222583025256e-02,2.043168425436468066e-02,-3.774775121250725242e-04
-7.509707502662422117e-03,2.969609467380270387e-02,9.146196340578392411e-03
5.682953094710217236e-03,-2.076567125802054881e-02,3.611777534319454697e-02
9.833915790531076728e-02,-1.824153594852178858e-02,4.438363294103847036e-03
-5.898817572427416528e-02,9.026649877094816352e-03,-5.644597553874351747e-02
-8.587127262522382259e-03,-6.276643878707005575e-02,-2.793985763312632417e-02
-1.410447351610000406e-02,-2.551826041760561770e-02,-1.833150485345452080e-02
-4.783392582064761173e-02,-1.278836268551591937e-02,-4.226818148488416249e-02
-5.666775892691117839e-02,4.322986474871832845e-03,9.044407207325508291e-03
2.432287708961232767e-02,-7.611851927510356053e-03,-6.425044983924851905e-02
7.717585316309782950e-02,2.748118901974057338e-02,-9.659441662019246921e-02
2.538982835353275833e-02,7.836754607697532515e-03,3.495439659729464299e-02
-3.824466151242884165e-02,3.723224593720612235e-02,2.042821901625138659e-02
1.833285135890974984e-02,3.764350906803084346e-02,-2.919427561813225241e-02
5.963562595333676136e-02,3.962525747779403751e-02,4.236063315775259741e-02
5.824523026297307934e-03,3.136837880882628604e-02,2.530706739510830278e-02
-4.018247806241626724e-02,-8.307701382259763401e-02,3.140413711063402835e-02
-4.370136584273766334e-02,-3.921217560672414504e-02,-5.804719263375618388e-02
5.040981712849842977e-02,4.677219423213853366e-02,6.033539200358751381e-02
-5.126744529429275513e-03,-1.620773056094181389e-02,-5.033088839649818569e-02
-4.530448182535075363e-02,2.850443891435712473e-02,3.203797793300645902e-02
4.907970667867253556e-02,1.680837160023446186e-02,-3.057822757135038663e-02
-3.675266251411792029e-02,4.333394487364137723e-03,2.567054043377393555e-02
