mag_x (uT),mag_y (uT),mag_z (uT)
3.266613259657202661e+01,-1.607239694687919579e-02,3.784423783254942464e+01
3.267183113050260346e+01,-4.809064163803348536e-03,3.786635161502283609e+01
3.268503545207207139e+01,-7.440214948731922566e-03,3.787090496746713342e+01
3.266262354798841727e+01,7.933065555726894619e-03,3.786391213849847759e+01
3.265545313671994165e+01,1.337404921104387752e-02,3.784296978163416014e+01
3.267423291808322716e+01,-2.023522238760783968e-03,3.785446389877543538e+01
3.267359294449130402e+01,8.429623885316717309e-04,3.786701745707415512e+01
3.267188474519003449e+01,-2.377154888206872013e-03,3.786638044749414433e+01
3.268577513554754432e+01,1.600506481291629618e-02,3.785252241816451857e+01
3.265828238310511011e+01,3.198780420538325977e-03,3.784300235133523671e+01
3.266248953144570066e+01,1.243032366956223385e-02,3.785989382604051912e+01
3.268876371993067664e+01,2.122503386819176927e-03,3.785698896637294553e+01
3.267685523554107618e+01,-8.002833521594913957e-03,3.783755336629035781e+01
3.266687620864134800e+01,-1.128433155869663744e-02,3.785838394029205034e+01
3.268597610103645934e+01,9.976684219290888386e-04,3.786774039272889780e+01
3.267598591076524883e+01,-2.103652758080846921e-03,3.783238625479669537e+01
3.269165314099161890e+01,1.118230685565214239e-02,3.785252615905498175e+01
3.268901709288670077e+01,-7.643397728110975066e-04,3.784557070351543473e+01
3.266679326647076209e+01,1.138820472638041315e-02,3.783958621312781645e+01
3.266109508918768967e+01,-2.061057991145657034e-02,3.786230431743587843e+01
3.267600905856449600e+01,-2.805067446106978765e-02,3.783268242289139494e+01
3.267538654970918799e+01,6.328442933596797187e-03,3.783192747232963171e+01
3.267334804328717013e+01,-1.954963362631358809e-02,3.786329265788735654e+01
3.266668921998819997e+01,9.732069574178461163e-03,3.786559853673187348e+01
3.265486704717316968e+01,4.884188794866718697e-03,3.783489966696263451e+01
3.268751863065541130e+01,1.613126976017310518e-02,3.785242255201615791e+01
3.266916163257283046e+01,1.035214456953581497e-02,3.785919693216433046e+01
3.266049439191871784e+01,-2.490170540576831446e-03,3.786917712571006689e+01
3.267716774794318013e+01,-8.291721828362330279e-03,3.785895477301206569e+01
3.267410326663438980e+01,8.623227034579628025e-03,3.783806260110318220e+01
3.266670547482786446e+01,5.564916068322948474e-03,3.783038862964611582e+01
3.265912876054905212e+01,1.536093717573212142e-02,3.784871946054187219e+01
3.267566863284557854e+01,6.085202328443399707e-03,3.782560424894183626e+01
3.265779487736561038e+01,2.141300413702128171e-03,3.783396008668783139e+01
3.267925643121596835e+01,9.638722300248767430e-03,3.786703502814542333e+01
3.267943560615798759e+01,-1.877669345162258146e-03,3.784649945809812976e+01
3.268282164760796604e+01,-2.819261429844463485e-02,3.784501844824980310e+01
3.266286328814823037e+01,-3.026081950782517297e-03,3.784068076886302379e+01
3.267662561245118980e+01,-1.789864974476034973e-02,3.785866421065006193e+01
3.265178199826306837e+01,-5.273736544670790897e-04,3.784525026565416539e+01
3.267771111092079650e+01,2.194902394718226298e-03,3.784356636336998037e+01
3.268295971464677052e+01,7.272754378265728833e-03,3.785760320501309906e+01
3.268227364111999123e+01,6.910462550439584566e-03,3.784635063598260984e+01
3.267058043754553154e+01,-2.406159017020651544e-03,3.785791227843182583e+01
3.268469703519248526e+01,4.236889021740240444e-03,3.784225188583020127e+01
3.266670189096296184e+01,2.043209116456818839e-02,3.784374033149116912e+01
3.266984616138143593e+01,9.251147279472017940e-03,3.785285211080195467e+01
3.265720132052173597e+01,-1.891131756383302234e-02,3.786629005899848721e+01
3.267299013154496379e+01,3.386584103024378040e-02,3.785906154771317489e+01
3.267071368027651346e+01,3.674480509978899322e-03,3.785120621593699042e+01
3.266624829626461235e+01,-3.583246596965190822e-03,3.785345213486684202e+01
3.266821219995394188e+01,-4.196759696759290448e-03,3.786711418947125196e+01
3.267739259338601698e+01,-1.285504596992478703e-03,3.786834721429254103e+01
3.267112342418366211e+01,2.188069220150012754e-03,3.785559966383458885e+01
3.268845739056859401e+01,3.804440564535297060e-03,3.786992966610112177e+01
3.268542766618374174e+01,-1.413912909340164954e-02,3.784951228138963586e+01
3.266909729056382616e+01,1.886472863656666818e-02,3.785909844712359984e+01
3.266266591512542306e+01,-2.374011427290122905e-02,3.784800260180357157e+01
3.267630212614742646e+01,-4.449052442879611671e-03,3.785334192730126546e+01
3.267230566964502003e+01,-1.012795328764676869e-03,3.786249881383451310e+01
3.266572495961453626e+01,-1.284460115970061317e-03,3.783448544084836840e+01
3.267333619985323878e+01,-3.709958708985374928e-03,3.783410855873284362e+01
3.269502721964124703e+01,-1.794312488180592469e-02,3.784596766632378007e+01
3.266449400284110993e+01,1.370142868418864832e-02,3.786579039849259232e+01
3.267612390877597761e+01,-5.077621512224106924e-03,3.785533644365676054e+01
3.267668003486535611e+01,4.558917574789273473e-03,3.783120670868048308e+01
3.267162384618282545e+01,-7.116499724414091302e-03,3.785949579036746826e+01
3.267199839406318773e+01,7.230211461413183112e-03,3.786097854316822975e+01
3.266370661650956464e+01,-1.592520734715820868e-02,3.785020444818559326e+01
3.266631525040341444e+01,-7.709841045927407106e-03,3.787400570721639781e+01
3.267993683101605740e+01,6.675605869608802756e-04,3.783304131865553188e+01
3.267723606272333114e+01,-5.317434839644501719e-03,3.786447530002081407e+01
3.265636230247449134e+01,-8.254591434391783319e-03,3.786683743965295434e+01
3.266836328253192079e+01,1.300454509693854850e-02,3.787204495198258059e+01
3.265312586166696462e+01,-2.430271394702823717e-03,3.785573838280991765e+01
3.265675212196006072e+01,-6.213142224345704831e-03,3.785402022454528037e+01
3.267754354209830581e+01,-1.647983950919585175e-02,3.787418107000215173e+01
3.267295860948612329e+01,1.092143582511025807e-03,3.784327010448344453e+01
3.268299695085255507e+01,6.195169004640696184e-03,3.784748422651342281e+01
3.266142735888829662e+01,1.406917487451282180e-02,3.784541080473198349e+01
3.266762212754172623e+01,5.105415120843772789e-04,3.785710705463343118e+01
3.267406776696548576e+01,-1.733967980224291813e-02,3.784824037968130028e+01
3.267501599416362978e+01,-4.435741720426131934e-03,3.785745877131451209e+01
3.266850968411537792e+01,-2.483530853394079973e-04,3.785216784079201346e+01
3.264934819571855229e+01,2.576768183308366170e-02,3.787610797465215029e+01
3.266995433023492978e+01,4.127389081474946118e-03,3.784407610280458556e+01
3.266187131763509655e+01,-3.991886929210808170e-03,3.783951000745999949e+01
3.267816023995489871e+01,-4.610878371872392367e-04,3.784207192996825597e+01
3.269583185691640637e+01,-2.577244470960137878e-03,3.785930752135020327e+01
3.267267178015971041e+01,1.225846957566739844e-02,3.786129998689821008e+01
3.267417841662613398e+01,4.657569195559987767e-03,3.784252595927620177e+01
3.266257445296646722e+01,-9.268053186951997341e-03,3.786914444755032605e+01
3.267205753927451184e+01,1.671642220737646516e-04,3.784504897171744631e+01
3.267222627345228148e+01,1.001714598407431843e-02,3.785781715346735155e+01
3.265891208851149941e+01,-1.338427410231124090e-02,3.784520316934858641e+01
3.267362123340200242e+01,-7.302502837005454307e-03,3.784857227454029527e+01
3.265247538346813627e+01,4.841419763803752468e-03,3.783952124266825479e+01
3.267565929135805902e+01,2.188727122522823171e-03,3.784679644269533583e+01
3.266084921025472454e+01,1.591730897219215124e-02,3.785063626090393996e+01
3.266370086202830691e+01,1.170729484571854558e-02,3.786529607960162025e+01
3.267495360940854709e+01,2.124007578556251150e-02,3.784917857677352515e+01
3.267217718191879072e+01,-1.486004253412397114e-02,3.785180989523181694e+01
3.265931557867927637e+01,3.085411338124787860e-03,3.786521537428883732e+01
3.268186458993751842e+01,2.882469814082542180e-03,3.784171953101681396e+01
3.267522450376092280e+01,-2.413992661551733103e-04,3.783829562006550873e+01
3.266619249644446654e+01,-4.500663269322860253e-03,3.785388586640504371e+01
3.267692084252269780e+01,1.662946172206528875e-04,3.785623435740598097e+01
3.267347833844152660e+01,2.554559228236969945e-02,3.785084934135274182e+01
3.267381990638990885e+01,-9.111491848392367851e-04,3.786089059903193998e+01
3.267903125935949760e+01,1.128297681110580590e-03,3.783871080027647338e+01
3.267039829804333806e+01,7.126686521343035714e-03,3.784644399038425178e+01
3.267605242154192524e+01,-7.246443025909075214e-03,3.784653553212673671e+01
3.267103579289395299e+01,7.367888069895024185e-03,3.784419394909487977e+01
3.266982909637597032e+01,-7.839926541833602824e-03,3.785220709771061820e+01
3.267523506075443152e+01,-4.988928568733392958e-03,3.785076231832708515e+01
3.266671253084997772e+01,1.080828494102245053e-03,3.785594539055856700e+01
3.265903377344955061e+01,1.180098015807859967e-02,3.785076140215244322e+01
3.268711255080091860e+01,-1.913587855270158788e-02,3.786094527518611841e+01
3.267622291679777646e+01,3.305816003132353584e-04,3.785333508290283078e+01
3.266545363279170289e+01,-7.610206680144043952e-03,3.786414315344091364e+01
3.265500288871384527e+01,-1.412934589626415466e-02,3.785088669009681439e+01
3.266764696933105228e+01,-3.731391367549056429e-03,3.788162462334540947e+01
3.266038835664446793e+01,-2.328469754109705955e-02,3.785430184197118564e+01
3.265441240445292692e+01,-4.235832566425738917e-04,3.785387412810654695e+01
3.267581127965870280e+01,1.369442731555639732e-02,3.786701366096707488e+01
3.267710754793720440e+01,-2.177051679603750692e-02,3.784302801657021575e+01
3.267068751227392198e+01,5.634182084543110959e-03,3.785726229521143438e+01
3.267417213441640911e+01,8.146583997979841771e-03,3.785991727612859847e+01
3.265690790384322639e+01,-7.712730218024657462e-03,3.784176540199077721e+01
3.267270031527116458e+01,1.289419428490547193e-02,3.785608022730574618e+01
3.267898544613867529e+01,-9.958699258837049127e-04,3.784480985907075734e+01
3.264718154582713794e+01,-4.829475984887875856e-03,3.785059711589560294e+01
3.266706340065060488e+01,1.708060922423717057e-02,3.785072530401905055e+01
3.267580887419233449e+01,1.456554744675483699e-03,3.784995265101193240e+01
3.266775177232059946e+01,6.504878050668206138e-03,3.785577815637466159e+01
3.267792175501875818e+01,4.892440945970639998e-03,3.784992111628662315e+01
3.267106179383296904e+01,-7.259044073722317400e-03,3.785524959222519215e+01
3.268767742944861254e+01,-1.490554984370136109e-02,3.784907244768314882e+01
3.267670656199980783e+01,-5.764152850466973572e-03,3.784820729144377793e+01
3.266959422764532661e+01,2.054132781169370689e-02,3.786456017232426774e+01
3.267532917719121599e+01,6.873708583064987859e-03,3.785348583888993090e+01
3.268014526845799139e+01,-7.868951529966633843e-03,3.786146581095310637e+01
3.267552912778825913e+01,-1.457412653019033756e-03,3.785316937511466051e+01
3.268042618795621479e+01,-8.606824154644490688e-03,3.784981916822341930e+01
3.266175176693847959e+01,-1.295855668849750682e-02,3.784672882541439520e+01
3.267755385394320200e+01,-1.125992324141852213e-02,3.786224533635566303e+01
3.265503275754548440e+01,-1.751552674773920954e-03,3.785561011681990351e+01
3.267618819908774697e+01,-1.101231445899131245e-02,3.785273405701433802e+01
3.266900592260103764e+01,-2.946272881678699447e-03,3.784437178111100764e+01
3.265296992850993973e+01,4.568445262126761240e-03,3.785134383668550129e+01
3.267489322514063588e+01,-3.435274054716255278e-03,3.786479625237069513e+01
3.266317705709418817e+01,-2.060899682946494560e-02,3.783674495606071986e+01
3.266204799907549017e+01,-5.590231841327025601e-03,3.785283493887765616e+01
3.264875883669543555e+01,-5.848415996886732054e-03,3.785805958736970922e+01
3.267360806872731160e+01,2.381939781363794865e-03,3.784522313121293990e+01
3.267190439911900768e+01,-4.098855901677554876e-03,3.785568194726600666e+01
3.268047272461977570e+01,2.201765851394351520e-02,3.784921003813671092e+01
3.265601116690682915e+01,-1.351947715300267413e-03,3.785102058759574817e+01
3.267064017977667589e+01,5.039104056983005966e-03,3.785595188834425784e+01
3.267683577410847562e+01,-2.584902563438989508e-03,3.787478999656637058e+01
3.266090809457076460e+01,-3.329891868220955647e-02,3.784745511210911673e+01
3.268278633111497555e+01,9.952128422408704558e-03,3.783066124895042748e+01
3.265938417972925834e+01,1.169439962349099263e-02,3.784951880030332916e+01
3.267422054542402776e+01,-1.051418312179128005e-02,3.784949186427945733e+01
3.268776329785436729e+01,2.047019663445502277e-02,3.784542046049247688e+01
3.267880916684688231e+01,-1.414668737036391469e-02,3.785843442053211305e+01
3.268087659056871530e+01,-7.603533812924089148e-03,3.785162242997996174e+01
3.266132617570121965e+01,3.580800697554861831e-03,3.786465084674804160e+01
3.267083219053641585e+01,-1.152854734093091034e-02,3.785030886777656889e+01
3.265327598670549492e+01,8.371784907731869008e-03,3.784617062821451583e+01
3.267453234251230754e+01,1.313037996798678379e-02,3.785178888508333017e+01
3.266951284303959113e+01,-9.019208230659617187e-03,3.784087220997521683e+01
3.268446635302505143e+01,6.834995559688165565e-03,3.784481119810554617e+01
3.268286859549021273e+01,-4.660693863902620922e-03,3.784347845382559683e+01
3.268054889159866860e+01,-5.475081415473619616e-03,3.786884376650624517e+01
3.265757843630480295e+01,-1.439459740594311275e-02,3.787430522285706758e+01
3.268239736804277840e+01,-2.250029118093609115e-02,3.784430387459420331e+01
3.266297959599874901e+01,-9.893692802235296360e-03,3.785315415148529183e+01
3.266327305316959695e+01,7.150659382223422365e-03,3.784329569164471252e+01
3.268250513733080709e+01,-4.706177520777451301e-03,3.784326323541439763e+01
3.265660600978075223e+01,-2.665469154689950691e-03,3.785714043703679010e+01
3.267033546901661367e+01,5.821369808144790303e-04,3.785489362869155627e+01
3.267773012525617560e+01,1.384510696460938828e-02,3.784736405139049964e+01
3.268082626826328152e+01,1.846919488362444225e-02,3.783940662620403117e+01
3.267260766026840457e+01,5.308817758135078550e-03,3.785529779410296669e+01
3.266359149394970274e+01,1.959115156767965785e-02,3.785544646115609169e+01
3.266765069802072219e+01,1.230445692646641408e-02,3.785276560697550252e+01
3.266638460695575219e+01,-9.900429641465247760e-03,3.785806585607892316e+01
3.267812454307659920e+01,-7.826246720075988664e-03,3.785576407681398337e+01
3.268195087519838893e+01,-2.416728651292670768e-03,3.784189030472685999e+01
3.267478947583776261e+01,3.949766808504836385e-03,3.787250415650778734e+01
3.265660375654966430e+01,1.908698551087557004e-04,3.784395346335421806e+01
3.264767485150835569e+01,-2.011818033740304587e-02,3.784602504661705780e+01
3.266839246219655735e+01,-9.383430720390111609e-04,3.784851287494943506e+01
3.266812579597553423e+01,2.291483952876421839e-03,3.786192088588892091e+01
3.265202563401074087e+01,-1.857748777195242923e-02,3.786690070068404879e+01
3.267560301025196878e+01,1.283010514336875400e-02,3.785158912065336523e+01
3.267222831085863533e+01,8.807132458121645505e-05,3.784629237576565686e+01
3.267519158196039086e+01,-9.233107589256087447e-03,3.784431840950424686e+01
3.266047033394129073e+01,-2.885621017049469581e-03,3.785815476685971248e+01
3.268109321740414686e+01,4.760184227037742542e-03,3.785353406320522396e+01
3.264743773305994523e+01,-7.646194480409020111e-03,3.785246843817458995e+01
3.266771268508615123e+01,-1.036630857927741192e-02,3.783111392519386129e+01
3.268649358965046758e+01,7.640611262570003344e-03,3.786093767606023874e+01
3.266227744053040283e+01,-5.482144346184889341e-03,3.783634827231828979e+01
3.265276827055969733e+01,-3.062866825121137240e-03,3.784596001183692238e+01
3.267112947432161008e+01,1.163859615062975798e-02,3.785244522748657658e+01
3.267760767148585899e+01,1.952282452886887343e-02,3.784233635868225321e+01
3.265809800639783589e+01,4.242917822133471240e-03,3.782909479872498792e+01
3.267269034684935036e+01,-6.730637425453160367e-04,3.784593245899903025e+01
3.267084440348972407e+01,-3.946332754512711302e-03,3.783770796372086664e+01
3.267161013996906149e+01,1.099498646631014544e-03,3.785704542635039616e+01
3.266848892065187471e+01,-4.377712775272931864e-04,3.784156481718560627e+01
3.269096357921821294e+01,-7.566638534607442179e-03,3.784708070367592114e+01
3.265086913573590266e+01,-1.106189289082098320e-02,3.786209863165858280e+01
