accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
4.050432220893715463e-02,-2.037486223160287629e-02,-9.760332770531949365e+00
-4.674419115989202761e-02,2.517155326247978372e-03,-9.751091803118724144e+00
-3.313041500300046432e-02,8.601402234782810907e-02,-9.748591190965898434e+00
1.029539899951586145e-02,2.097432783925219646e-02,-9.691905649506944442e+00
2.163827500549912741e-02,-3.247254527070830843e-02,-9.762033988807424123e+00
-4.161829279331694803e-02,-3.840928114107362845e-02,-9.723888971057006003e+00
2.330542789207891083e-02,9.480682869801597759e-03,-9.761276175166575086e+00
2.143239616768908076e-02,1.947965507715347655e-02,-9.792882916686215466e+00
3.517517889892460021e-03,1.556968615928113094e-02,-9.861980763222467417e+00
8.049997923593395915e-03,1.193248922395180600e-02,-9.838052234911449645e+00
4.106511661031314597e-02,1.797459039912205694e-02,-9.827419620785580179e+00
2.298894710761241640e-03,7.039509312036247753e-03,-9.744609859505974470e+00
-9.877279109036882915e-03,4.953953322593027814e-02,-9.738782369637386083e+00
4.707075660802269301e-02,1.762999326468666153e-02,-9.815849908306919502e+00
5.989800521110984211e-02,-4.778612656873115760e-02,-9.664227858337065769e+00
-1.180602556154717805e-02,2.226778764289131032e-02,-9.831193060784022109e+00
-1.113374069561128415e-01,5.453975939845107784e-02,-9.741370829239661688e+00
-2.269087984678997555e-02,-8.120900070960205067e-03,-9.807400280508067780e+00
-3.785399433084603998e-02,-7.213355627603505911e-03,-9.746043405102795987e+00
6.545249942639311258e-02,1.541853520982963514e-02,-9.837335074702872717e+00
-1.287304517475919632e-02,3.778973901221755610e-02,-9.808057919545861481e+00
5.310782667024163684e-02,-4.605251077598145060e-02,-9.776677536732208296e+00
3.495787404712717705e-02,-6.945168151465655818e-03,-9.719885032132792091e+00
8.818709285591076058e-03,-8.077613333979002941e-02,-9.904457104504491127e+00
2.933414407191575410e-02,-3.895377956685805443e-02,-9.827828914285293038e+00
-3.770907985267521641e-03,9.374747576322334242e-02,-9.831252674230199773e+00
4.184134696312215990e-02,-2.781200433357263954e-02,-9.746203576463518203e+00
1.226781190679701247e-02,1.486806963958008272e-03,-9.801640077635006776e+00
-2.513701939023378282e-02,8.440221646171221226e-02,-9.835273326546570161e+00
-4.839806119081664984e-03,3.327222163031979402e-02,-9.869692288105097688e+00
1.990667223418504661e-02,2.543902886731427143e-02,-9.747921934240018516e+00
3.472913677871270616e-02,1.355082210524782491e-02,-9.852499784421070217e+00
6.759403387597455459e-02,-5.311617409625537384e-02,-9.773391356142534292e+00
2.312386830214923153e-02,3.009767440864440091e-02,-9.794743507842781582e+00
-6.263129065138810236e-02,5.709047553240997885e-02,-9.778267570355829719e+00
6.886696925636225097e-02,-1.780752035117010371e-02,-9.825136874997602021e+00
1.603440475917624480e-02,-5.589117188875575293e-02,-1.000815957168271453e+01
1.317982243758416411e-02,4.845418829833372798e-03,-9.746373430709924790e+00
-1.000922960444229348e-01,-2.245406045343718501e-02,-9.841896356835832194e+00
-4.596707852341408440e-02,-5.815558160267277066e-02,-9.830140348526104077e+00
-1.957628798779704332e-02,2.806752984160497746e-02,-9.906002298962304664e+00
1.034532787044217528e-01,-5.463832960444202358e-02,-9.739978883534933018e+00
3.963984832337076603e-02,-7.848239015647583139e-02,-9.663717834164746279e+00
-1.556927159682200759e-02,-5.879536543673410942e-02,-9.780312971517107101e+00
-5.359846064152416073e-02,1.013868549493887050e-01,-9.798259101816563899e+00
5.493922736445004847e-03,-4.042373921181446894e-02,-9.756555409816973778e+00
7.508405135502639605e-03,-4.267244658448049455e-02,-9.948739030252156113e+00
3.158828977806738686e-02,3.942140356614819846e-02,-9.639952205190954970e+00
-6.861615601911656703e-02,1.440778792424923099e-02,-9.750957988457118475e+00
2.872375793989817832e-03,-1.442119842296712452e-02,-9.883583367722520663e+00
