gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707062594862561673e+06,4.688793495755538344e+06,3.360484226297267713e+06,-1.881906322445264346e+00,1.014501812842112383e+00,5.818116992237604146e-01
-2.707066086067563388e+06,4.688788681087344885e+06,3.360483981913870666e+06,-9.439910076530726446e-01,2.290065266000509858e+00,3.732755188055492557e+00
-2.707083409678620752e+06,4.688789082721898332e+06,3.360492416079350747e+06,5.600690163754221684e-01,3.505719211866149987e+00,-1.475358638383541754e+00
-2.707075258905859198e+06,4.688791597246234305e+06,3.360464001921183430e+06,3.225813601265912767e-01,1.693757939821918246e+00,-3.556306585486352922e+00
-2.707057048842511605e+06,4.688771403461026028e+06,3.360480757214484271e+06,3.055135857741757555e+00,1.607249420721361899e+00,-2.044354297659544351e+00
-2.707079356336334255e+06,4.688776572181811556e+06,3.360487397611383814e+06,-3.761433463899941820e+00,-3.021086151619091442e+00,-1.339529104226766743e+00
-2.707077389409387019e+06,4.688781849380631931e+06,3.360479558904874604e+06,8.075859637161654225e-01,1.316874137748367923e+00,2.791918090285982146e+00
-2.707082012978293467e+06,4.688782799249383621e+06,3.360499978077960666e+06,-2.571877285801953406e+00,-2.282280469103390885e+00,3.751377901148958305e+00
-2.707071042270177975e+06,4.688769282911949791e+06,3.360475600891787559e+06,-2.006914226317314115e-02,2.824263010254595141e+00,2.466404406242476810e+00
-2.707067179702186491e+06,4.688807608868983574e+06,3.360499652693712618e+06,-8.995746134283947315e-01,1.424965246004549879e+00,-2.784117099974507958e+00
-2.707073219513747841e+06,4.688785976228455082e+06,3.360480109816679731e+06,1.392497352174722813e+00,3.339074994408241626e+00,1.611828371213447131e+00
-2.707071968214399181e+06,4.688774630257789046e+06,3.360495768623167649e+06,-1.686322074494322809e+00,9.516252721342357557e-01,-3.829518933037976858e+00
-2.707065561055057216e+06,4.688781857481272891e+06,3.360515365323787089e+06,1.620005835136277828e+00,4.003444481909544939e-01,-7.919903109866343049e-01
-2.707091988414258696e+06,4.688773637711887248e+06,3.360471397146395408e+06,1.878682220252551049e+00,-9.672287485550863373e-01,3.695130630315218045e+00
-2.707063262801522389e+06,4.688773673744498752e+06,3.360484279584876727e+06,-1.620249037676440240e+00,-1.838328248813738242e+00,1.869471971800018562e+00
-2.707070091090422124e+06,4.688799218107755296e+06,3.360471903075088747e+06,-1.746147898273243237e+00,2.882299575306522588e+00,1.351993249306238321e+00
-2.707052914326105732e+06,4.688772386189226992e+06,3.360460134466704912e+06,-1.577425562141800519e+00,-2.070426205039487932e+00,2.312196449662289321e+00
-2.707063194318511058e+06,4.688792082814360037e+06,3.360484836050601676e+06,2.338626048915247446e-02,3.824687181604291553e-01,-4.330624673854224227e+00
-2.707070136470698286e+06,4.688785521882082336e+06,3.360500995938219130e+06,1.743963283571284828e+00,-3.648530696435814402e+00,8.515186123930253981e-01
-2.707062218464218546e+06,4.688786191521088593e+06,3.360486326357032172e+06,1.058265695689735997e-01,6.311940952159246498e-02,-1.601149931411192551e+00
-2.707068287385590374e+06,4.688783593819384463e+06,3.360439467022839934e+06,-2.649710996346080538e+00,1.667316420614838091e+00,4.460949444157908061e+00
-2.707057566100259777e+06,4.688784771876514889e+06,3.360458713098661043e+06,1.129920807263435689e+00,-1.381056217338948455e+00,2.523669852609198738e+00
-2.707070027515670285e+06,4.688785686860186979e+06,3.360508879648529459e+06,-3.417384498093751360e-02,-2.868774651100665540e+00,1.148944373262180685e+00
-2.707066731943701394e+06,4.688783271255817264e+06,3.360475652263815515e+06,-5.736564959132769287e-02,1.015048577912082139e+00,8.725768227302301838e-01
-2.707084290743828751e+06,4.688765658830237575e+06,3.360500633398866281e+06,-1.078926705226136207e+00,1.756271705405834327e+00,4.569305521882861321e+00
-2.707069257359286305e+06,4.688785632736857980e+06,3.360494687989441212e+06,8.313093738318807491e-01,3.458787686626457192e-01,1.862420288005129931e+00
-2.707063843319859821e+06,4.688789992246665061e+06,3.360478998318017460e+06,-1.313556890383617226e+00,4.784266701627598040e-01,-1.760123026563199744e+00
-2.707071596451296937e+06,4.688786839993612841e+06,3.360499664479485247e+06,4.113972204531634702e+00,-9.221480406784970940e-01,4.100453948905913748e+00
-2.707081695863692556e+06,4.688786079757046886e+06,3.360510575455396902e+06,3.212545157118141148e+00,-1.813606485234947829e+00,-4.169650454874279100e-01
-2.707064603638380300e+06,4.688775511922004633e+06,3.360485048799657263e+06,-2.271376477140488070e+00,5.537263335046803403e-02,2.299890059647347496e+00
-2.707071964115824085e+06,4.688788240384268574e+06,3.360455407193639781e+06,-6.145013752143807517e-01,2.624938512412058778e+00,3.589114946454026178e+00
-2.707066210290692281e+06,4.688781816435191780e+06,3.360485342163304798e+06,-1.580220535558279238e+00,-8.993362284461273726e-01,-2.395983169115107059e-01
-2.707066497544721700e+06,4.688777477975543588e+06,3.360466745077020489e+06,-2.112452998512829083e+00,2.410062610927230509e-01,1.168368514787758494e+00
-2.707077850972480606e+06,4.688786558090113103e+06,3.360485578378185164e+06,9.672106463215591754e-01,1.297472055178824579e+00,6.909116928523941770e-01
-2.707067559201320633e+06,4.688786536395926960e+06,3.360478793382605538e+06,-2.062969930657928275e-01,-6.200618844858991618e-01,4.221300853821664312e+00
-2.707066879957478959e+06,4.688803513321872801e+06,3.360496767707169056e+06,1.484904770319550593e+00,-3.453536480019355093e+00,-2.025243375363067866e+00
-2.707071734844703227e+06,4.688801009059911594e+06,3.360491090817098040e+06,-1.066120133556820671e+00,-1.938129635027614484e-01,4.808797992319704395e-01
-2.707058950895850547e+06,4.688782372942024842e+06,3.360485248428266495e+06,-2.384399710194243571e+00,-6.268419819815567173e-01,4.733338000177586657e+00
-2.707064656970907003e+06,4.688800747827198356e+06,3.360482355761593673e+06,1.992307187667850199e+00,2.760939923263729057e+00,4.108362133060126098e+00
-2.707077327071427833e+06,4.688783409284533933e+06,3.360489139629947022e+06,-6.050354585118694617e-01,2.409841388957053354e+00,-5.592291855005195877e+00
-2.707069074764609337e+06,4.688794373857868835e+06,3.360481778069715481e+06,2.816664570634134779e-01,3.328658768133486989e-02,2.217028464917790487e+00
-2.707060740978497546e+06,4.688796892848959193e+06,3.360481003110096324e+06,-2.124910679835480209e+00,-1.049508233913557742e+00,2.469780929129778535e+00
-2.707073058253051713e+06,4.688784632654059678e+06,3.360449349636619445e+06,-1.850609320410568914e+00,-9.894775065306699036e-01,3.948112870465458002e+00
-2.707066170640283730e+06,4.688780522550281137e+06,3.360507079369359650e+06,-2.686431661103777291e+00,-1.186647497705816789e+00,6.201124765558332363e+00
-2.707082892218733206e+06,4.688783965347229503e+06,3.360490028541578446e+06,-4.522893047363880648e-01,5.761322780938245014e-01,-2.704938142956075264e+00
-2.707068235080667306e+06,4.688810375644841231e+06,3.360483582385244314e+06,-2.967469081794888996e-01,8.583838800228945631e-01,-7.221356813839318045e-01
-2.707063169664223678e+06,4.688778049894949421e+06,3.360501547483312897e+06,-9.076663720953682957e-02,1.460914894335705538e+00,3.964807256431999605e+00
-2.707081629737070762e+06,4.688785039915242232e+06,3.360467614802066237e+06,1.522212186604744444e+00,-2.713436325774720159e-01,2.888240769610358250e+00
-2.707086760965727270e+06,4.688784553031330928e+06,3.360463567206969950e+06,2.342215537873608255e+00,2.576132063644299475e+00,-2.643462970357466357e+00
-2.707071329825798515e+06,4.688793049759237096e+06,3.360473810019925702e+06,2.251050662929553692e+00,8.152062969219450173e-01,3.398491294719039324e+00
-2.707070665351773612e+06,4.688794084837138653e+06,3.360473347721162252e+06,-1.469398396349272273e+00,1.974089796012510112e+00,-4.390270489249386898e+00
-2.707061747461048421e+06,4.688792523589680903e+06,3.360473534038111102e+06,2.203130367578617577e+00,2.405612772711568148e+00,1.618971607235073273e+00
-2.707073106933470815e+06,4.688790651994494721e+06,3.360488156566810794e+06,-9.096166074100628940e-01,-1.121908023665732612e+00,-1.184308956298386173e+00
-2.707074933312295936e+06,4.688784773140920326e+06,3.360505460976904724e+06,6.959200381250463252e-01,-2.188183740459546112e+00,-1.273778295046351872e+00
-2.707077827258212492e+06,4.688777981964717619e+06,3.360484255849339999e+06,5.017905715750742290e-01,5.238626711064100050e+00,7.820784794273962781e-01
-2.707061429291505367e+06,4.688795157996010967e+06,3.360475973787476774e+06,2.588248427414875152e+00,-2.704197153276496124e+00,1.281021089750988273e-01
-2.707070823976661544e+06,4.688794232823810540e+06,3.360485676820052788e+06,9.067851979461668543e-01,3.803904945760198331e+00,-2.006467027167360140e+00
-2.707084652521214448e+06,4.688773592963265255e+06,3.360504968708657660e+06,-9.276058923604325601e-01,-1.191829680316637052e+00,2.653810222415890596e+00
-2.707078947744739242e+06,4.688769502738933079e+06,3.360496193765631411e+06,1.184161400838629197e+00,7.750908816202262130e-01,1.041871937293098460e+00
-2.707074768911469728e+06,4.688794536811309867e+06,3.360475340748053975e+06,-1.471814304734809786e-01,-3.038092204031595855e+00,-1.892011461789772753e+00
-2.707065489612540230e+06,4.688777298678107560e+06,3.360475342273573391e+06,-2.705806567951624109e-01,9.244144565816359016e-01,-2.034322712640822761e+00
-2.707059106893976685e+06,4.688785425371970981e+06,3.360501523766844533e+06,2.533345641889309441e+00,2.156579483312262568e-01,3.160986065630473352e-01
-2.707080410385266412e+06,4.688798576601875015e+06,3.360485676831560209e+06,4.592229378081176261e-01,-7.305048995023685210e-01,1.239884278716894661e+00
-2.707053785985923838e+06,4.688800252489277162e+06,3.360497655249038711e+06,8.350445205734260412e-01,-2.420917016305135228e+00,-3.798933899984031637e+00
-2.707068680872822180e+06,4.688790418715072796e+06,3.360514544981156942e+06,3.290201386617384038e-01,2.664423222918843592e-01,3.519226828030615817e+00
-2.707084265752475709e+06,4.688803184491973370e+06,3.360489119892564602e+06,3.266236465446183956e-01,1.254073141550912318e+00,-1.247197206447597573e+00
-2.707059460006338079e+06,4.688783279877391644e+06,3.360472544019173831e+06,2.972616127664210239e+00,-2.823579164092504534e-01,1.025959815156186838e+00
-2.707070996454543434e+06,4.688794912517971359e+06,3.360488849887012038e+06,7.647545628197134349e-01,-6.629271884693646033e-01,-2.803072119745443125e+00
-2.707074117857569829e+06,4.688778722560516559e+06,3.360493831253790762e+06,2.268112640175238948e+00,2.971558276501859996e-01,-1.404365598423140682e+00
-2.707076330430332106e+06,4.688791494415787980e+06,3.360481321537321433e+06,2.758832564651506836e+00,2.248615512340156997e+00,8.518261392468273741e-01
-2.707056465847750194e+06,4.688790653727207333e+06,3.360486459588234778e+06,1.701802521567767457e+00,1.125703219922632670e+00,6.208425337038590897e+00
-2.707084469214015640e+06,4.688776250951929018e+06,3.360489153896288481e+06,4.254667615348136422e+00,-1.475228570295036956e+00,-7.271915284482081132e-01
-2.707066362100751605e+06,4.688791766337247565e+06,3.360465737568171229e+06,-3.269004928643739927e+00,1.171904556284438570e+00,3.607057717555230081e+00
-2.707077188237671275e+06,4.688776753492544405e+06,3.360511034676064737e+06,2.770359621984011866e+00,2.292362735920320471e+00,-2.656429106506543292e+00
-2.707071892292641569e+06,4.688780679521804675e+06,3.360486969092368148e+06,5.025924115414284188e+00,-2.118142095128354718e+00,-2.719106713328729441e+00
-2.707070106143790763e+06,4.688784421149285510e+06,3.360491547893513460e+06,4.272248164826240036e-01,-5.383978513258108833e+00,5.549293471673180100e-01
-2.707068864696121775e+06,4.688793757627713494e+06,3.360487418123099022e+06,-8.205493885773651463e-01,3.489523520579793647e+00,2.253397640405154778e+00
-2.707058298960450571e+06,4.688797778710070066e+06,3.360511913982382044e+06,-1.677740640797904526e+00,6.427066187061031277e-01,-1.735390467684135629e+00
-2.707068221624623053e+06,4.688773980314254761e+06,3.360458002421129961e+06,-1.101071342236261685e-01,-9.526833390956490621e-02,-1.563380905165334678e-03
-2.707061136153103784e+06,4.688782183721663430e+06,3.360476984564034734e+06,3.124567102364581572e-01,-2.064000823034649379e+00,-2.881877173188961194e+00
-2.707066649906871840e+06,4.688783241951721720e+06,3.360461177355839405e+06,7.250932980129185523e+00,-4.501807618705258585e-01,2.923533804662545421e+00
-2.707069303514100146e+06,4.688780977706312202e+06,3.360486485173963476e+06,5.040090669207666352e-01,-3.268284753144258925e+00,-5.265544769210611875e+00
-2.707066577874843962e+06,4.688791028714539483e+06,3.360504650387404487e+06,2.236034181004293409e+00,-2.549907654147007818e+00,8.377163918351341332e-01
-2.707072669293869287e+06,4.688788458260511979e+06,3.360472775145743974e+06,2.617438023078299647e+00,-6.959982299670387507e-01,1.460579604927183528e-01
-2.707054567016852554e+06,4.688788963590548374e+06,3.360511593173854519e+06,5.217805372712536638e+00,-1.747496561460919473e+00,-2.585383979796266107e+00
-2.707071978210733738e+06,4.688800209886778146e+06,3.360469548993750010e+06,7.687700642081458646e-01,-1.504093752954067442e+00,-2.366532294625373289e+00
-2.707066558248186950e+06,4.688789095750108361e+06,3.360523437926112209e+06,4.214356549094013360e+00,-6.718262180413500095e-01,3.120143251429906339e+00
-2.707055187539706938e+06,4.688802444846723229e+06,3.360479333610469475e+06,5.621815035457411014e+00,-3.941535886872101629e-02,-6.043316262205522094e+00
-2.707064312184940092e+06,4.688779390274251811e+06,3.360487293370535132e+06,2.414627219093561372e+00,1.837160058870375812e+00,-3.646319438136651936e+00
