gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-1.103127385233651364e-01,-5.204141103687908165e-01,2.663277558320150118e-01
4.928764400697630554e-01,-3.925498684310654851e-01,2.129885267916565572e-01
1.547266896285736104e-01,1.126673894516646013e-01,-4.656855214974361390e-01
-5.930445446163034040e-01,2.179715612563988825e-01,-1.966730968449412753e-01
6.509621778531817782e-01,1.755465206678188672e-01,2.513980449203961562e-02
-8.281142313436700153e-01,4.253688935643790830e-02,1.102370223769460061e-01
1.917971904794529836e-01,4.595344543736882281e-01,-6.780219376466792292e-02
-5.846783435223452674e-01,2.449612578668990126e-01,-7.471022075584167199e-01
-2.604264865799219009e-01,-2.065808072057243594e-01,1.972567096443086088e-01
-6.029865843247288471e-01,7.431937957311827991e-02,-6.880171811346987853e-01
1.774156041614842125e-02,-5.239230499986519130e-01,5.652826034787120091e-02
5.561658294921907331e-01,-2.043950255371332347e-01,-6.229849175304704723e-01
-2.768060665155158695e-01,1.655931092974334898e-02,3.445369236441521155e-01
1.020420289196411062e-01,-2.031257296548116126e-02,-8.383470456157988693e-01
4.387619779342870063e-01,4.592866820056177302e-01,-5.226567370822605696e-01
5.093873087719164895e-04,2.569439987794210345e-01,4.769224518127699874e-01
-5.961053485594900447e-01,-2.348615703981176417e-01,9.439742146788725197e-02
-4.055428188669224498e-01,-4.987757787550127220e-01,-7.311419767474214293e-01
-2.629320650339520560e-01,7.455867493440957450e-01,-1.095869310268749341e+00
4.739485268482843822e-02,-2.273974660341373522e-01,2.621571755028931361e-01
-2.787568678122182564e-01,4.580074231680444363e-01,4.618174073080115183e-01
4.425697430626526208e-01,-2.061627567998497168e-01,1.732783887639016973e-01
6.120747432422891238e-02,8.947955112301498870e-01,-2.220756025084262286e-01
-6.602099555961454813e-01,1.964001962127602807e-01,2.282074152518901167e-01
1.282367471824129024e-01,-4.130711760034917468e-01,-8.199744536154275620e-02
3.118727637013208320e-01,3.862762951856663629e-01,-7.586185015655576569e-01
-3.345990600267771953e-01,1.461804007729048671e-01,7.762782798858495203e-01
-2.239873788695203871e-01,3.265797888738960486e-01,-8.365350070192852927e-01
-3.702895719784381479e-01,-1.359900358399542541e-01,1.237860564666066893e-01
-3.783044038510297025e-01,-5.705952488771486308e-01,9.073555754068783619e-03
5.324378163298084665e-01,1.440049287555420277e+00,3.199218618557246874e-01
-1.796221732058951026e-01,-1.272936110723477121e+00,-2.637097277495966674e-01
-5.295107626486407204e-01,1.907616538935419728e-02,2.448974197027372068e-01
1.016466841794327891e+00,-2.348641240258549923e-01,6.197557048314812356e-01
7.371393437923844383e-01,-4.129118541179434970e-02,6.176829016351504942e-01
3.535194334359187951e-01,3.145806343584265363e-01,-6.159504022871355872e-02
7.469044145461820605e-01,1.731746039708486617e-01,2.930940209232217319e-01
-1.014883191405281937e-01,7.577561382561232017e-01,2.637492658868413886e-01
-7.514750755666464721e-02,-4.082507675668329283e-01,-5.051840856187309603e-01
3.148196195010558585e-01,4.890956405810080176e-01,1.750646567448540802e-01
-5.042473038084416270e-02,-3.653642905399489549e-01,-3.511896217969263101e-01
3.634359500714830493e-01,3.819846197208725536e-01,4.185506824838553658e-02
1.872264906425556430e-01,-1.447646801860789922e-01,-2.194009583019233267e-01
-6.010129826862736779e-01,2.155285229446098679e-03,1.070737939339634126e+00
1.180453767011770648e-03,5.550379899152388941e-01,-1.787235013075861856e-01
1.903977855057112645e-01,7.183629216654613403e-02,4.040054043020926966e-01
-3.226008264775325762e-01,4.756502535745526367e-02,1.163731443737615390e+00
-1.833315584222230607e-02,-9.048550948651137849e-02,1.032254491078823389e-01
9.361766948327883420e-02,-3.049278585064532088e-01,1.088230775448318033e+00
-2.791066445154179454e-01,-2.709927226799556128e-03,1.296210620071480135e-01
1.425999405132183651e-01,8.230937488421161685e-01,-3.921948630606431618e-01
-5.695456805130478806e-01,1.543890620736939612e-01,-2.283591441276611525e-02
1.296039041812436232e-01,-1.102385211122644398e-01,5.802560223272116291e-01
-1.217920923034085945e-01,2.857700637127825183e-01,-2.994843618773769256e-01
-1.427062510311086496e-01,1.014473063820647392e+00,6.144931919130586229e-01
1.256463743806053024e-01,-9.231285399397558267e-02,3.334008262976342896e-02
3.251416807764485606e-01,5.189094099226149170e-01,-6.832882519695414603e-01
5.229595187674983270e-02,-2.823074414531762111e-01,7.231856704149774995e-01
6.273151771479709149e-01,2.696945311774170406e-01,-1.866258959960557517e-01
-4.640957956817907959e-02,-1.131807898302671228e-01,-4.315955555031891211e-01
-5.097297962464522048e-01,-6.686768674018525593e-02,-3.528709134180210705e-01
-3.293974594205898998e-01,2.759553049844004624e-01,-3.212155935339313095e-01
3.365865433923444922e-02,2.319479690516563497e-01,-2.070296211918805640e-01
-2.080226485097393940e-01,8.504547603409449985e-02,5.427108414436601080e-01
8.078134811245795133e-01,-5.416767022120037023e-01,7.009202324827887853e-01
-4.232223699072278911e-01,5.541736453919441363e-01,2.557257948078222043e-01
1.003635278640445383e-01,2.518575622501513789e-01,7.030387870187256860e-01
-3.033354048428658079e-01,3.696541547382077297e-01,-4.338340138681329172e-01
-2.740350716227913930e-01,-3.224627918710942232e-01,-1.011512567800342044e+00
3.255907335693635773e-01,5.087113188907562700e-01,-2.415762285725220893e-01
2.493317782426158688e-02,-1.623932913923173404e-01,-1.174449766352694935e+00
5.604031570095439375e-03,-5.944295061662596691e-02,-2.878058783596657011e-01
-2.387916194764618805e-01,5.170562094562169975e-01,2.426250662966657479e-01
6.071311911002004180e-01,-1.461148128745068664e-01,2.962319550879047303e-01
-3.116014036870016768e-01,4.090054360571094769e-03,-7.450251357329016333e-01
-7.072159828539743842e-02,6.448677061460732218e-02,-2.945603503788594701e-01
-2.574257089117632513e-01,8.548288192112264705e-02,-1.218926204087246584e-01
5.695964417979653138e-01,-4.303581514212444920e-02,-3.533086195351426428e-01
-3.083902185262094586e-01,3.355084042029605196e-01,4.825954834263264659e-01
-9.926574330114110167e-02,-1.532205140820701306e-01,-3.621409883119468542e-01
-7.633887821070847179e-01,-8.300666958515335869e-01,1.754165680572788433e-01
2.078341566382870542e-01,-1.855478172828265715e-01,-8.048871897663818498e-01
7.398584549502873475e-01,3.954858869654025444e-01,5.780521824847096868e-01
3.401526173246368079e-01,1.484672025369841164e-01,-1.280718641656506673e-01
-3.378682831840558731e-01,-8.461757745791789187e-01,-2.383039903372968088e-02
9.146757067989069734e-02,4.019064551551722042e-01,-9.857666141825785489e-02
-1.100793122744721936e-01,3.007858703598416117e-01,-6.271118991806318155e-02
-1.179052560308271741e-01,-5.381520815271564340e-01,8.850747665688632471e-02
1.570758337647751024e-01,1.022063172560186306e+00,-2.330754193383842710e-01
1.270924862449324677e-01,5.720586782996883030e-02,1.005832491648853244e+00
-4.625870943426468873e-01,-1.371885808327020229e-01,-5.229964371876566487e-02
6.422678045321422724e-01,6.391491700827777178e-01,-2.515331364131944691e-01
4.863022831201290197e-01,-7.916703962435345590e-03,-1.254775967313283558e-01
-5.646421474877331148e-01,-1.531945143267464948e-01,3.169208612844640616e-01
-1.885590000818440082e-01,-1.000465897435800278e+00,-2.490505422218020903e-01
