# IMU数据（从gnss-ins-sim转换）
# 坐标系: NED（北-东-地）
# timestamp gyro_x gyro_y gyro_z accel_x accel_y accel_z
# 单位: s, rad/s, rad/s, rad/s, m/s^2, m/s^2, m/s^2
0.000000 -0.0019253205 -0.0090829397 0.0046482962 0.0405043222 -0.0203748622 -9.7603327705
0.010000 0.0086023167 -0.0068512877 0.0037173511 -0.0467441912 0.0025171553 -9.7510918031
0.020000 0.0027004902 0.0019664169 -0.0081277456 -0.0331304150 0.0860140223 -9.7485911910
0.030000 -0.0103505799 0.0038043214 -0.0034325931 0.0102953990 0.0209743278 -9.6919056495
0.040000 0.0113614333 0.0030638648 0.0004387724 0.0216382750 -0.0324725453 -9.7620339888
0.050000 -0.0144533199 0.0007424088 0.0019239990 -0.0416182928 -0.0384092811 -9.7238889711
0.060000 0.0033474925 0.0080203893 -0.0011833715 0.0233054279 0.0094806829 -9.7612761752
0.070000 -0.0102045622 0.0042753805 -0.0130393934 0.0214323962 0.0194796551 -9.7928829167
0.080000 -0.0045452997 -0.0036055153 0.0034427791 0.0035175179 0.0155696862 -9.8619807632
0.090000 -0.0105241012 0.0012971179 -0.0120081651 0.0080499979 0.0119324892 -9.8380522349
0.100000 0.0003096486 -0.0091441822 0.0009866043 0.0410651166 0.0179745904 -9.8274196208
0.110000 0.0097069249 -0.0035673662 -0.0108731380 0.0022988947 0.0070395093 -9.7446098595
0.120000 -0.0048311773 0.0002890145 0.0060133037 -0.0098772791 0.0495395332 -9.7387823696
0.130000 0.0017809694 -0.0003545213 -0.0146319162 0.0470707566 0.0176299933 -9.8158499083
0.140000 0.0076578411 0.0080160648 -0.0091220809 0.0598980052 -0.0477861266 -9.6642278583
0.150000 0.0000088905 0.0044845188 0.0083238671 -0.0118060256 0.0222677876 -9.8311930608
0.160000 -0.0104040010 -0.0040991077 0.0016475458 -0.1113374070 0.0545397594 -9.7413708292
0.170000 -0.0070780574 -0.0087052796 -0.0127608348 -0.0226908798 -0.0081209001 -9.8074002805
0.180000 -0.0045890302 0.0130129436 -0.0191265276 -0.0378539943 -0.0072133556 -9.7460434051
0.190000 0.0008271962 -0.0039688345 0.0045755059 0.0654524994 0.0154185352 -9.8373350747
0.200000 -0.0048652252 0.0079937375 0.0080602343 -0.0128730452 0.0377897390 -9.8080579195
0.210000 0.0077242992 -0.0035982189 0.0030242784 0.0531078267 -0.0460525108 -9.7766775367
0.220000 0.0010682720 0.0156171278 -0.0038759505 0.0349578740 -0.0069451682 -9.7198850321
0.230000 -0.0115228375 0.0034278301 0.0039829708 0.0088187093 -0.0807761333 -9.9044571045
0.240000 0.0022381535 -0.0072094521 -0.0014311254 0.0293341441 -0.0389537796 -9.8278289143
0.250000 0.0054432066 0.0067417932 -0.0132403906 -0.0037709080 0.0937474758 -9.8312526742
0.260000 -0.0058398553 0.0025513293 0.0135486119 0.0418413470 -0.0278120043 -9.7462035765
0.270000 -0.0039093172 0.0056998926 -0.0146002902 0.0122678119 0.0014868070 -9.8016400776
0.280000 -0.0064627722 -0.0023734739 0.0021604743 -0.0251370194 0.0844022165 -9.8352733265
0.290000 -0.0066026574 -0.0099587658 0.0001583634 -0.0048398061 0.0332722216 -9.8696922881
