mag_x (uT),mag_y (uT),mag_z (uT)
3.252647217119874057e+01,1.070594786116908920e-01,3.992958609760444944e+01
3.399610045632635291e+01,-6.217356074561777857e-02,3.823428551561629973e+01
3.380530053399188972e+01,8.929205037720763238e-01,3.702206213476866026e+01
3.299551823166684983e+01,-1.197524575539766767e+00,3.775721647169768147e+01
3.345584476307578115e+01,-4.708277076192413091e-02,3.944569412571120637e+01
3.333854938353518804e+01,-1.575614765566138109e+00,3.818769668909069992e+01
3.133064564222456028e+01,-7.241462532160357346e-02,3.881750097655758225e+01
3.146931267518090891e+01,9.102104981051144517e-01,3.792403888556574287e+01
3.333750935941826299e+01,-1.549707809608430020e+00,3.898161916215260447e+01
3.207377321984546370e+01,3.025501063271480162e-01,3.965111747128239728e+01
3.413020529876327913e+01,1.006330197891460054e+00,3.615534457482763742e+01
3.545383657675571953e+01,-8.746229554744148205e-01,3.787503781539491143e+01
3.174076207915909364e+01,-1.701211799297955185e+00,3.647598795680703176e+01
3.215599123346084554e+01,2.479712165338749941e+00,3.852495250701859675e+01
3.478181017066613379e+01,-6.955675360522369788e-01,3.997680882078797993e+01
3.218805771128389637e+01,-9.439404456948990996e-01,3.784546031700690349e+01
3.371204623336203099e+01,1.564562468947431340e+00,3.902976197511341638e+01
3.143546135730905178e+01,6.765952669657898655e-02,4.011689283404059836e+01
3.343536648819229384e+01,-4.938356445632410274e-01,3.852079427708662962e+01
3.291445033031656919e+01,8.957675593567971939e-01,3.788218385042977587e+01
3.384444000853552836e+01,1.726176597704747462e-01,3.924777386872346341e+01
3.396126072136726037e+01,-3.815086031826445817e-02,3.765377428756548284e+01
3.399857576454405006e+01,-1.162172467815560051e+00,3.755440999218494369e+01
3.070551419651193115e+01,5.235753767025432825e-01,3.734052915963837904e+01
3.308523724270861521e+01,-1.892510826927944922e+00,3.774964934705921138e+01
3.416293124622053057e+01,-8.470173200584606432e-01,4.008643508716454562e+01
3.263879500969687086e+01,-1.875524563990320914e-01,3.791411658334644130e+01
3.442283149039653978e+01,1.023212403576413632e+00,3.746702391025232970e+01
3.442280837640937818e+01,9.486049516317338615e-01,3.701409759630931262e+01
3.292229224071164850e+01,5.648014024908487585e-01,3.870596391310423456e+01
3.394886106922604085e+01,2.701498964815749956e-02,3.800473641422935600e+01
3.472589147971357448e+01,-9.498233476820860596e-03,3.871406349683246617e+01
3.189164646325307828e+01,-7.414170077241167833e-01,3.728271442266267854e+01
3.108464106538314553e+01,-6.187081940930058135e-04,4.078585989245706855e+01
