ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
