gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707028955108885653e+06,4.688713469717654400e+06,3.360425724484620616e+06,-9.101185245403956015e-02,3.490063475193216219e-02,8.595311855044249216e-02
-2.707029702600287274e+06,4.688709003805209883e+06,3.360427622541964985e+06,-9.623962391170080843e-02,-3.980173990810085063e-03,7.886630153801400811e-02
-2.707033515512024052e+06,4.688708390305992216e+06,3.360438124080712441e+06,1.410585989108455451e-01,2.415381754716885987e-02,2.092081656251114086e-01
-2.707028071298068855e+06,4.688709693631076254e+06,3.360434234774250537e+06,-4.141756325829212132e-02,-6.370472453024218773e-02,2.015225565437401001e-01
-2.707030042709791102e+06,4.688708443027835339e+06,3.360430769709567539e+06,-2.830937839346205423e-02,-2.954250854131567836e-02,-1.614768819875541869e-02
-2.707025124006911181e+06,4.688715605060688220e+06,3.360424090028028935e+06,-1.648615856813454572e-01,6.008075875316352260e-02,-1.608052851223186128e-02
-2.707030274175795261e+06,4.688715306408367120e+06,3.360425524528338108e+06,2.061595099319447066e-01,-7.411286079897791423e-02,-2.118859767127395932e-01
-2.707024092488989234e+06,4.688713171169796959e+06,3.360423883439783938e+06,-7.127588343989535447e-02,3.225590990208952041e-02,-1.924619398283157826e-02
-2.707024848928526510e+06,4.688707382605710998e+06,3.360429162644468714e+06,2.610502307620922013e-03,9.522922023063662422e-02,1.045950635268956541e-02
-2.707026447973800823e+06,4.688706326356966980e+06,3.360432290260157548e+06,1.348753447082645142e-02,-6.334326063608738955e-02,1.315203039538796748e-01
-2.707027296661845408e+06,4.688712583140850067e+06,3.360429511506276205e+06,-5.296105082718544077e-02,4.964876294406366658e-02,3.349372384555988208e-02
-2.707029237009324133e+06,4.688707715468356386e+06,3.360428773789702915e+06,-1.090435058185982159e-01,-2.657096753710427514e-02,5.034738261884982163e-02
-2.707026703967258800e+06,4.688710948902568780e+06,3.360428277871652506e+06,1.368485745402697462e-01,-3.908051890061783190e-02,1.731720771635910650e-01
-2.707032451842429116e+06,4.688709587634300813e+06,3.360437485259966925e+06,4.358330410870247390e-02,-9.406740522184700581e-02,1.197981025579551717e-01
-2.707030387026869226e+06,4.688713398246897385e+06,3.360436542730057146e+06,-3.651040577055142400e-02,-2.105928346330823708e-02,6.108159315388063393e-02
-2.707027641805056017e+06,4.688708149436906911e+06,3.360431170554448385e+06,-1.411777601566827911e-01,5.327381977826137205e-02,6.333900190800972885e-02
-2.707030000897054095e+06,4.688710584226000123e+06,3.360435251154677011e+06,-4.901165221878987788e-02,-1.249373438155947230e-01,-2.488329905688060895e-01
-2.707031892889394891e+06,4.688708088006656617e+06,3.360433804507410154e+06,-1.258087586851669992e-01,-1.489713152406053898e-01,1.528242759572276122e-01
-2.707032550318799913e+06,4.688717327099381015e+06,3.360433727259007283e+06,-1.661114612945354882e-02,-7.236005126957632816e-02,-1.048466917078340055e-01
-2.707033744825637434e+06,4.688715248092824593e+06,3.360436287593153771e+06,-1.193916886498774463e-02,-4.690575387687673237e-02,5.639106054450711975e-02
-2.707030626652257983e+06,4.688718311252042651e+06,3.360421598844686057e+06,1.035235756468471380e-01,1.081149974102211218e-02,-1.818087749979487300e-01
-2.707027654706291854e+06,4.688711634696385823e+06,3.360435561091368087e+06,-5.871396047124639861e-02,-7.498118104056089930e-03,-1.710301239776084239e-02
-2.707028338074145839e+06,4.688714188802359626e+06,3.360429537416583858e+06,1.822449324989300692e-02,1.533807605298417864e-02,8.599666518435099272e-02
-2.707023616502227262e+06,4.688711110245371237e+06,3.360430880401978735e+06,1.581613517839199762e-02,-1.339210207066851011e-01,-8.577654782363620944e-02
-2.707026149025453255e+06,4.688715568449752405e+06,3.360428734071110375e+06,5.154694322479347335e-02,-6.069950180820417318e-02,-1.314922215902529414e-03
-2.707027538112716284e+06,4.688715201574999839e+06,3.360433384582605213e+06,-8.566333795284974961e-02,1.051330525071619004e-01,-1.101825407807926899e-01
-2.707032706964358222e+06,4.688713511130074970e+06,3.360433854901978280e+06,-1.240454800340002467e-01,-8.068400778544368435e-02,7.076234368310850564e-02
-2.707030291932129767e+06,4.688711667136166245e+06,3.360438745378979016e+06,1.261105497149933585e-01,-8.941960324695182039e-02,5.997469552976018164e-02
-2.707025775237245020e+06,4.688712823813276365e+06,3.360429082013528328e+06,-1.067823659790552021e-01,-2.245569579858004271e-03,-2.233706488868828222e-01
-2.707031333424871787e+06,4.688711230372188613e+06,3.360428468594097998e+06,1.456411057631009087e-01,-4.224691070394376302e-02,-1.136436507818669103e-02
-2.707030546609546058e+06,4.688716468223915435e+06,3.360433393769487273e+06,-9.255057652401876833e-02,-5.168439294361920622e-02,1.745480468875602875e-01
-2.707025236596006434e+06,4.688714092517560348e+06,3.360437734076739755e+06,8.516371434314193994e-03,3.714037236715440893e-02,2.024544708682525507e-01
-2.707032269146417268e+06,4.688709010938117281e+06,3.360432850878736936e+06,-1.340164730102499369e-01,1.540358448891515353e-01,-2.605924419586196430e-02
-2.707027217041457072e+06,4.688709629671958275e+06,3.360433225177421235e+06,-2.591761457935736965e-02,-4.820807530564494292e-02,1.489607471305313402e-01
-2.707030013159296010e+06,4.688708154191674665e+06,3.360434542081333231e+06,5.209641689207822335e-02,-4.543282947939444871e-02,-1.527010908546150292e-01
-2.707027951670562383e+06,4.688719431605016813e+06,3.360427950375916436e+06,-7.806010581805074289e-02,1.819460075888281944e-02,1.486118535680792940e-01
