gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-3.707517126166335469e-02,2.995110906144983140e-02,-3.878308374128720121e-02
-7.084932491422466470e-03,6.991708057253330499e-02,5.879403524645547552e-02
7.474882118481136761e-03,7.574599490320695072e-02,-1.925136650529662638e-02
5.350979836598673128e-02,-4.516678217848180132e-02,1.145246392562022063e-02
5.539336404613883630e-02,-3.709177714235534218e-02,1.580245094541923162e-02
-3.697589939682005555e-02,2.688246957180661506e-02,-1.512163687977591438e-02
-4.980268070151232240e-02,1.934935121520301934e-02,-2.553130396403746963e-02
-1.470103385472069056e-02,1.667500568869504166e-02,7.373800119952189647e-02
-9.303877614617248049e-03,-1.026996499186015772e-02,6.311095243647339703e-02
-2.535264987305529613e-02,-4.959425643011156765e-02,5.731901938983054168e-02
5.138710509569530127e-03,-3.154136742157201238e-03,4.346628280373951436e-02
-2.311664943070684819e-02,3.398149944102828862e-02,1.188946201329999230e-01
4.126721932569326484e-02,5.048271820087943743e-03,-3.089267152187663568e-02
-3.765565791708378601e-02,-2.024261498410133767e-02,1.222757924060633404e-02
2.002746616076600018e-03,4.995596641090110229e-02,1.056855550122332531e-02
4.986682235289048581e-02,-4.347587220293955973e-02,-6.794162331503465768e-02
6.905504858130570751e-03,1.486319981352529802e-02,5.765282500226982278e-03
2.924239166151307648e-02,5.621997519795236820e-02,-1.597771494266864503e-02
6.251479772210673247e-02,-2.637151730015496048e-02,4.896692857226417339e-02
-4.309214501641417221e-03,-1.274499994704923062e-02,3.964925686296506130e-02
-5.655672695411787659e-04,-4.417808814602160877e-02,3.354778141220358945e-02
4.442586545136192888e-02,-1.016682626451596155e-02,2.623111791836572892e-03
-2.276981986415890433e-02,5.691576562886283691e-02,-7.493821566348664309e-02
2.212777617052905446e-02,2.982522257900014837e-02,1.290947977531573844e-02
4.686597257348857314e-03,4.834017228401232130e-02,2.031400532096493475e-02
3.027166893882704546e-02,9.241979856940654714e-02,-2.755575730098447015e-02
-2.608408820223070620e-02,6.525887939308644414e-02,1.268890221913718079e-02
3.581063995199589706e-02,6.438810340366775409e-02,1.227577248194290128e-02
4.234165409605513374e-03,-5.201155232886151697e-02,-3.084724481915867428e-02
1.738572214732092905e-02,3.014134922502647099e-02,1.324577323805923787e-02
-6.066762820244579572e-03,-3.354868084492226149e-02,4.943323385324176894e-02
-2.710981248755473319e-02,-4.955818155889066962e-02,5.108259314480360566e-03
4.306182919300181183e-02,-4.810125638350108701e-02,-4.258250006792336367e-02
7.748509942186165844e-02,-3.190444525487601962e-02,4.655163640401832614e-02
-4.447041758896254533e-03,-1.730925124746043875e-02,6.419610494452407910e-03
-1.932850739389117833e-02,-5.032555900931870094e-03,4.011880707710113736e-02
-3.139627686603021356e-02,-2.959907284639562430e-02,1.353111186931689816e-02
3.079216712354245628e-02,-3.029409469068455873e-02,-5.637405197093390413e-02
3.152340785541091900e-02,-6.585829629587601486e-02,-2.458506106739014735e-02
-1.916965958123844141e-02,2.247508098511066463e-02,-1.870276352714003981e-03
