pseudorange_1,pseudorange_2,pseudorange_3,pseudorange_4,pseudorange_5,pseudorange_6,pseudorange_7,pseudorange_8
20199981.99396341,22321319.584373668,23200012.62507181,22321315.65136916,20200014.042977504,18078688.7813064,17199992.089881044,18078675.807937723
20200007.932082076,22321328.56580123,23200002.66139611,22321312.05533933,20199993.797675,18078686.355754294,17199999.664863266,18078678.501014445
20200004.95758172,22321334.644369822,23200006.18933083,22321338.595218807,20200020.170413982,18078690.073763803,17200001.317439947,18078687.684320003
20199989.764907975,22321315.471861374,23200019.587257225,22321306.725421354,20199995.970322613,18078675.089624096,17200010.25322291,18078698.309838664
20200016.576325037,22321322.540240344,23200003.710620966,22321320.904322673,20199999.641406864,18078680.70032559,17200009.352632202,18078692.231396873
20200008.36852025,22321325.477496672,23200004.968557954,22321326.75740578,20199996.24501096,18078688.361652065,17199993.4116802,18078676.170975365
20200020.14929089,22321329.622507107,23200011.23239462,22321345.00510394,20199997.779238854,18078697.02252195,17199994.58684558,18078696.466334734
20199991.45915164,22321334.91151327,23199996.957726587,22321335.510177758,20200010.519739088,18078677.508048035,17200006.745723236,18078677.304847654
20200024.8138589,22321333.610757668,23200007.39288957,22321333.368862864,20199998.213218696,18078692.281307608,17200002.34086789,18078672.389099766
20200007.755140994,22321319.321567684,23199996.19515854,22321336.30243381,20200017.11412907,18078683.631692473,17200001.84365826,18078675.447301082
20200003.180395816,22321336.786652457,23200010.403394137,22321334.248476982,20200022.820163775,18078687.545700837,17200007.13980088,18078707.857222117
20200000.093965102,22321347.69520634,23199991.810398318,22321331.588685714,20200007.963890865,18078677.964411758,17200001.130574092,18078677.104789168
20200022.973966867,22321317.677498855,23200016.37237139,22321324.534286007,20200010.234843247,18078689.671272088,17199997.682764657,18078693.19790237
20199992.328074567,22321327.389800843,23200001.915854108,22321325.24492839,20199985.09519946,18078679.80287541,17200008.242902406,18078684.027745504
20200001.548016246,22321336.823740084,23200001.418373726,22321345.143314958,20200019.84093022,18078687.523400888,17199982.939260956,18078701.458486307
20200002.549999606,22321320.673299897,23200000.684388652,22321339.166562773,20199998.309366465,18078685.052982528,17200009.369081844,18078689.45542016
20199998.441063896,22321327.858038094,23200012.766833473,22321328.631374907,20200013.797418308,18078682.06744472,17200022.315826036,18078674.634912662
20199998.455723666,22321336.19992331,23200004.911885098,22321315.31282644,20200008.63283834,18078701.353652276,17199990.389777225,18078662.07966956
20200015.084016386,22321323.669671033,23200008.796611384,22321332.849573214,20200012.285425007,18078670.544017177,17200004.84996792,18078676.252582222
20200015.20412663,22321322.273006618,23200022.610612024,22321342.898754153,20200010.124123473,18078670.552246362,17200025.351800036,18078693.79796803
20199989.476767257,22321325.963756025,23200018.72349868,22321350.251156,20200016.322513,18078695.83812101,17200029.85367257,18078686.453246832
20200004.94117729,22321326.717116885,23199997.023750626,22321325.667163756,20199999.586975455,18078670.825507738,17200014.058674317,18078677.042391155
20200010.301499113,22321334.87184961,23200021.942409188,22321324.760846,20200014.108555973,18078691.43213969,17199998.71765714,18078710.080155384
20200008.526859444,22321321.213503037,23199999.41322814,22321327.87930439,20200021.719500717,18078677.041165568,17199998.314081904,18078671.606464338
20200003.552588142,22321334.588918727,23200012.023955926,22321328.89873421,20200005.552389115,18078678.936126713,17199997.474368203,18078679.935586255
20200014.42193601,22321343.704941247,23199993.117155038,22321333.415540304,20199999.89817711,18078689.508916847,17200001.460045468,18078692.43236472
20200009.360262647,22321326.54989696,23200008.34277641,22321301.084741868,20200016.777815476,18078679.024372663,17200001.231862873,18078682.561232448
20200007.86659735,22321315.944139432,23200006.755460154,22321340.8092662,20199999.234175067,18078685.915511202,17199994.820749786,18078679.64136569
20200011.231933165,22321327.440388106,23200004.207831148,22321334.187117897,20199997.516629588,18078680.183523774,17200034.194482677,18078693.01121171
20200010.50472515,22321324.45444402,23200015.592828784,22321315.764796425,20199999.108760662,18078691.99000039,17200005.868745405,18078676.02446317
20199988.424613185,22321329.72043148,23200005.411101673,22321322.310308125,20199995.805425182,18078666.87439127,17200010.069260817,18078682.6850993
20200003.26794763,22321323.501522485,23200017.280356497,22321320.098536044,20199992.518997047,18078704.230593536,17200006.82821412,18078681.02961687
