accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
3.671313632127509025e-03,3.532543773441318338e-03,-9.789178883258140118e+00
6.507893239533877813e-03,4.610994886586984587e-03,-9.795036802003275866e+00
2.260768980257715517e-03,-2.735945876251642036e-03,-9.797656100856174888e+00
-4.295406459955089518e-03,1.957350272964020806e-03,-9.796968980986950015e+00
3.389791725036657086e-03,-1.299337068099543384e-03,-9.794899041552772800e+00
-1.283410325184935639e-03,2.976229128263361244e-03,-9.787669770655874402e+00
7.666305417410444745e-03,-2.737707705708355282e-03,-9.802390405725418532e+00
-1.535604857550172024e-03,3.021402943226648836e-05,-9.794686749478204391e+00
-9.334712894962675367e-03,9.538608384578938643e-03,-9.794822795378701485e+00
-3.440837511651190141e-03,7.662374843631952932e-03,-9.800826119353777344e+00
3.894686034656721571e-03,5.825461098820868032e-04,-9.791914711456723097e+00
-8.465636524485691764e-04,2.095474699388558733e-03,-9.796808176901750542e+00
-5.465386963008826357e-03,-6.614423754709971952e-03,-9.796258636798896191e+00
-1.406686758881468173e-03,7.168558482394973147e-03,-9.799374810978612516e+00
-1.099912153037422126e-03,-7.524092767404447733e-03,-9.790878377985869463e+00
-2.456436796155770860e-03,1.979490701027019836e-03,-9.795938447693274043e+00
-7.182316485839322119e-03,3.738095417281513469e-03,-9.795154703031110799e+00
-1.565191113564383656e-03,6.394816928424290788e-03,-9.789188385233547507e+00
3.243929718494491764e-03,-5.225305209366364056e-03,-9.804441761163717572e+00
5.470141910566726599e-03,3.696397125268928181e-03,-9.792582317004459469e+00
-1.028495440202409003e-02,-2.317442088132662479e-04,-9.787031045653575845e+00
-2.254580431884175510e-03,-7.647541214198298742e-03,-9.799726693033141700e+00
5.370251256369256918e-03,-4.400608203406902730e-03,-9.800557517670259955e+00
4.214312799748737401e-04,-1.550473127571310415e-03,-9.791181014406195260e+00
-4.093206658441918451e-03,-6.013135314303172808e-05,-9.784103359949620327e+00
-8.877380993204227666e-04,-3.243729399533835153e-03,-9.786066807692334280e+00
-3.724330648587473314e-03,-6.094826782926858998e-03,-9.805451642198313777e+00
3.452657664751654799e-03,4.617497291536824333e-04,-9.798342373430424246e+00
4.948839043259576492e-03,3.062323303837049746e-03,-9.795320120953448395e+00
6.258250483407956600e-04,4.228270460496177767e-03,-9.802330100716472927e+00
-5.055006488383235672e-03,7.357793318489454920e-03,-9.803917741573252798e+00
-9.546111076390664113e-03,3.403120709579204786e-03,-9.798455130282727410e+00
1.014663469480450242e-03,9.849777734346615299e-04,-9.790292222674448652e+00
-6.785251250522591560e-04,-8.664274273393067537e-05,-9.795957301182760091e+00
-3.068041230732379467e-03,-1.532824174418147799e-03,-9.785429939687031009e+00
-2.773227777550990678e-03,5.683701939147534250e-03,-9.813189806732875553e+00
-1.367624622451154431e-03,-2.256328971038932575e-04,-9.789788209019098630e+00
-6.264521465746250052e-03,-3.345506649899553705e-03,-9.798106129968767064e+00
4.596319716282971056e-03,-1.333514371291519502e-03,-9.794945783466642908e+00
1.192877606469858664e-03,5.790582500906442040e-03,-9.792675634772272986e+00
3.203249164983086681e-03,5.640045040988947260e-03,-9.809053829420445680e+00
4.861317218522224169e-04,-2.948491413658776202e-03,-9.789690233060962754e+00
8.407209872561251240e-03,1.984416562803763360e-03,-9.787137225801842533e+00
-1.950533604610152046e-03,5.260699264435769913e-03,-9.797674440175558885e+00
4.426753739871831621e-03,-8.556062700215695234e-04,-9.800600444472117090e+00
-4.737908144576333637e-04,-5.383618173341329742e-03,-9.795413376308806264e+00
1.454627499083971094e-04,1.026948434998734483e-03,-9.780916930773072338e+00
-5.783743472487834492e-03,1.194994423333671290e-03,-9.810842246414791745e+00
-5.998956578370132769e-03,-7.761557144586744578e-04,-9.790857334245620436e+00
-6.962099228663602181e-03,-2.543318059188533122e-03,-9.793812880378304442e+00
-3.479210914972147468e-03,-5.310234224172103020e-04,-9.787142892548734707e+00
-7.863620705681595826e-04,-6.262112837640752133e-03,-9.791790371877056032e+00
2.108669675704321136e-03,-1.685130426435210022e-03,-9.782725414701490152e+00
2.098351457251801128e-03,-8.270871189627715392e-03,-9.800253331300250892e+00
1.649240749784768728e-03,-7.445223582633269700e-03,-9.806069986487282009e+00
3.894354088268143707e-03,-4.474029916586111724e-03,-9.808927979876283842e+00
9.461821812550615801e-03,2.391535796814197711e-03,-9.795881982662731247e+00
-1.912990735812442706e-03,2.083626111218364260e-03,-9.797014289918312357e+00
1.391612517497409912e-03,7.852592576297648744e-03,-9.810041652980324045e+00
-1.016748452625363666e-03,6.306618403360739721e-03,-9.790739159757379184e+00
5.140752063260542806e-03,7.785082426377340145e-03,-9.803516985129009598e+00
3.396481440478061925e-04,-9.375736180560088548e-03,-9.814864883396198891e+00
2.037375867190009161e-03,7.667225837977173497e-03,-9.795472968172770578e+00
8.792340579451628224e-03,-1.001077607873985479e-03,-9.783972181727074613e+00
2.812618215050928256e-03,9.946057537418544897e-04,-9.786435426032047857e+00
8.977796358938423815e-04,2.745851306550815656e-03,-9.786740173754816752e+00
6.096654218877006759e-04,-3.111716909015125373e-03,-9.803635234444584512e+00
-1.156075893904348877e-03,5.906636218237755823e-03,-9.789957547180785369e+00
-3.344772686169925763e-03,8.326853866134483959e-04,-9.815945086460784452e+00
4.469260264648139414e-03,3.070007250928649851e-03,-9.793684132208372972e+00
2.420157214147876552e-03,1.103707273384044348e-03,-9.793728490086142102e+00
-9.125839814191259941e-04,-4.438649944855446727e-03,-9.784704996608155625e+00
3.609630689755556014e-03,4.773992852579702489e-03,-9.796348081548273967e+00
7.255580548334175130e-03,5.227699612982205724e-04,-9.795999755349829030e+00
-7.063439454547470325e-03,-1.383519246092958666e-03,-9.791541548517553650e+00
1.097392611500530406e-02,-2.429003910159634617e-03,-9.800071251133045891e+00
2.467213495727475347e-03,-5.814911052856611097e-04,-9.798132332919696097e+00
5.854709382840435176e-03,6.254151704949762955e-03,-9.794046935593478054e+00
3.846972566475844249e-03,-3.110104887221770264e-03,-9.787331570161358130e+00
