carrier_phase_1,carrier_phase_2,carrier_phase_3,carrier_phase_4,carrier_phase_5,carrier_phase_6,carrier_phase_7,carrier_phase_8
111570368.06217246,126666953.83465725,128158105.90738384,123823045.69669852,115557321.52966554,103268559.60020372,93567114.82166843,96725082.85745086
111570424.75505343,126666871.96894424,128158130.98828544,123823041.87552041,115557381.45813264,103268506.74812843,93567079.5366462,96725051.09286444
111570390.00959867,126666944.23205979,128158206.42180859,123823059.90313603,115557313.45543519,103268628.20406426,93567154.46364039,96725050.49767478
111570389.99328433,126666950.75784518,128158221.54869652,123823035.24750686,115557447.21114266,103268600.36992173,93567145.65190457,96725030.9220441
111570407.09829456,126666965.00721346,128158192.75450082,123823072.62599862,115557359.80442074,103268404.48587064,93567151.0263523,96725008.6092418
111570406.22707833,126666864.84727068,128158175.0946204,123823030.87144159,115557400.0015832,103268481.41402546,93567188.71763343,96725120.59195156
111570443.99755044,126666891.03923713,128158222.465209,123822965.19807915,115557318.95159252,103268509.9723986,93567102.8624292,96725084.10950203
111570458.93949908,126666879.94970636,128158236.21547216,123823004.55333075,115557211.02948679,103268374.00921905,93567145.58974075,96724999.98854482
111570416.96769321,126666873.3699176,128158234.53764588,123823028.91917123,115557407.73383774,103268520.19292977,93567164.01231821,96725063.21572974
111570372.29270917,126666945.14897083,128158106.03169067,123822980.69407746,115557321.77273619,103268565.95172681,93567084.28990905,96725023.29802309
111570429.92519398,126666974.27004634,128158168.14349087,123823008.57971635,115557330.03330633,103268527.38487218,93567067.87459485,96725037.03030102
111570297.53802265,126666958.86682644,128158197.01687104,123823059.09446277,115557364.35667527,103268553.8101232,93567086.11246222,96725204.9412721
111570320.21130891,126666916.30117005,128158149.17752954,123823053.36457863,115557359.99718128,103268549.8788258,93567157.47885567,96725137.17696072
111570389.43693095,126666884.66484804,128158141.91626208,123823049.93504572,115557349.97841921,103268523.12774266,93567122.57553567,96725125.66141129
111570285.02064912,126666866.01569417,128158137.4097229,123823059.84833866,115557453.15252377,103268533.87952326,93567131.67746513,96725017.4269433
111570232.23394206,126666973.29760015,128158233.50638695,123823089.7460679,115557400.40754318,103268456.69492166,93567219.2659736,96725136.1041768
111570345.12827909,126666946.5492053,128158183.70387632,123823069.42162426,115557399.15556401,103268537.98394442,93567115.43440942,96725122.74083678
111570379.87599342,126666869.53390586,128158231.04061495,123823030.19251773,115557393.13086028,103268496.86189318,93567173.60044579,96724997.20214498
111570421.48840268,126666807.60992607,128158158.18752304,123822945.31588252,115557407.88849472,103268445.70312169,93567156.35148367,96725120.67537956
111570339.15388623,126666914.42867531,128158236.8460667,123823012.98988724,115557336.82727098,103268587.70104909,93567191.27491446,96725039.69755511
111570446.96649723,126666908.59029418,128158236.73624304,123823039.8826964,115557341.59920754,103268559.86985797,93567154.09776612,96725166.49607784
111570362.23803551,126666919.64437811,128158175.03814162,123823108.81691979,115557356.66535911,103268516.85749172,93567184.97687632,96725016.85578208
111570448.31055862,126666966.86039111,128158144.48035137,123823049.0254485,115557410.79852822,103268437.79665077,93567123.76392245,96725133.1079121
111570598.36123347,126666840.42711969,128158117.97235982,123823090.48820841,115557495.25326243,103268421.77436273,93567101.6046099,96724981.03826222
111570435.77344154,126666893.13309874,128158140.35883327,123823020.99684687,115557390.68698008,103268488.00087422,93567159.70592265,96725098.5892107
111570354.30872099,126666926.74209829,128158165.63697337,123823025.05533943,115557470.21241097,103268570.34626935,93567186.27274273,96725012.32239081
111570365.93416062,126666863.23063537,128158152.68665428,123822950.44924557,115557333.3029394,103268595.37491725,93567108.65401255,96725064.57489912
111570347.79548967,126666976.16251059,128158190.71790668,123823092.00105679,115557383.90539569,103268481.37870805,93567070.4531264,96725054.16133398
111570431.72977717,126667016.92577672,128158173.94349466,123822964.3271654,115557346.99367926,103268500.81781353,93567183.5448641,96725002.68184532
111570357.95753159,126666850.5459056,128158149.27059582,123823045.65162262,115557410.54963523,103268490.91096972,93567218.59684423,96725082.64094286
111570424.95516948,126666990.76375799,128158206.10671093,123823013.61245242,115557487.6394046,103268584.83057477,93567011.04974933,96725064.01569128
111570443.40875131,126666921.5332978,128158161.13064335,123823079.49767184,115557432.82488666,103268575.16891342,93567086.41344795,96725093.72407179
111570422.21393727,126666924.46468471,128158233.97793081,123823081.65310842,115557414.31043231,103268538.1373644,93567086.26991676,96725005.71394892
111570465.11035809,126666942.9213157,128158175.01751864,123822998.41873384,115557401.8652719,103268523.6924554,93567207.55558734,96724997.17519693
111570387.86023639,126666967.72631833,128158195.955174,123823064.55256589,115557429.84588663,103268550.34276214,93567137.57443295,96725132.1960558
111570348.00000799,126666884.16403598,128158120.45051952,123823033.4349252,115557301.62475213,103268508.10907954,93567124.458183,96725011.67946915
111570393.99202229,126666852.93524124,128158182.08144228,123823060.84731682,115557327.40612383,103268545.09665936,93567188.14006183,96724944.02312581
111570413.60980034,126666938.74264243,128158189.50958404,123823111.08223173,115557447.68697116,103268534.89828008,93567105.68178262,96725005.50256924
111570438.74783434,126666998.49247922,128158188.87496233,123823062.2173064,115557404.63703024,103268536.33360559,93567085.61035289,96725068.49650563
111570412.89172652,126666899.984509,128158250.9296688,123823008.58765824,115557384.10360129,103268553.47941817,93567114.05077916,96725085.09545907
111570402.00466079,126666918.17204958,128158239.97962956,123822997.64735569,115557463.94775832,103268513.69876389,93567171.26213934,96725094.03949788
111570386.85480057,126666899.91903847,128158163.36571014,123823079.40955946,115557463.34180327,103268524.54159124,93567192.28687786,96724985.76263848
111570343.03706917,126666889.6225981,128158266.82241419,123823009.29253314,115557445.53768153,103268600.82515758,93567269.89850783,96725085.42730607
111570419.7342279,126666952.48138884,128158245.9879435,123823048.94334733,115557329.5026258,103268657.80320609,93567100.17005296,96725035.54505697
111570356.76176222,126666924.59875442,128158109.5342801,123823057.99056497,115557369.79852897,103268566.13492282,93567185.06977749,96725080.29319863
111570330.85285768,126666979.55405807,128158285.83164378,123823091.88165969,115557421.20208053,103268430.7390432,93567086.16766535,96725004.50877053
111570368.22942145,126666855.07765485,128158059.73591185,123823055.5936495,115557265.93989871,103268523.23264,93567104.13667941,96725121.24041815
111570376.99657053,126666854.78043562,128158215.46429652,123823115.40573817,115557318.00519773,103268528.80327158,93567214.06526515,96725191.47318293
111570429.84891531,126666768.50354367,128158191.24940631,123823058.74877523,115557284.65371726,103268473.63471031,93567062.87990658,96725044.22712846
111570398.29362826,126666894.27142376,128158171.77410382,123823042.44786522,115557428.38286093,103268535.40242644,93567204.41605572,96725133.6500291
111570409.24848847,126666867.10973397,128158193.11137041,123823015.0792521,115557360.17000212,103268559.24660026,93567151.74997231,96725180.98900627
111570386.9816628,126666897.1684899,128158226.30271427,123823072.56216688,115557423.89788738,103268517.71541157,93567163.59942763,96725063.94713901
111570424.78369845,126666860.18754804,128158254.08866112,123823060.79550079,115557370.89741309,103268641.357209,93567227.77863763,96725037.11549376
111570433.69366468,126666938.54282765,128158173.42873643,123823051.17142282,115557385.89489575,103268467.20747584,93567141.00744903,96725123.60105865
111570373.89640702,126666864.26383965,128158200.3991013,123822932.38334177,115557386.50350788,103268528.86342558,93567082.71400379,96725136.46847607
111570445.56639892,126666821.57569106,128158146.06730261,123822973.8779376,115557287.65663801,103268489.80646649,93567183.44417557,96725052.14025629
