mag_x (uT),mag_y (uT),mag_z (uT)
3.263705602350563595e+01,-1.246755013227917978e-02,3.779264507313573063e+01
3.281723792174918941e+01,4.272121073860390278e-02,3.784599532514312870e+01
3.273017648941242186e+01,-1.992372688171138023e-02,3.789540801629730993e+01
3.292119817256380543e+01,-3.481689132506359252e-01,3.785468091789556411e+01
3.272306521429886317e+01,1.406729637097006991e-01,3.812455013242909985e+01
3.241812115800098582e+01,1.326440719510726517e-03,3.792832694793723647e+01
3.286729588552658043e+01,1.385382051574053364e-01,3.768255836029316441e+01
3.222441031284022728e+01,3.212931530459294666e-02,3.810096761805577614e+01
3.261013081446825623e+01,3.522058092448878686e-01,3.792071944827858232e+01
3.244289673376094640e+01,2.947500116351483082e-02,3.822418159287274619e+01
3.318156785509597029e+01,-3.466859385543651362e-01,3.770561568237153693e+01
3.233509528369584984e+01,-1.478287759742970553e-01,3.777482129467197325e+01
3.237532407858313377e+01,-9.679492812132074742e-02,3.746687188045662253e+01
3.244931046783739248e+01,-3.272481387358572302e-01,3.783100925315150675e+01
3.266733909545876458e+01,-1.658029096362635332e-02,3.777648078153768552e+01
3.272473278144834552e+01,-3.976794000530379236e-01,3.783101057136867240e+01
3.228373113178441400e+01,1.273713245220449708e-01,3.765928347989552805e+01
3.269853686730678533e+01,-1.821954921429775331e-01,3.773490666625293954e+01
3.247252504652873029e+01,1.035701307457020798e-01,3.777828831860053782e+01
3.285583238010175933e+01,-5.173221125178964833e-03,3.801345545420069527e+01
3.247949545174083141e+01,-2.695465259079765641e-01,3.782951871815142653e+01
3.275869667613075364e+01,-9.454580743220898642e-03,3.788747354699793135e+01
3.248602202550008400e+01,-4.181372201190225457e-01,3.782397875545486698e+01
3.267556240055603212e+01,-4.380736984894609276e-02,3.765073968419477524e+01
3.239191717156654704e+01,-2.353040303020466628e-01,3.809250923062302974e+01
3.268667971879261103e+01,-5.003864906328171491e-01,3.776924355356083396e+01
3.264209619268186202e+01,2.912029932762076334e-01,3.760861984748385112e+01
3.261973706130903849e+01,2.333920940007072620e-01,3.799444389109562081e+01
3.257802212447418100e+01,-6.339784113532841159e-02,3.777262408155902307e+01
3.255149842747176336e+01,-2.976755475294943359e-03,3.771599659018067996e+01
3.226101940500515752e+01,4.928124593333989556e-01,3.770824693556421181e+01
3.264539829886602007e+01,-1.982101674992954032e-01,3.816321566631825846e+01
3.274585485819700637e+01,1.108558623424193562e-01,3.804587900394660238e+01
3.255345889854374519e+01,9.189050515598355673e-02,3.764059498485695343e+01
3.271448848158460976e+01,-1.051408667194405483e-01,3.756449662809113477e+01
3.285058547639018656e+01,1.862615205190902290e-01,3.753695194408762603e+01
3.264297237214896086e+01,1.025164998862141408e-01,3.793688699401513276e+01
3.280218107942052086e+01,1.270371185610657816e-01,3.789293557483172492e+01
3.273682244179962453e+01,-1.331692540304436068e-01,3.801700418930149539e+01
3.269883306893819963e+01,3.663716955949978486e-03,3.762607791141643787e+01
3.282363146876437554e+01,5.728971353829147573e-01,3.778770939296622799e+01
3.286173902636544852e+01,5.261503547305420581e-01,3.813762298230900427e+01
3.282421514187147693e+01,1.424506355337293861e-01,3.764924711717664252e+01
3.276310855966378455e+01,-3.677674132210304037e-01,3.794119684175186791e+01
3.244911133579751095e+01,5.589351528411343889e-02,3.773955517461947551e+01
3.269120974098079557e+01,-1.479091003416896366e-01,3.753740610171946201e+01
3.266680366052408147e+01,-2.630303325774956957e-01,3.774209940348545445e+01
3.245849239596177682e+01,-6.833350467725139710e-02,3.767513629615843485e+01
3.303788368567972356e+01,1.251328009318750656e-01,3.788569861087184165e+01
3.224962068825271899e+01,2.069795300645593528e-01,3.781770945829435249e+01
3.240204258853317754e+01,5.331424033702898690e-02,3.798583187303305664e+01
3.262991253158276095e+01,2.533018641525424663e-01,3.748855713461311723e+01
3.284893245847826648e+01,-2.563166441070029999e-01,3.807182856264072512e+01
3.240179081141447881e+01,5.677426300771318268e-02,3.758355379246906125e+01
3.244435808275265742e+01,2.398128891545128760e-01,3.778545682041450959e+01
3.292528251648727178e+01,7.633371342215035382e-02,3.795273466356302094e+01
3.281123192103438413e+01,1.572571125929115021e-01,3.813712942609213741e+01
3.221066852037643002e+01,-5.229931822274086484e-02,3.758963780878565331e+01
3.273563445787597459e+01,6.977226176360770693e-02,3.810613003123091858e+01
3.303191492497085591e+01,2.424566374565899352e-02,3.777458798353043079e+01
3.261707908631984054e+01,3.348526386415788259e-01,3.831540493025268290e+01
3.272132126467167268e+01,-1.718922201636960689e-01,3.798312088617132787e+01
3.290246787739894074e+01,3.815453988045975908e-01,3.805559924162589880e+01
3.252185632599510967e+01,-9.627267224151997427e-02,3.768069141291184820e+01
3.274370799947443800e+01,-3.790904428582764218e-02,3.761055534236649578e+01
3.243059052016750599e+01,1.314001846389711570e-01,3.745326849045839168e+01
3.243036579150530940e+01,4.794305681377401124e-02,3.793264366011365496e+01
3.241835479735799197e+01,-2.218254466586424278e-01,3.779837296772520716e+01
3.286659753490256008e+01,7.255067481959007192e-02,3.765317721328528933e+01
3.284139472234409141e+01,1.311436952100360487e-01,3.760494078053851297e+01
3.304063663613708002e+01,-9.441058973435416043e-03,3.808389797033049717e+01
3.282060031887998264e+01,-1.008821630148832305e-01,3.791155348097577615e+01
3.227224773556078219e+01,2.804443881056638554e-01,3.750217315083121150e+01
3.247943172764662023e+01,3.767812673240379939e-01,3.763650491930916075e+01
3.284489590101826906e+01,-7.894167200018096381e-03,3.809333998648753550e+01
3.276569623401557152e+01,-1.338089338430402675e-01,3.831552500259017080e+01
3.246449820744449966e+01,-2.331851625923502935e-03,3.797463074849434861e+01
3.232776437764497501e+01,-1.772876422305637023e-01,3.757006305325711537e+01
3.266032883423637401e+01,4.437235021262839196e-01,3.784653170099767294e+01
3.266731941227497771e+01,-1.837992108453216922e-01,3.805278153007259334e+01
