gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-3.188918607889437012e-02,9.573551024296644840e-02,-1.795770654265555627e-02
-5.393746491499114976e-02,-3.196352631933319088e-02,-1.965218004743805522e-03
-4.835025326650843613e-02,-3.208013879971795268e-02,1.666292621454966774e-02
-9.445381189362262939e-03,5.333716323035663648e-02,1.339782877456927208e-02
-5.499958603940952734e-02,-1.139201334547126389e-02,1.956752927801460110e-02
-1.073585595553220272e-02,-4.446790857547411498e-03,2.625266466937487171e-03
5.481125104255808039e-02,3.435507623607948757e-02,4.550710583699361933e-02
-2.556078457616231189e-03,-3.144184436201020311e-02,4.487499568608805528e-02
1.776236504498274194e-02,6.486614559134767921e-03,4.491214926323824908e-02
4.915538335120859560e-03,2.871344201770895457e-02,1.632031925298087563e-02
5.111205222153938216e-02,2.977968028211984766e-02,-2.821248835893148954e-02
5.353168185817228086e-03,-4.945971901987021059e-03,-4.086013904396324642e-02
-2.128924210687858573e-02,1.817293062101035112e-02,-5.004949914364834052e-02
3.745942249970521387e-02,-7.150155820095120338e-03,1.867396187870316859e-02
-2.443135695401880622e-02,3.291144583627628184e-02,-6.867005644568169309e-02
-6.619050195991962871e-02,4.382850729481661822e-02,1.435716388566668673e-02
7.967314468043959139e-03,6.523664949616128639e-02,7.670394248131906165e-03
6.654094316075631621e-02,1.378572488020192617e-02,-3.038523789552381379e-02
2.696356501681177950e-02,5.908060626192954135e-02,5.152875751421669148e-02
-9.354070234027756295e-03,-6.085158154660860741e-02,-9.071610941557376254e-03
-2.889165490531200170e-02,5.282271547281496699e-02,3.460071714854782293e-02
-4.517019796978237467e-02,7.623454662901639478e-02,8.363617769279940717e-02
6.572659238963671213e-02,1.436209511116466131e-03,3.408967578588422559e-02
1.873369410256210330e-02,-8.332893487058122203e-03,-6.267550782521272290e-02
4.134163176219649016e-02,-3.389853616414190834e-02,7.173316248300042053e-02
6.053918063308562358e-02,-1.749979150018379434e-02,2.628455924817672471e-02
2.103605701711087211e-02,4.772747944802099851e-02,5.135590523570027210e-02
2.993774889299211442e-02,7.636005116542387249e-03,-6.220561827113196829e-02
-3.482949187084125736e-02,-3.467470027352548279e-02,4.073699393043779017e-03
1.314479856991449674e-02,5.027637921714281886e-03,1.270821228734914793e-02
-1.679584683909770768e-02,-3.597443164733267473e-02,2.270433958510087447e-02
-1.458462797930648591e-02,2.651142423741541243e-02,-1.404220393451907078e-01
-5.697817503287495866e-02,1.999948300446748387e-02,3.270074179191350544e-02
-3.080984349899826974e-02,-2.071274315883178240e-03,-4.537862248777053270e-02
2.822634438764537804e-02,-3.436510748072278687e-02,-3.620660298308229358e-02
5.022872365437399539e-02,3.861201386127582902e-02,2.601016031964582462e-02
4.146298027479884685e-02,8.245297377133571290e-03,9.011969304018921031e-03
-2.893282565770911169e-02,2.856281566572848110e-03,2.908557943275907453e-03
4.306251613007420348e-02,9.243670809382683110e-03,2.920185006118185614e-02
-4.726978761888882274e-02,9.423249305980245516e-02,2.935750596156614517e-02
-4.205233223632177247e-02,-2.194438305098992542e-02,-4.694026899711137985e-02
-3.506720331452743700e-02,-6.305018385604356512e-02,8.034690020125319744e-04
5.499323520256483439e-02,-3.724150145903476483e-02,-7.258555768203142633e-02
-6.526294790589207140e-03,-3.416026888286816804e-02,-3.270551529519370032e-02
-1.599418998280016180e-03,4.552379231747861327e-02,2.682136770531526326e-02
6.016675667394449228e-02,-1.496864308598286168e-02,-2.357650390432701817e-02
-7.073805642576364017e-02,-5.103067177351528622e-03,1.126974720694424725e-01
3.924112712313473916e-02,1.067218897574807347e-02,4.001924659898990072e-02
-1.797371224411704535e-02,-6.000080601689582877e-02,-4.543153127167601224e-02
1.651403202281276697e-02,3.505445086304159741e-02,-1.132800216485609912e-01
-1.169198892629686598e-02,1.294588061301959851e-02,-1.950631048629222417e-02
-7.927793516264654283e-02,-3.989607087702291832e-02,2.069301675219037753e-02
-1.060591690042621410e-01,1.974670401852321802e-02,-1.696885969341661859e-02
2.889903587948830163e-02,2.821905746001535792e-02,5.796115930772152008e-02
-3.583139693479191895e-02,6.371527837892930479e-03,1.762788636363601946e-02
1.385114793124868522e-02,-1.891047608813343009e-02,3.057458189387159131e-02
7.951253995058661476e-04,4.768580469615539552e-02,-6.015358877672525965e-03
2.915792362500004790e-03,-1.479133749171185862e-02,-3.254091655394112520e-02
5.704021163316985721e-02,1.587270860271222661e-02,-3.236084155075050640e-03
-3.904123893838379322e-02,-3.366657309187408992e-02,-6.712627998335225776e-02
8.916760989722583020e-02,-4.557632811941791928e-02,-5.157859578218423890e-02
-3.181560348607851557e-02,3.364125556925318811e-02,-2.716998881502485572e-03
2.386196959953328436e-02,3.464477400618838632e-02,1.180665464064737172e-02
1.251844471816292680e-02,4.047700286355368667e-03,4.048346144412465902e-03
2.372120544170227760e-02,2.382284767109576346e-02,-3.413756550353422292e-02
-3.666782556430742135e-02,7.738696560001574742e-02,9.769579162256358112e-03
-7.218596770540075536e-02,2.058315316684224214e-03,-5.024613268524259942e-03
2.332865583290744463e-02,-6.036580991168455368e-02,-1.716644987840853717e-02
-8.207956722298960853e-03,-3.981285195384441644e-02,1.547160077473159513e-02
2.468492818059461399e-02,1.650891985002903711e-02,-5.697073453494867074e-02
-1.385371174301881260e-02,2.537201726264753932e-02,6.811887454561582622e-02
-5.881643305379206932e-02,1.391440399388864900e-02,-3.627476619776250077e-02
-1.276216419816055513e-02,-6.232482971308627405e-03,-4.091735695435423648e-02
1.099919402080407754e-02,5.266592594092548221e-03,-4.343390387597223512e-02
1.053342079581189028e-02,-2.269577989094100079e-03,7.551438004265355330e-02
-1.832634824821250882e-02,-3.483481131502016992e-02,-2.296603302281083683e-02
-3.436981571540737024e-02,8.530639500086156096e-03,2.776748833502867483e-02
-8.689063539049526885e-02,-1.038016808059630258e-02,5.380911883805306745e-02
1.987321543506778698e-02,-1.187315374753012201e-02,2.584010615373986269e-02
4.659345584770836768e-02,-4.207316704279418645e-03,6.171317663264222486e-02
5.443748061048220288e-02,-1.526635079573328627e-02,-3.274455712146664976e-02
2.527824654660324605e-02,-3.492682587526086541e-02,2.722429423010240893e-02
1.872725310382397645e-02,-3.465270377513036265e-02,4.702191043482302165e-04
5.013926281707837412e-02,-3.572676572604378820e-02,2.830410883373382647e-02
-1.069220483994826401e-02,-3.648509449331393401e-02,-1.946104432921275107e-02
-1.422824484801933111e-02,1.798170050544104642e-02,5.469358674078707294e-02
1.595160449646153278e-02,1.861441236444680986e-02,3.723317649993369144e-02
-2.383658283619603108e-02,4.324131857085028452e-02,8.016405698896569842e-02
-9.162921959959470508e-02,3.469226655895137762e-02,-6.778714338296635417e-03
2.058375871053183016e-03,8.116223153723088612e-03,5.485437500802516769e-02
-3.625018418308524355e-03,-7.996206500744926227e-02,-1.972970031844835034e-02
-1.460364575959316805e-02,-3.095314098700612665e-02,-3.101102970745503451e-02
8.239260799576937633e-03,1.003825890012780865e-02,-2.152356844709796702e-03
3.428617817756141051e-02,-6.172907996892652849e-02,2.464025488037234479e-02
3.913168815574968179e-02,-6.449974477753434021e-02,6.394540404062450112e-02
2.140065523512715839e-02,-1.410958369743944493e-02,-2.110362395004994687e-02
-5.303370486017574409e-02,-3.150253222408230108e-02,4.730707576091498778e-02
-5.854979664090734226e-02,-4.362343123514544202e-02,-2.926079611178306408e-02
3.234677357145382404e-02,-5.661851604134855026e-02,-4.728010582468660655e-02
-3.980306084854411813e-02,-2.810724064419276372e-02,-7.711382848433233350e-02
5.185158698364252666e-02,7.510120858411428735e-02,1.503297258167993089e+00
2.510442375050796898e-02,1.957124043087449597e-03,2.802229923521279087e+00
1.949241841588350219e-03,-3.623748912863758442e-02,4.025451425721469079e+00
3.834922832928231579e-02,1.561675398360643473e-02,5.165872770201905162e+00
-6.535492948152107906e-02,-6.175562909388618987e-02,6.161039533983758254e+00
-9.078431871893537231e-02,5.390645117387037923e-03,7.005777023632909106e+00
6.291797956122410773e-02,-1.996279211622072405e-02,7.820984822574622797e+00
1.270683692258400485e-02,7.426787861548539427e-02,8.554159174940956234e+00
-7.081299674804281130e-02,1.107584890511974403e-02,9.155184698492014661e+00
-1.234980890931528831e-02,4.285184233500781426e-02,9.789435133972213876e+00
-5.075503778359054252e-02,1.042729977399183341e-04,1.023667615489708282e+01
4.950215916048410908e-02,4.078836597034871808e-02,1.076804900776334328e+01
