ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
-2.707459276231147349e+06,4.688701052007361315e+06,3.360102297215144616e+06,7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
-2.707458569124366157e+06,4.688700344900580123e+06,3.360102297215144616e+06,7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
-2.707457862017584965e+06,4.688699637793798931e+06,3.360102297215144616e+06,7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
-2.707457154910803773e+06,4.688698930687017739e+06,3.360102297215144616e+06,7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
-2.707456447804022580e+06,4.688698223580236547e+06,3.360102297215144616e+06,7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
-2.707455740697241388e+06,4.688697516473455355e+06,3.360102297215144616e+06,7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
-2.707455033590460196e+06,4.688696809366674162e+06,3.360102297215144616e+06,7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
-2.707454326483679004e+06,4.688696102259892970e+06,3.360102297215144616e+06,7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
-2.707453619376897812e+06,4.688695395153111778e+06,3.360102297215144616e+06,7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
-2.707452912270116620e+06,4.688694688046330586e+06,3.360102297215144616e+06,7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
-2.707452205163335428e+06,4.688693980939549394e+06,3.360102297215144616e+06,7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
-2.707451495543154422e+06,4.688693276361610740e+06,3.360102297215144616e+06,7.147256035965131815e+00,-6.994049696446257514e+00,0.000000000000000000e+00
-2.707450774622569792e+06,4.688692583369327709e+06,3.360102297215144616e+06,7.291374067412009552e+00,-6.843673297949840695e+00,0.000000000000000000e+00
-2.707450038166602142e+06,4.688691906919707544e+06,3.360102297215144616e+06,7.455600791610143219e+00,-6.664384205321764121e+00,0.000000000000000000e+00
-2.707449285056431312e+06,4.688691249066079967e+06,3.360102297215144616e+06,7.623290494011476071e+00,-6.471896325182770582e+00,0.000000000000000000e+00
-2.707448515254812781e+06,4.688690610826364718e+06,3.360102297215144616e+06,7.788670204460079738e+00,-6.271890978497297375e+00,0.000000000000000000e+00
-2.707447729101369623e+06,4.688689992840464227e+06,3.360102297215144616e+06,7.949700402473414584e+00,-6.066486916734761259e+00,0.000000000000000000e+00
-2.707446927071193699e+06,4.688689395604182035e+06,3.360102297215144616e+06,8.105616846832795375e+00,-5.856532722724288043e+00,0.000000000000000000e+00
-2.707446109692409635e+06,4.688688819552601315e+06,3.360102297215144616e+06,8.256091153076143385e+00,-5.642424910629989299e+00,0.000000000000000000e+00
-2.707445277517932933e+06,4.688688265089698136e+06,3.360102297215144616e+06,8.400945275185662808e+00,-5.424400287896874673e+00,0.000000000000000000e+00
