accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-5.782503067768341755e-03,6.500014285475775103e-04,-9.808967089698251485e+00
-2.716457890415447350e-03,-1.085884246604981902e-02,-9.820042226289526610e+00
5.904507074778402032e-03,1.358440800466255384e-03,-9.792387186548619837e+00
-5.496428236447481420e-04,-2.946075958203857228e-03,-9.788777142672230980e+00
-4.068665734696282933e-03,3.360369582400607544e-03,-9.798981952494211001e+00
1.419636475444471932e-03,-8.419168161878123197e-03,-9.800375076927085871e+00
-9.389925944879913165e-05,4.585198789679183554e-03,-9.787073445699544294e+00
6.700013833756090532e-03,-9.809156039437014283e-04,-9.797874063870592565e+00
1.388960387891539916e-03,-1.279858554656765866e-03,-9.788482688776488416e+00
6.555543328916785565e-04,2.824910038710946696e-03,-9.781703724628849628e+00
-7.832172817412491952e-03,1.189959578194561655e-03,-9.809100663414865195e+00
-8.258379341316002958e-03,1.961087874169160049e-03,-9.785334896205901245e+00
4.979938793487096935e-03,3.453806277958163234e-03,-9.784822792480090570e+00
1.411829791449718124e-03,-5.838958177375550875e-03,-9.787394366830259429e+00
-3.845179632528075275e-03,3.064520811629715957e-03,-9.801194150277469319e+00
1.508266625772815587e-03,3.634292808306436879e-03,-9.785463089399659253e+00
1.184103222938245881e-02,6.227751068096603997e-03,-9.787019654086437370e+00
-4.480540796505773533e-03,1.015867340691809992e-02,-9.787449529446863750e+00
1.640988207588897369e-03,1.635046891846244233e-03,-9.778581796928060399e+00
1.767817040911827614e-03,8.066201147000439872e-03,-9.797894991939982035e+00
-7.131279047618663269e-03,-4.087900556606199713e-03,-9.786911723426369392e+00
-1.884985595163267890e-03,2.534669712040393797e-04,-9.783735659444447563e+00
-9.052109466911999755e-04,-1.258732523448795326e-02,-9.787036494984221235e+00
2.711376140708958958e-03,-6.161357882451999612e-03,-9.796620671327350038e+00
-1.294169965397441420e-03,4.173840309052735502e-03,-9.790333238629719048e+00
-2.274328778538009174e-03,5.208417826626694953e-03,-9.790853372019594048e+00
5.325665470181355048e-03,4.109074174584730239e-03,-9.797271668462256500e+00
3.978790128255245136e-04,-8.511873175663410562e-03,-9.796110758159603193e+00
-9.600834122297257267e-05,-3.951970866352751653e-03,-9.799772665896373525e+00
6.374815828994702567e-03,-5.396684578245004079e-04,-9.789190547215611105e+00
4.515364118612385548e-03,-7.353169116350072483e-03,-9.793573919572109432e+00
-2.587846499581797789e-03,6.326898711787726920e-03,-9.797802963602032733e+00
1.160474722768767633e-02,3.818366502012224013e-03,-9.796809630657996593e+00
-3.314192952117733706e-03,8.059699617166770844e-03,-9.790276349356556551e+00
1.581458289287387443e-03,-2.585627009665034896e-03,-9.795400022984097177e+00
-2.154139048393669724e-04,-7.461774540593084848e-04,-9.798667215403645159e+00
-3.028637921661574139e-03,1.113665087279415477e-03,-9.785334212251219910e+00
4.330222852879710106e-04,-7.579921153169746732e-03,-9.791772612062384695e+00
2.190083938765503054e-03,6.727919702600343096e-03,-9.791052254029745328e+00
-6.768890041546907904e-03,-9.868970112944777575e-04,-9.790320008854498823e+00
-3.305602505086290433e-03,-1.869189274360116490e-03,-9.788160623840411745e+00
5.158937793633831988e-03,-2.675838116546317455e-04,-9.773644126537602617e+00
-2.488094764918770407e-03,6.648464558992974535e-07,-9.785519221012293656e+00
-2.923841200835269416e-05,-4.059237432120241761e-03,-9.797494753563816161e+00
7.603678839889295264e-03,3.536431255420448283e-03,-9.806847337807953480e+00
-5.540286950138835834e-03,-2.999541756144102293e-04,-9.799453117237515443e+00
1.767881930286331485e-03,-6.831123199202097235e-03,-9.777260718579086074e+00
-8.726355720421826887e-04,1.194996572003421227e-03,-9.793114624295169435e+00
-6.053069624717363241e-04,1.683495384932660746e-03,-9.798676592137244512e+00
-7.738519257538173423e-04,-2.589163813827920647e-03,-9.799709004480201102e+00
1.473988801455554777e-03,1.774344749619626016e-02,-9.797718241832614083e+00
-3.518834828548422777e-03,-1.047152968334847615e-03,-9.793617497162271590e+00
-1.275503587539316775e-03,-6.481121093399665016e-03,-9.784540222182201319e+00
-6.023559448733562839e-03,2.729415934851979475e-03,-9.784368137639557261e+00
2.368160466239051503e-03,-3.410512443821169036e-04,-9.807485739162585148e+00
2.013691088393976616e-04,-1.514845187595174544e-03,-9.815273800043643249e+00
4.517052528963695353e-04,1.102862215050508590e-02,-9.796215685379815241e+00
9.371803243879858964e-04,-5.396975446349777487e-03,-9.796890253069864940e+00
-3.723897476192707980e-03,-8.920179877903484586e-03,-9.796393668534383536e+00
-8.683191372007060399e-03,-4.870799730657354373e-03,-9.794762288619086377e+00
1.895758663738639129e-03,2.231086960532431551e-03,-9.795168592837844912e+00
6.531284805726994720e-03,-9.444878120438681681e-04,-9.790532098295500418e+00
-4.181819439901927199e-03,-8.077512227480671686e-03,-9.792948051799763576e+00
7.499612596545647200e-03,1.611250966553628202e-03,-9.807496738643440182e+00
6.585324340185653123e-03,-2.560020436354326460e-03,-9.794797953887130149e+00
-1.189924215853380282e-03,-4.930325061223254923e-03,-9.812532794148683735e+00
8.652094951133133122e-03,1.893249160828773103e-03,-9.807337677969069745e+00
3.006469645109981388e-03,-2.687613839231832186e-03,-9.793143431205399096e+00
7.508424576400646484e-03,-2.818941356867611138e-03,-9.796426559589759719e+00
-7.898686353092656057e-03,-3.232219306211705882e-03,-9.796166659570030077e+00
7.346331865499608829e-03,8.141290872835508271e-05,-9.793511445626336354e+00
2.522574339413851383e-04,-2.650851302819997885e-03,-9.782671147697703518e+00
-2.946893834811444273e-03,-1.319406436123393887e-05,-9.788380340621639419e+00
-3.337816283102390882e-03,-9.204803148005112623e-03,-9.816136887885191342e+00
-7.238755482380756362e-03,-1.247654581097016159e-03,-9.784340117141018922e+00
-8.726121819128336218e-03,-3.044405353289659708e-03,-9.799329627989376235e+00
-8.391405607230766756e-03,1.318264092507671805e-04,-9.796974623426734752e+00
5.416362680913626784e-03,6.940646057214378169e-03,-9.792431063361124899e+00
8.519052583401911030e-03,6.331054295881741872e-03,-9.811124360916863907e+00
-1.202368113925185141e-03,1.746450934655980084e-03,-9.802055554468298126e+00
5.243917943275878913e-04,1.832616751493031234e-03,-9.790322838278123996e+00
1.979612404723590530e-03,-5.907884634521965751e-03,-9.765566920256995687e+00
-3.527204267090850668e-03,5.352636976023785256e-03,-9.786412708724908427e+00
2.221019748006495577e-03,4.511217922361181881e-03,-9.781211133216082487e+00
1.129216843483340539e-02,1.154979697700205758e-03,-9.798900225855692980e+00
-2.207454809545600881e-03,-2.527132382478949630e-03,-9.796849175110828867e+00
-8.429713338502213158e-04,2.044633220222348731e-03,-9.789005091680548887e+00
-2.809403112502124183e-03,-4.749408468595828691e-04,-9.798640358594150612e+00
-4.876911737407914511e-03,7.740263793865293646e-03,-9.784651753001998742e+00
1.422927504049630422e-03,-4.446579162204910944e-03,-9.807965688968288021e+00
3.909724184607466955e-05,5.004065641981844670e-03,-9.792693925098930663e+00
5.978143470698241667e-03,-5.549681848339851377e-03,-9.792918632557634950e+00
-3.766754648776535729e-03,-1.763743504260647252e-03,-9.802787847678191113e+00
-6.613718525480750260e-03,2.226035160004037703e-03,-9.787087181948159298e+00
-2.068509623989747085e-03,1.964650975317413714e-03,-9.782435378346992394e+00
1.469415192065717400e-04,-6.781450848346877837e-04,-9.799720678817159580e+00
3.591597602708235509e-03,-1.924484941522968057e-03,-9.793585529456985128e+00
3.532607980375213411e-03,-3.450852810228452385e-03,-9.794514631992003117e+00
3.747683090592133538e-03,5.763511200369711516e-04,-9.798615685118802432e+00
4.780364383553117706e-03,5.802048902653943532e-04,-9.789319699593072244e+00
-7.436286831632626763e-03,2.527035740410214504e-01,-9.800759929391691827e+00
-3.757308975341431320e-03,4.959488185778512803e-01,-9.783486847334593506e+00
-1.409110061479135374e-02,7.122218122146827257e-01,-9.800599375287784909e+00
3.251902252719756237e-03,9.031159379308213442e-01,-9.793791479658603194e+00
6.900444247657401900e-03,1.071008736836739361e+00,-9.781481772551110510e+00
-4.794432736994256802e-03,1.230611651278935348e+00,-9.780198246861424138e+00
-5.281415536124598950e-03,1.369383617750153936e+00,-9.800648454126539733e+00
1.605370272492297233e-03,1.493303638383360443e+00,-9.800184138127640665e+00
-1.064622580232280069e-03,1.602597050543712598e+00,-9.792689425006274817e+00
8.728497770688643104e-03,1.709096823794026054e+00,-9.791699406449565046e+00
-2.205276868054846257e-03,1.794613483106589857e+00,-9.796917085399869052e+00
1.706792049877266541e-03,1.866735014656488723e+00,-9.793492956031133900e+00
-2.224865713608444373e-05,1.952683031917759049e+00,-9.810516664586909741e+00
-4.532724842812751141e-03,2.020379619636591517e+00,-9.786996262556638015e+00
-2.696721230940569633e-03,2.068758974406597950e+00,-9.805033703263534406e+00
1.632296401148385437e-03,2.131454551209114534e+00,-9.789939607311564984e+00
-8.277401178171146442e-03,2.191994247103670190e+00,-9.779365376479693950e+00
6.784885002103040880e-03,2.212311316415258133e+00,-9.793957439266259613e+00
-6.993970220151325950e-04,2.261666809355115326e+00,-9.803976688388038596e+00
7.929857041229549514e-03,2.303390550700965544e+00,-9.801095257068565658e+00
-2.696630046031649620e-03,2.329857341539209425e+00,-9.791624706827954938e+00
1.167755509431488495e-02,2.368546167883998077e+00,-9.795702782975732603e+00
-4.001872229886490988e-03,2.384768259490246844e+00,-9.803054317815369956e+00
1.116559664584036542e-02,2.403527802166461669e+00,-9.787072657250734053e+00
1.652653578451101059e-03,2.436855867707895751e+00,-9.808245681334657462e+00
-4.511584217096330403e-03,2.447181809032727973e+00,-9.806321630738658257e+00
4.695517144613226956e-04,2.458953348410012119e+00,-9.802867291400305660e+00
3.457558907021409268e-03,2.478212804520989021e+00,-9.787086754679947376e+00
1.912958237170808576e-03,2.503808770040045317e+00,-9.795951344296254248e+00
-4.347130325511738488e-03,2.504678024596200814e+00,-9.796161940495009546e+00
-3.350593993626437006e-03,2.523045448341697305e+00,-9.792342252483203779e+00
2.324328455124835026e-03,2.531493168217487710e+00,-9.788498754613502939e+00
6.974930013571235127e-03,2.532319944677997814e+00,-9.783873305404739540e+00
1.394737583215814938e-02,2.545681054882200200e+00,-9.797830911151150346e+00
-4.437835588700055935e-03,2.552205923708411817e+00,-9.797203533613954463e+00
-5.222766276969940252e-03,2.559893087243809262e+00,-9.798803216882005174e+00
-4.762985904476738259e-03,2.565077847808445277e+00,-9.796676378112904260e+00
1.013345000774165151e-03,2.561337729148200903e+00,-9.784093873494105864e+00
-5.086575751440922805e-03,2.576196148938403763e+00,-9.793195279558720046e+00
