carrier_phase_1,carrier_phase_2,carrier_phase_3,carrier_phase_4,carrier_phase_5,carrier_phase_6,carrier_phase_7,carrier_phase_8
114209028.74787383,121804733.15913703,122928832.36953866,125591281.97601871,111627369.2500039,104679343.2508888,96409542.93166779,97713437.52282068
114209111.65896243,121804849.56297515,122928815.27423476,125591155.39114381,111627366.60666826,104679274.86352701,96409586.09723377,97713369.38679504
114209118.36064339,121804805.8963977,122928842.49124885,125591220.21585225,111627333.12100548,104679403.3756745,96409470.24724008,97713396.94752143
114209062.54887114,121804729.13131961,122928678.76685339,125591123.86296122,111627415.39414674,104679364.81091003,96409536.47421303,97713472.10473742
114209055.42797776,121804885.9227541,122928765.01955137,125591191.15762366,111627382.70322816,104679356.66800329,96409437.53297798,97713369.20600665
114209184.98103765,121804794.23646283,122928643.9545381,125591189.11955576,111627314.87767488,104679345.79611067,96409529.69528493,97713429.77044708
114209144.27988221,121804701.30864224,122928826.87545627,125591146.03860891,111627311.94243073,104679360.2403338,96409463.53801273,97713476.13847524
114209104.75534739,121804775.87694348,122928792.40291014,125591220.92730196,111627408.03031379,104679383.02225006,96409688.35912195,97713398.29374185
114209163.24291307,121804820.74638581,122928816.97274154,125591204.99633658,111627348.2352147,104679415.1279568,96409646.34965886,97713400.24148908
114209066.03112021,121804792.75761347,122928845.7594926,125591141.87807345,111627352.93289779,104679354.93702717,96409511.14275809,97713502.84376562
114209142.26650758,121804836.9655917,122928756.19167261,125591079.87594688,111627323.02904873,104679317.21899623,96409492.96958014,97713416.54845384
114209103.215678,121804784.50470398,122928787.9060551,125591175.9325719,111627333.98233756,104679388.1588199,96409530.80799003,97713400.1506503
114209090.4259771,121804759.86621086,122928749.00031988,125591225.2365951,111627366.36733897,104679365.29035993,96409526.12235816,97713511.2508035
114209076.04042582,121804758.17177586,122928875.65027459,125591153.18240267,111627260.08437575,104679372.76403746,96409596.77937138,97713401.4087086
114209130.2761099,121804776.22462179,122928753.90164223,125591130.71358821,111627394.60729751,104679412.37508303,96409553.21634385,97713396.6801667
114209092.02366097,121804808.49818046,122928793.21270485,125591101.9969916,111627341.90199268,104679365.25839512,96409467.89011428,97713382.8592497
114209114.80095111,121804776.7875961,122928882.02853665,125591142.47274697,111627347.80689134,104679255.78127885,96409489.93216708,97713501.544772
114209182.08438775,121804772.67485055,122928764.1283595,125591155.33528659,111627415.33643168,104679312.37269378,96409460.7288496,97713449.73767379
114209173.70340776,121804805.27247246,122928877.90565692,125591176.2723648,111627391.06591395,104679360.59800464,96409522.52298743,97713374.43380323
114208986.41605313,121804858.30502479,122928756.69299306,125591030.61217044,111627355.42560038,104679465.56770319,96409560.51777907,97713457.54124305
114209104.86958477,121804867.71703468,122928866.77715391,125591154.69260544,111627274.93744186,104679362.96827108,96409479.44042915,97713453.25959161
