gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707457557979021687e+06,4.688703742857901379e+06,3.360104891519244295e+06,7.260270098849396447e+00,-7.150549503448762501e+00,-2.412908433064212335e-02
-2.707454502523154486e+06,4.688703420248674229e+06,3.360095358084604144e+06,7.105337117064499886e+00,-7.009394091103081870e+00,1.143865945806213785e-01
-2.707461519627213012e+06,4.688692275277301669e+06,3.360091092882331461e+06,7.028687645422420083e+00,-7.184184928788691415e+00,-5.564138339874650369e-02
-2.707459497819228098e+06,4.688695209114147350e+06,3.360103109208778478e+06,6.970201524181447894e+00,-6.968150827475805720e+00,8.983659418907181948e-02
-2.707448042047891300e+06,4.688704574434509501e+06,3.360098452442171518e+06,7.222180812467351885e+00,-7.149077142740620339e+00,1.034534607075192764e-01
-2.707451686433211900e+06,4.688695167260142975e+06,3.360107193926109932e+06,7.209118626782057504e+00,-7.066959444910615673e+00,4.978355894300950935e-02
-2.707457900461604819e+06,4.688691836019500159e+06,3.360101855160920415e+06,6.994996947406819210e+00,-6.955552825004263084e+00,5.576807644290127097e-02
-2.707454207221592776e+06,4.688700325777543709e+06,3.360103840912830085e+06,7.071275969358770119e+00,-7.004532117981892902e+00,1.268014842333265724e-01
-2.707455846481248271e+06,4.688696111324509606e+06,3.360107005975739099e+06,6.882450296517595767e+00,-6.862520119223594506e+00,2.458758479888437376e-01
-2.707453851958235260e+06,4.688691243348479271e+06,3.360103188273449894e+06,7.051081898218013677e+00,-7.039391559464560189e+00,1.230896765885513555e-01
-2.707454191918116529e+06,4.688694719515240751e+06,3.360102168431299273e+06,7.112616047128788033e+00,-7.098909409053392849e+00,-2.498694649113282762e-01
-2.707454910147035029e+06,4.688697191076009534e+06,3.360093909415983129e+06,7.047053150153068657e+00,-7.084349213122306921e+00,8.821053250539940063e-03
-2.707448637623625807e+06,4.688691580185926519e+06,3.360107718821531627e+06,7.045335120113413119e+00,-6.869225875165809292e+00,-8.298065015246965104e-02
-2.707448573912698310e+06,4.688687387331794016e+06,3.360086882445829920e+06,7.298363226198318898e+00,-6.808189017427610068e+00,-1.565456520977742405e-01
-2.707448966271512210e+06,4.688689367019525729e+06,3.360105999625517055e+06,7.533737235660972864e+00,-6.429270173686732370e+00,-1.135509807621788714e-01
