mag_x (uT),mag_y (uT),mag_z (uT)
2.309020417946629422e+01,2.316345357649434789e+01,3.791457982955257222e+01
2.318418908606265560e+01,2.303035016398620272e+01,3.767066953425818099e+01
2.332048981271147881e+01,2.300536477649007949e+01,3.784666966899710161e+01
2.313907140718207600e+01,2.308222828401554594e+01,3.803689513765792185e+01
2.336345561803860704e+01,2.312462325758255233e+01,3.788971392509345293e+01
2.320681719689192946e+01,2.314357934516940318e+01,3.833800857246791338e+01
2.302140989558531459e+01,2.270131121714268119e+01,3.797880929978013143e+01
2.325239473154046266e+01,2.304954333288094048e+01,3.787099469975963473e+01
2.338910051828499093e+01,2.306467349736504246e+01,3.803184970444111457e+01
2.297478854175194130e+01,2.309895607264448714e+01,3.820789451251084756e+01
2.321594967982189317e+01,2.316685708683969125e+01,3.787615128342883253e+01
2.341521382177857902e+01,2.306243988220245811e+01,3.822774108446829899e+01
2.302867862525851805e+01,2.315392892585578011e+01,3.784099065506356396e+01
2.317201718012492861e+01,2.321203213451932967e+01,3.783703859881570253e+01
2.297717519349203030e+01,2.269300534884926535e+01,3.788697932690745773e+01
2.288415924247610533e+01,2.302568434383663742e+01,3.749697324903276296e+01
2.317652226554218586e+01,2.322130898245346486e+01,3.769809846114457486e+01
2.307092286687008453e+01,2.286687796583309407e+01,3.783615108892866630e+01
2.323314315500444849e+01,2.286910358357844686e+01,3.797562218621690278e+01
2.308349126197671097e+01,2.306677034554742889e+01,3.775697311816852419e+01
2.300790006435690671e+01,2.278025759089414137e+01,3.753687922240942498e+01
2.348289853604645216e+01,2.324293091194736149e+01,3.792797077387655236e+01
2.314511646015365898e+01,2.299367444039106445e+01,3.774978468905246132e+01
2.290394507501862620e+01,2.301354840084106357e+01,3.804838723619724306e+01
2.308237782133311811e+01,2.294450884102465338e+01,3.771643900969198882e+01
2.268621140411502779e+01,2.293057189384677486e+01,3.803390594541809833e+01
2.315746122664743822e+01,2.316344717602931169e+01,3.784145207220318952e+01
2.314540791228005290e+01,2.326526026578718387e+01,3.802889854836090677e+01
2.330023745745217312e+01,2.319955157229735576e+01,3.780045781376127678e+01
2.333460965847720558e+01,2.344221681895386311e+01,3.792647073200608787e+01
2.320080895971643997e+01,2.277970533689281751e+01,3.750561119418858880e+01
2.290276380455184224e+01,2.341014162830412815e+01,3.786955770815208666e+01
2.279387732299115044e+01,2.300975430026112534e+01,3.769226066011190568e+01
2.294107743466649296e+01,2.340221535810684017e+01,3.827080216052068806e+01
2.280684289001277776e+01,2.365345037149459628e+01,3.786039056742922071e+01
2.329965860913777576e+01,2.308559129711425228e+01,3.835358193715816100e+01
2.337855877968144469e+01,2.298632799181403641e+01,3.769908108544213832e+01
2.302340759212599153e+01,2.331896410379852469e+01,3.789501878068301011e+01
2.291503692523860281e+01,2.286341435831662494e+01,3.776251618577641977e+01
2.304836558798768209e+01,2.311233307975100715e+01,3.781929807893589413e+01
2.323756762255955266e+01,2.269543285777996999e+01,3.800328211464194794e+01
2.326260804285855599e+01,2.295290329062450496e+01,3.791800733963764003e+01
2.319588827682259335e+01,2.309831070732785818e+01,3.747695922030958116e+01
