pseudorange_1,pseudorange_2,pseudorange_3,pseudorange_4,pseudorange_5,pseudorange_6,pseudorange_7,pseudorange_8
20199995.940452177,22321318.076256208,23200012.7603956,22321351.15324676,20200008.980698876,18078681.973232877,17200007.44107262,18078690.39887866
20200011.717533544,22321340.22456156,23200009.506684404,22321327.062564515,20200008.474547222,18078668.9597032,17200015.65545717,18078677.431870233
20200012.994197153,22321331.91960957,23200014.685298547,22321339.401277866,20200002.101393938,18078693.418325763,17199993.60939618,18078682.67745255
20200002.373177983,22321317.3077821,23199983.530623775,22321321.06360653,20200017.761348244,18078686.07747717,17200006.210538436,18078696.98114405
20200001.02054447,22321347.146282542,23199999.94206445,22321333.870025255,20200011.535906956,18078684.52722292,17199987.382901363,18078677.400446847
20200025.671503175,22321329.69834107,23199976.90616806,22321333.48239708,20199998.631407518,18078682.457159974,17200004.922579065,18078688.923604276
20200017.923331086,22321312.017490976,23200011.715302248,22321325.280375805,20199998.071451772,18078685.207610942,17199992.32892084,18078697.746521603
20200010.40741707,22321326.206963208,23200005.15599343,22321339.535307832,20200016.35561074,18078689.544252727,17200035.11646532,18078682.93264587
20200021.53573499,22321334.74130723,23200009.82942032,22321336.50420738,20200004.974773034,18078695.654771246,17200027.125779208,18078683.30389088
20200003.037242122,22321329.418078277,23200015.30581459,22321324.49312193,20200005.874387596,18078684.195795305,17200001.38891223,18078702.83048403
20200017.54542817,22321337.830076084,23199998.265642468,22321312.694937263,20200000.18276349,18078677.01983096,17199997.935605716,18078686.408955734
20200010.110840388,22321327.84426893,23200004.300733197,22321330.97212277,20200002.26885437,18078690.520504788,17200005.135173183,18078683.29063931
20200007.68177418,22321323.157754865,23199996.896257907,22321340.356843412,20200008.428848363,18078686.173597995,17200004.245786674,18078704.43234566
20200004.942403384,22321322.836905614,23200020.997901935,22321326.644433632,20199988.206300654,18078687.587011773,17200017.687580843,18078683.53148101
20200015.2605853,22321326.268831335,23199997.828114465,22321322.369383696,20200013.80237745,18078695.125539795,17200009.39486887,18078682.62707869
20200007.980075184,22321332.415532075,23200005.306813583,22321316.906553175,20200003.77663288,18078686.16281037,17199993.155816767,18078679.99774829
20200012.318145577,22321326.37958824,23200022.21347208,22321324.60428772,20200004.897210155,18078665.327853516,17199997.35293037,18078702.58397528
20200025.12116298,22321325.59855608,23199999.772744853,22321327.05196655,20200017.74933889,18078676.099262115,17199991.79820007,18078692.726501375
20200023.526866503,22321331.79722981,23200021.42766703,22321331.036802337,20200013.128370747,18078685.273544908,17200003.55668715,18078678.39001795
20199987.887999486,22321341.89005797,23199998.359905124,22321303.31751872,20200006.350366946,18078705.252122585,17200010.78459404,18078694.212345276
20200010.425098598,22321343.68531303,23200019.311572872,22321326.93311608,20199991.028731767,18078685.72633224,17199995.3586664,18078693.396104954
20200005.43042718,22321329.112882264,23200005.880722847,22321301.918871358,20199993.161280323,18078684.566823944,17200016.887045447,18078691.726584163
20200018.16944186,22321320.752533868,23200015.631003845,22321329.10978702,20200018.37940248,18078687.528039336,17200002.741064303,18078692.400426697
20200014.21558012,22321316.04452445,23200003.722229455,22321330.018098585,20199998.165807847,18078707.594230924,17200013.320244893,18078690.430127785
20199991.20467773,22321320.31386091,23200011.58794533,22321328.843664147,20200005.71237396,18078691.253139228,17200020.244937718,18078702.134897865
20200008.241512697,22321339.318472736,23199991.23542289,22321322.363581683,20200023.371954583,18078685.495688792,17199994.95085597,18078682.647246685
20200003.7772903,22321326.81918394,23199994.034040313,22321316.301639423,20199994.47583184,18078694.184322637,17199994.42542582,18078684.669896014
20200012.65639553,22321321.962597102,23199996.04185301,22321321.605182093,20199998.36011733,18078667.936403733,17200012.30776776,18078680.86910897
20199997.514682434,22321327.491321545,23199980.654186636,22321323.10862254,20200017.213222858,18078676.17569755,17200001.042156067,18078675.1629094
20200004.795054052,22321316.92811445,23200003.01272417,22321334.07851763,20200014.167528413,18078700.89469592,17200000.693751175,18078690.232096374
20200010.481428023,22321311.594768856,23200005.98842997,22321333.556062657,20199995.143141486,18078685.343282327,17200003.72321656,18078692.93047899
20200007.02824274,22321333.984522413,23200014.082242,22321341.346750263,20200006.91976069,18078693.7405576,17200013.292976953,18078686.82086549
20200009.790426012,22321351.5370106,23200012.069159452,22321332.781650454,20200006.24859092,18078705.926414788,17199994.54475719,18078691.12401154
20200001.431967724,22321330.255548347,23200009.84417189,22321341.31387623,20200019.464128062,18078689.578175955,17199974.124073077,18078681.215816084
20200008.14298093,22321327.607108045,23200003.823960993,22321316.51213739,20200017.966774836,18078681.79487678,17200005.43343354,18078681.91078748
20200003.793847755,22321324.941276852,23199997.577605374,22321318.423295207,20199999.65505303,18078686.00077021,17200011.946235526,18078687.934788156
20200000.208467674,22321350.22209423,23200010.418621846,22321316.99785262,20199998.007282637,18078689.3627653,17200015.383891754,18078717.512929324
20199994.343496386,22321318.550142247,23200010.8367409,22321326.234492384,20200010.46031916,18078684.740161847,17200005.346113972,18078692.631248105
20200018.57212705,22321335.85019656,23200010.95014517,22321330.849748086,20199993.63398784,18078687.553441267,17199995.069519956,18078693.24639794
20200007.620711673,22321333.283101927,23200006.44525558,22321324.08690235,20200015.62549795,18078694.284116514,17200004.26525486,18078702.13114505
20199994.77789851,22321329.007511444,23200031.69863913,22321359.078662276,20200013.910866905,18078669.46631211,17200007.64618526,18078661.76834251
20200015.734199367,22321349.910121337,23200018.599709615,22321326.771389652,20200011.39082545,18078678.704585847,17200003.82954302,18078691.921450555
20200018.014910825,22321319.368182313,23199992.173829775,22321320.64095766,20200003.12106612,18078686.50924148,17199988.011052802,18078683.855758186
20200006.487664588,22321339.411744017,23200006.809337884,22321331.29211149,20199997.097439576,18078679.394509736,17200011.717301387,18078693.986695435
20200005.146072812,22321300.041485228,23199991.996505313,22321328.109981727,20200004.02076129,18078698.121608328,17200008.10991817,18078693.508101728
20200020.751882207,22321321.99712854,23200023.820667326,22321321.982568156,20199992.62657594,18078700.29692454,17200008.450350627,18078677.885684747
20200024.420222543,22321325.4904125,23200008.13055029,22321341.461830176,20200000.332645465,18078681.986870907,17200015.47548445,18078680.2986614
20200014.755572982,22321307.115760382,23200017.79360826,22321316.500376794,20199999.17988578,18078664.99869107,17200018.781142045,18078701.04665144
20199998.671198793,22321318.334333815,23199996.70828852,22321332.772635467,20200016.117446963,18078708.260017894,17200004.336216737,18078694.835327517
20200013.731998418,22321322.724573977,23200016.535044603,22321310.68291814,20200001.49351336,18078702.31868101,17199985.310109988,18078696.37580835
20199999.212428942,22321334.891181964,23200001.411203004,22321328.613489594,20200018.426182702,18078694.88365054,17200040.455955762,18078681.56110056
20200014.3143688,22321321.064049385,23199990.093833167,22321329.987017054,20200005.58763416,18078701.599982176,17199996.016230695,18078689.225493774
20200010.615929697,22321306.796021774,23200012.164078653,22321333.560832325,20200016.013999242,18078672.311850943,17200028.22263779,18078696.160477396
20200011.974076744,22321329.701079246,23199998.371950816,22321343.4264871,20200004.452676274,18078692.928862657,17200016.75087618,18078669.539087705
20199999.3939639,22321339.30899051,23199990.43100865,22321331.25566475,20200000.903145444,18078686.297719497,17200004.285461023,18078686.452043995
20199999.424284585,22321341.985454243,23200002.806720186,22321326.74523087,20200004.754184358,18078679.5877166,17200012.72217297,18078682.659831177
20199998.86541131,22321335.337887682,23200011.43887641,22321337.807054114,20199986.76292898,18078683.99474273,17200005.47110147,18078688.909502797
20200014.247679546,22321331.775057647,23200009.471010413,22321308.96910841,20200001.940065097,18078692.15248272,17200021.707038302,18078708.147762973
20200002.502792675,22321337.920241825,23200016.501521338,22321342.89667221,20200016.559293106,18078687.079688657,17200001.687968113,18078675.761537757
20200002.15858051,22321330.024272703,23199999.61098017,22321341.857530124,20200016.626986623,18078684.1994587,17200004.691577114,18078686.484602537
20200018.3069871,22321314.656793382,23199981.21312478,22321323.329768274,20200005.532496605,18078689.893683385,17200041.103412993,18078692.75107987
20199992.9000176,22321346.608127885,23200020.89710378,22321344.536906622,20200015.87486947,18078688.306163393,17199996.689146634,18078683.155052602
20200013.4547257,22321332.103063997,23200022.04851143,22321327.0865353,20200002.222258233,18078682.45743098,17200000.87422869,18078688.366937462
20199998.975368537,22321326.984594658,23200008.090033628,22321327.293416295,20200011.261995804,18078693.07050653,17200008.17584091,18078690.604047976
20199992.355704863,22321341.015971236,23199997.746886365,22321312.71943368,20200007.866876923,18078690.98836704,17199986.41477583,18078677.39520397
