gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707028565188190434e+06,4.688710198628198355e+06,3.360432452680929564e+06,-8.870476251704992321e-02,-1.261098214977706689e-01,2.928606977976297432e-01
-2.707033413681759499e+06,4.688712552391852252e+06,3.360438588092879392e+06,4.349335237017345479e-01,9.467875754031650215e-02,-2.654848323328396278e-02
-2.707030409560865723e+06,4.688711808154364116e+06,3.360426807975313161e+06,1.192912364853901730e+00,5.587841599565245183e-03,1.777270109605023907e-01
-2.707030665994871873e+06,4.688712933799695224e+06,3.360429805460864678e+06,2.086094035990889051e+00,2.081936378716810754e-01,1.505589872843028088e-01
-2.707026549844303168e+06,4.688710061172451824e+06,3.360427778279663064e+06,3.083185575866685735e+00,-1.035191737043004018e-01,-1.185262041355430451e-01
-2.707029510130727198e+06,4.688710146357369609e+06,3.360433018205999397e+06,4.374203407178979930e+00,1.280953505340733101e-02,-9.865316602482721020e-02
-2.707029839350318536e+06,4.688709894131897949e+06,3.360436777517008130e+06,5.036547262597588670e+00,2.163671821845422963e-02,-1.237635421997790169e-01
-2.707020172733040527e+06,4.688712432872612961e+06,3.360430931529781781e+06,6.079905695632600526e+00,-1.944072735785500050e-01,-2.105036064316152464e-02
-2.707033251950921956e+06,4.688710545594879426e+06,3.360438236290193163e+06,7.309948175086459443e+00,-8.310359604072388440e-02,1.812482385457967748e-01
-2.707023628104641102e+06,4.688711584569549188e+06,3.360431610803076997e+06,8.166994085061549669e+00,8.400383595464345349e-03,1.707472260949121912e-01
-2.707024382846659515e+06,4.688712298283290118e+06,3.360428785309021827e+06,9.105053971920126443e+00,-2.419174353233335614e-02,1.717775379147591097e-01
-2.707022254387763329e+06,4.688711294598528184e+06,3.360437361889903434e+06,1.002175285017465889e+01,9.487755844432999019e-02,-5.769608152829421022e-02
-2.707017765181826893e+06,4.688712268663894385e+06,3.360434884277823847e+06,1.115739102565721019e+01,1.275937636834205413e-01,-2.084965789370967285e-02
-2.707024869071748108e+06,4.688711733080523089e+06,3.360433892194329295e+06,1.207088747464907819e+01,-1.961909445814939354e-02,-1.162045428213291376e-01
-2.707020778040301055e+06,4.688712846801154315e+06,3.360432182313072495e+06,1.301136950718306551e+01,-7.322236211265577277e-02,2.108523414614328628e-02
-2.707023761089907493e+06,4.688709648241813295e+06,3.360422643783115316e+06,1.400718611806448521e+01,-2.720606248736803789e-02,7.347733321121650840e-02
-2.707020315353795420e+06,4.688713088995929807e+06,3.360431942747870460e+06,1.508105020709373534e+01,-1.273858720605557104e-01,-5.811735578921423118e-02
-2.707018958162874449e+06,4.688707387981050648e+06,3.360429489751875866e+06,1.608975990704895409e+01,-5.589496338675836729e-02,1.829030860766196476e-01
-2.707013573181417305e+06,4.688712156685060821e+06,3.360424830563343596e+06,1.706786888525516943e+01,5.662792844577980989e-02,8.543419143267383387e-02
-2.707012222918834072e+06,4.688715487645653076e+06,3.360429833887276240e+06,1.814212917391832036e+01,7.458749762921382254e-02,2.472876021851899697e-01
-2.707011855651536956e+06,4.688712281310057268e+06,3.360426165491296910e+06,1.910709941977114212e+01,-1.676724662899549134e-01,-2.674042708128116647e-02
-2.707002555043461267e+06,4.688709556131904013e+06,3.360436126456293277e+06,2.015954676769175791e+01,-2.331472287713921010e-01,1.444360865755747736e-01
-2.707002702932369430e+06,4.688707272134430707e+06,3.360437179081912618e+06,2.131792536361330548e+01,-8.425743102739391421e-02,2.359310032525233081e-01
-2.707007148441037163e+06,4.688711593509368598e+06,3.360429071162456181e+06,2.208556266533570778e+01,5.660644258795721057e-02,-5.818917066937547705e-02
-2.707004252858764492e+06,4.688711073383062147e+06,3.360436272223144304e+06,2.302341072879230666e+01,1.512791377618504240e-01,2.457791901091336273e-01
-2.706993536851957440e+06,4.688709322041094303e+06,3.360430008444913663e+06,2.399445715004076263e+01,1.112566278679828352e-01,-1.987643352473168479e-01
-2.706995707537067588e+06,4.688711268364617601e+06,3.360433522963454481e+06,2.519713343128153582e+01,6.728631208360363880e-02,-1.197487547283391102e-01
-2.706992369197068736e+06,4.688714583155247383e+06,3.360440853964900132e+06,2.589150366994585539e+01,-1.972842298011698650e-02,-3.399958964090061403e-02
-2.706990944848177023e+06,4.688704958563927561e+06,3.360435595636977348e+06,2.705640890928590281e+01,-6.240655543691278617e-02,-1.211383275095760104e-01
-2.706988563693293370e+06,4.688709097014769912e+06,3.360434145757707302e+06,2.808458702205699709e+01,-6.957961014365388053e-02,4.216869485303751525e-02
-2.706991693555384409e+06,4.688712767517412081e+06,3.360422269706197549e+06,2.907254146689653496e+01,-1.839426538605964945e-02,-2.422786753898861778e-01
-2.706988449020136613e+06,4.688709069336827844e+06,3.360428416935419198e+06,3.013421400676138973e+01,3.229094706281179089e-02,1.428284724967465169e-01
-2.706981691022932529e+06,4.688711788625311106e+06,3.360424253038686235e+06,3.106896586818985284e+01,-1.364130788614993095e-01,-8.654780255056238047e-02
-2.706981330479589291e+06,4.688705248336353339e+06,3.360431973924659658e+06,3.200333887258604904e+01,-6.686197652896649912e-02,3.489589368042944617e-01
-2.706977139114765916e+06,4.688715789356132038e+06,3.360429092906798236e+06,3.310010428583729691e+01,-8.978536790182491123e-02,-4.332234400877039981e-02
-2.706973382049454842e+06,4.688717063995962963e+06,3.360431807107266039e+06,3.409478612814582021e+01,3.577149119605740890e-02,1.723883132547579522e-01
-2.706970277397206053e+06,4.688712347735212184e+06,3.360436656463912223e+06,3.502578770863148350e+01,1.543144427743463887e-01,-1.039939593218347225e-01
-2.706961994256304111e+06,4.688709645214145072e+06,3.360425414667994250e+06,3.606262116322805866e+01,-1.109864886265570921e-01,2.749025563310444203e-02
-2.706961740270869806e+06,4.688715418129147030e+06,3.360429795875396114e+06,3.721026563141339238e+01,-1.850229280015761590e-01,9.695935617313834742e-02
-2.706955566822244786e+06,4.688711484056700021e+06,3.360440675913550891e+06,3.817836694682704035e+01,-4.654427838305868342e-02,9.814405628212116706e-02
-2.706955631250160281e+06,4.688707913038566709e+06,3.360430016321136616e+06,3.902424428559290703e+01,-9.184477182742420420e-02,-4.537644086155952911e-02
-2.706950069946086034e+06,4.688711456376184709e+06,3.360425820145186037e+06,4.025568542038843844e+01,-1.716322935307324979e-02,1.292283524891610080e-01
-2.706946684160908218e+06,4.688711347936566919e+06,3.360427564490735997e+06,4.107522473878124458e+01,-8.248183592447715096e-03,3.788139095916358279e-02
-2.706943670567601454e+06,4.688714528215667233e+06,3.360431202186609153e+06,4.210465406243014286e+01,-1.045569459791910738e-01,-1.286089783754654214e-01
-2.706940419556897134e+06,4.688715089752336033e+06,3.360439283236253075e+06,4.312011596558226501e+01,4.531591865586928614e-02,6.695400556028008321e-02
-2.706932062484864146e+06,4.688710602848179638e+06,3.360429836949035525e+06,4.403150655254658119e+01,-1.034818015577648603e-01,1.021246318069467113e-01
-2.706927901294143870e+06,4.688716016577138565e+06,3.360429062838551588e+06,4.515902808552128533e+01,1.202382784944013017e-01,-1.605134598358664288e-01
-2.706924599914796650e+06,4.688714648099244572e+06,3.360435920167048462e+06,4.613972547542790181e+01,4.949121201809864729e-02,-2.750706998487414401e-01
-2.706921274750518147e+06,4.688712605616358109e+06,3.360430551470862236e+06,4.698125680404982063e+01,-1.963485848180704374e-01,1.248899593635775240e-01
-2.706913409532851074e+06,4.688714540200352669e+06,3.360421303703744896e+06,4.817513007143247705e+01,-2.239467883770140944e-01,-7.123876845547445769e-02
-2.706910185941764619e+06,4.688712482736673206e+06,3.360428702301406302e+06,4.905893316275442118e+01,-4.297855581276802117e-02,1.731337826643850608e-01
-2.706908875342390966e+06,4.688715607081769966e+06,3.360433138136230875e+06,5.015240323660511024e+01,-1.006967104047116895e-01,4.997942273131718988e-02
-2.706898770988822449e+06,4.688706748854729347e+06,3.360432337675469462e+06,5.099240902383382235e+01,-1.065936560348081791e-01,1.311232674225488171e-01
-2.706897007656030823e+06,4.688708479468701407e+06,3.360433904265382793e+06,5.204217249191154337e+01,-9.225311939737096401e-02,-6.668020812429281165e-03
-2.706890037832371891e+06,4.688713690882764757e+06,3.360436420209896285e+06,5.307924051495012918e+01,-6.537203981629825800e-02,-4.306066741214137350e-02
-2.706876424481265713e+06,4.688711530943891034e+06,3.360433829030760564e+06,5.427400580442341038e+01,2.692046986415507284e-02,-1.287211638318351559e-01
-2.706876608563690912e+06,4.688715549895880744e+06,3.360439823041468393e+06,5.510406119744000364e+01,1.360011798969391339e-01,1.837865971729367720e-01
-2.706872547346920706e+06,4.688714017077328637e+06,3.360427007337982301e+06,5.620295636462562072e+01,1.186656768716469329e-01,1.109866209179667940e-01
-2.706870191871040966e+06,4.688709704933321103e+06,3.360428378751323093e+06,5.694579601731449259e+01,2.000996180958831416e-01,-7.397518053283336226e-02
-2.706861386212449055e+06,4.688716730689395219e+06,3.360431743074069731e+06,5.823298318909134963e+01,-3.017641642768442711e-02,-1.052053794267172361e-02
-2.706853703508590814e+06,4.688709709634294733e+06,3.360429589755467139e+06,5.911479569438309056e+01,-3.724707501651041558e-02,-2.554876719833196752e-01
-2.706851623318737838e+06,4.688715844122393988e+06,3.360425638031719718e+06,6.009251587054713184e+01,-1.017601614747846855e-01,3.167153647981089115e-01
-2.706845980352989864e+06,4.688714968374310993e+06,3.360437435298817698e+06,6.091572961675978348e+01,1.337163596500398066e-01,-3.745476490227429567e-01
-2.706835490729686338e+06,4.688709412508944049e+06,3.360438379732159898e+06,6.224389092332419438e+01,3.094228471167009831e-02,-2.579987768247935520e-01
-2.706828786822794005e+06,4.688711997050532140e+06,3.360424844829797279e+06,6.298082470942581068e+01,1.690993879363473229e-01,-1.883318313926072782e-02
-2.706827818116455339e+06,4.688715576051012613e+06,3.360430553047449794e+06,6.412564375286359564e+01,2.523762457869500042e-01,8.091474293583399147e-02
-2.706817376992779784e+06,4.688714027980246581e+06,3.360421795353322756e+06,6.498863153034965023e+01,2.677500975057946556e-02,1.545492982591032405e-01
-2.706811181087288074e+06,4.688713115236165002e+06,3.360437242845489178e+06,6.615348624135934585e+01,1.176845966240819968e-01,8.890868484297265173e-02
