accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.000079241638026417e+00,2.075217967676450115e-03,-9.789210508399801114e+00
1.893847299350172930e+00,4.476568412704793297e-03,-9.788864045291823857e+00
2.706579323925191183e+00,-1.556398204144308678e-04,-9.801934684781123508e+00
3.437481558240298440e+00,-4.369664301831257570e-03,-9.797985488946972410e+00
4.095313402983999929e+00,3.478238912898000065e-03,-9.790721154642685775e+00
4.689358639592353661e+00,-6.718497006691207842e-04,-9.794521079222338500e+00
5.221206690109311488e+00,-1.095539442153970529e-03,-9.798934596719094614e+00
5.698515361005046742e+00,5.890863505429358611e-03,-9.793971363594351942e+00
6.132257120365863123e+00,-1.079631464614936535e-03,-9.790507708701792211e+00
6.511540457461281406e+00,-2.940765964686695242e-03,-9.784438215289778640e+00
6.860993773294099540e+00,-6.401843245449561660e-03,-9.803504816051699322e+00
7.173858169085898240e+00,3.395366631087574048e-03,-9.802790206585457966e+00
7.455174226351735989e+00,-7.645967190952925388e-03,-9.792395083723350879e+00
7.716309227089634959e+00,-6.782380525180333863e-04,-9.791100155623793100e+00
7.946724436848344730e+00,1.624818412846271588e-03,-9.807258567616861100e+00
8.139382284021660752e+00,1.166562771849335121e-02,-9.796187167253131989e+00
8.327694791135526131e+00,-2.871681939668374421e-03,-9.781975162635152543e+00
8.492465398265155230e+00,-7.356304457906535747e-03,-9.791088816872182576e+00
8.638813155040065084e+00,-4.714948782241290028e-03,-9.788582011382914061e+00
8.786361494183488219e+00,5.350476396443166333e-03,-9.787669038615389283e+00
8.899832119551737364e+00,-4.034286280656104035e-03,-9.789195180943160324e+00
9.021507154850471721e+00,9.863736470146534235e-03,-9.784243836664456850e+00
9.112539730017854112e+00,5.059491817694731532e-03,-9.784942667874345190e+00
9.203435854502403757e+00,-7.722569171122032651e-03,-9.798452248105087747e+00
9.282601328029084442e+00,-4.549693556789022493e-03,-9.783285508832765487e+00
9.353162864640649943e+00,2.905288526821239638e-03,-9.793753616106199544e+00
9.418453746921919389e+00,2.196843376958839116e-03,-9.781580176865084297e+00
9.477849530870303241e+00,-6.464925322566345001e-03,-9.804324185368074041e+00
9.514033555673776732e+00,-1.593939716638915474e-03,-9.798196558584656657e+00
9.578607781615113836e+00,5.842408671514723491e-03,-9.785271284661030577e+00
9.614479225620019776e+00,-6.881213972535943010e-03,-9.790509677755922624e+00
9.668204676250690355e+00,5.258754476638452698e-03,-9.803166930474306540e+00
9.699770411206058540e+00,-1.877534922859212373e-03,-9.793745832341084423e+00
9.726929145733656412e+00,7.314976834747827445e-04,-9.789560239640666239e+00
9.750500833568660042e+00,2.898967369241529837e-04,-9.791667678685627152e+00
9.776398114549321505e+00,1.195880757231136812e-03,-9.778823474339013444e+00
9.801122468065759819e+00,-6.675695414461807475e-03,-9.806515174169463833e+00
9.820283166695285004e+00,1.754773802873991519e-03,-9.777563426853214779e+00
9.840562071925102572e+00,4.027791562340210171e-03,-9.796507466634238881e+00
9.850768731924945953e+00,-4.486738504700235261e-03,-9.798507370295819641e+00
9.870682953751153121e+00,-3.696507319675306977e-03,-9.783623285850536533e+00
9.875149245533034303e+00,-3.426504591445058974e-04,-9.793833828718462087e+00
9.889598832094817382e+00,5.162603996656749518e-04,-9.804889734234695453e+00
9.899937436888436082e+00,1.484776295134360678e-02,-9.775529392635016634e+00
9.905593413209471620e+00,3.483270434615610544e-03,-9.781542136628251782e+00
9.912025040776235585e+00,3.041159954052894288e-03,-9.800359683861207927e+00
