carrier_phase_1,carrier_phase_2,carrier_phase_3,carrier_phase_4,carrier_phase_5,carrier_phase_6,carrier_phase_7,carrier_phase_8
108692521.90865381,121388971.10657294,126120615.90786839,122442340.7047599,107868257.91820715,104229389.64955166,91851583.21065463,100675081.8705747
108692463.97256528,121389030.53864361,126120567.04803795,122442351.83829151,107868286.51839584,104229484.74655381,91851496.44062279,100675232.82616667
108692506.01410283,121389041.81847265,126120587.84979373,122442304.44593926,107868268.26964965,104229489.48513085,91851389.50559627,100675166.277312
108692433.48771244,121389035.12284169,126120500.7569549,122442412.71515258,107868275.10005105,104229376.78651115,91851420.20295693,100675160.72836474
108692467.53297423,121388970.51134475,126120611.84127524,122442485.94971296,107868308.97695108,104229390.84659705,91851451.93289119,100675132.88650571
108692442.04811361,121388981.38536204,126120561.55074054,122442380.97459543,107868261.71892212,104229437.66613407,91851471.309627,100675109.5082858
108692476.88494849,121388994.80427484,126120577.24712142,122442297.2802736,107868332.19214405,104229378.79365733,91851438.37857875,100675126.45687734
108692488.34954385,121388936.98280351,126120544.8062226,122442330.73541684,107868231.80603065,104229444.43972993,91851399.76804426,100675194.29268692
108692446.5146251,121389002.54032245,126120664.87937307,122442329.12155724,107868267.73709017,104229501.18825093,91851561.26245447,100675117.7083948
108692520.30005275,121389003.86804056,126120613.48804276,122442320.36006933,107868275.93682277,104229407.815637,91851431.78869851,100675157.37291914
108692454.23577794,121388950.64744048,126120669.05956502,122442419.62093075,107868208.82202676,104229488.74196719,91851405.55990149,100675147.23218621
108692481.71998887,121388908.64170662,126120585.38116069,122442256.01770109,107868232.27728952,104229419.30128272,91851410.51471214,100675203.60428822
108692427.18449104,121388966.40041494,126120585.75659868,122442303.88373235,107868182.40187392,104229477.10172032,91851487.88645478,100675134.14109364
108692458.15959957,121388950.9765723,126120586.61760826,122442225.63894807,107868217.90577823,104229431.80015908,91851530.05518542,100675110.52550432
108692360.55759865,121389043.0545533,126120476.36804779,122442407.07530151,107868231.61952767,104229492.3196611,91851388.06673475,100675153.91958424
108692481.63942917,121388941.83887735,126120654.88823491,122442288.6862644,107868170.41673605,104229446.1660999,91851383.73218223,100675284.89948301
108692433.34630486,121388964.1544053,126120534.1625109,122442315.06946847,107868145.99025968,104229531.59884112,91851379.18432607,100675185.45023993
108692459.75813323,121388862.05808686,126120594.55198677,122442262.13712448,107868260.19747595,104229443.8378065,91851391.10619146,100675151.76038112
108692405.29999316,121388980.80501732,126120628.2247119,122442394.70390475,107868291.45483229,104229466.12001984,91851409.7399898,100675216.00621478
108692490.83631638,121388944.23847745,126120737.96437235,122442226.66409844,107868277.305049,104229447.5363593,91851479.18837275,100675205.53350326
108692460.23226874,121388906.86063398,126120609.47544217,122442380.97251709,107868232.4537091,104229488.31984915,91851479.02975167,100675093.45877202
108692537.96522446,121389014.93103878,126120645.20747514,122442277.49279036,107868273.06435743,104229328.7304539,91851374.21473119,100675232.19253975
108692424.60088697,121388905.01885301,126120629.2882514,122442245.40457779,107868240.12903938,104229325.92870344,91851489.16106525,100675262.43822171
108692464.43684927,121389022.30945617,126120574.56891601,122442316.50461651,107868302.57814868,104229422.6728504,91851451.14130212,100675234.45895031
108692453.78388971,121388996.09689775,126120530.42629214,122442306.16190733,107868179.67218785,104229486.47431266,91851457.6050974,100675174.7747058
108692450.97992367,121388918.1450708,126120672.50032647,122442397.8583008,107868272.44222152,104229405.53578174,91851490.50302498,100675096.74403955
108692447.008522,121389040.9792911,126120654.1502344,122442380.95701413,107868262.13843061,104229523.33189504,91851266.81520404,100675207.06624712
108692504.30128896,121388956.81608593,126120683.039312,122442222.19991614,107868250.43503892,104229396.85699303,91851398.79215859,100675111.14119649
108692492.17913327,121388939.73766969,126120500.00845183,122442379.39946061,107868236.58996065,104229459.4102967,91851467.9124089,100675190.14921734
108692598.68879426,121388890.75514612,126120621.85662411,122442331.26871724,107868297.7166092,104229393.96947084,91851448.81056195,100675131.89376697
108692591.22278717,121388903.66950323,126120684.53558461,122442337.09132701,107868343.70379235,104229440.3201634,91851474.89771152,100675106.03124623
108692422.51590168,121388982.20242739,126120597.84726858,122442399.89985158,107868362.1835311,104229466.48187323,91851413.78394662,100675106.16531733
108692518.10091932,121389036.07409225,126120601.2868216,122442327.40073758,107868306.6271605,104229341.77769634,91851441.1111328,100675032.04882585
108692430.70735769,121388968.1638151,126120622.03429522,122442378.54800792,107868394.5844513,104229428.77181776,91851496.2601224,100675223.0874138
108692509.40919606,121388959.96069784,126120597.12872186,122442197.3316946,107868359.72706838,104229450.24183129,91851441.14826278,100675179.2055672
108692533.66710621,121388966.62325409,126120585.23288195,122442346.76677912,107868278.2898566,104229401.39518389,91851385.32687365,100675151.52411218
108692441.86789581,121388986.64663494,126120649.49304803,122442348.14784692,107868197.98282714,104229463.38636932,91851376.18200518,100675216.77989353
108692439.55779293,121388965.07479998,126120653.03119811,122442285.06270276,107868239.32344943,104229380.33270258,91851411.4180773,100675102.76592551
108692507.60166076,121388856.66899365,126120653.50875777,122442227.43382816,107868251.02080809,104229513.40147826,91851428.54278079,100675199.85630976
108692454.57296945,121389066.18331425,126120592.16655758,122442360.3970711,107868283.38915393,104229436.3009171,91851444.65001582,100675133.67222896
