pseudorange_1,pseudorange_2,pseudorange_3,pseudorange_4,pseudorange_5,pseudorange_6,pseudorange_7,pseudorange_8
20200017.09503437,22321327.394498315,23200006.585186165,22321330.545279764,20200003.584717777,18078675.960212316,17200036.991257615,18078671.626889504
20200006.067892335,22321338.699276,23199997.28256226,22321332.66866324,20200009.028474744,18078694.060191132,17200020.477422774,18078700.350944463
20200014.071453173,22321340.84789617,23200001.242565952,22321323.65264569,20200005.55765671,18078694.960354157,17200000.127765846,18078687.687029153
20200000.269424435,22321339.572212037,23199984.671950534,22321344.25337607,20200006.85650331,18078673.514406428,17200005.96701308,18078686.6327787
20200006.746237185,22321327.27704208,23200005.809072252,22321358.19003751,20200013.30494174,18078676.190950308,17200012.007533237,18078681.330875486
20200001.89903707,22321329.34767443,23199996.24116068,22321338.212504722,20200004.311375074,18078685.097558364,17200015.695189465,18078676.88536467
20200008.530246712,22321331.897382762,23199999.224802595,22321322.28517066,20200017.72050455,18078673.8931498,17200009.431114778,18078680.112495076
20200010.709656686,22321320.895636655,23199993.051107887,22321328.64971106,20199998.614260517,18078686.385337666,17200002.08030902,18078693.018802226
20200002.752483416,22321333.368089758,23200015.89945419,22321328.34463167,20200005.453811582,18078697.18793549,17200032.8147505,18078678.44529283
20200016.788571045,22321333.622634884,23200006.119276825,22321326.678627256,20200007.016274992,18078679.417208456,17200008.17332407,18078685.994293403
20200004.217256986,22321323.497293487,23200016.70097249,22321345.56608063,20199994.241774864,18078694.817597527,17200003.185678765,18078684.064356983
20200009.44840454,22321315.50465749,23200000.77082049,22321314.432647515,20199998.70922265,18078681.60071967,17200004.121644415,18078694.79266252
20199999.070129566,22321326.49264605,23200000.84730307,22321323.538712323,20199989.214750845,18078692.601352207,17200018.8519449,18078681.57345218
20200004.964354735,22321323.561182607,23200001.00655243,22321308.65004663,20199995.97217922,18078683.98552297,17200026.874353595,18078677.075515993
20199986.390336014,22321341.08013117,23199980.028265856,22321343.18045289,20199998.57970732,18078695.498165224,17199999.85535858,18078685.33690055
20200009.434449684,22321321.822949447,23200014.002676815,22321320.64936211,20199986.934978653,18078686.7183084,17199999.0261718,18078710.26441211
20200000.24344079,22321326.067341805,23199991.02541391,22321325.670847557,20199982.285677228,18078702.97318037,17199998.162869286,18078691.338461746
20200005.270826127,22321306.63986795,23200002.51841567,22321315.597664278,20200004.020698458,18078686.274628513,17200000.43307822,18078684.925615113
20199994.906568907,22321329.233312223,23200008.92785219,22321340.823627006,20200009.970217396,18078690.51262803,17200003.978608485,18078697.151978545
20200011.18200734,22321322.27819374,23200029.81081609,22321308.84939518,20200007.27663584,18078686.979127567,17200017.19357849,18078695.160227206
20200005.361209247,22321315.163133476,23200005.360266395,22321338.21090949,20199998.73795686,18078694.736862004,17200017.166305292,18078673.827654507
20200020.14788663,22321335.73015061,23200012.15833253,22321318.51958051,20200006.46989563,18078664.36822324,17199997.217046585,18078700.23292344
20199998.57981731,22321314.814035,23200009.129595987,22321312.41254949,20200000.198861387,18078663.835519236,17200019.09185547,18078705.987968616
20200006.162605423,22321337.136578698,23199998.717675067,22321325.940808393,20200012.08231912,18078682.245610256,17200011.859080274,18078700.662147067
20200004.133842662,22321332.14497324,23199990.315952584,22321323.975256708,20199988.693285245,18078694.389105864,17200013.0880379,18078689.306295138
20200003.596254528,22321317.313457664,23200017.351963587,22321341.42649165,20200006.35046827,18078678.987626836,17200019.346764173,18078674.455897614
20200002.843306694,22321340.686702933,23200013.85948923,22321338.211928222,20200004.389677957,18078701.398418788,17199976.77671315,18078695.45230925
20200013.743667256,22321324.67290286,23200019.35973698,22321307.99962282,20200002.161335096,18078677.330849044,17200001.89723657,18078677.195965756
20200011.435685657,22321321.4244946,23199984.52733244,22321337.91017234,20199999.5294363,18078689.234473832,17200015.046180267,18078692.2301409
20200031.70545687,22321312.101374373,23200007.717132878,22321328.754356463,20200011.161798388,18078676.782124884,17200011.41182101,18078681.144469604
20200030.28503453,22321314.55551,23200019.643778455,22321329.8575759,20200019.90874578,18078685.60432899,17200016.378468167,18078676.22274243
20199998.178696085,22321329.499704503,23200003.14835724,22321341.815121017,20200023.430607602,18078690.580671657,17200004.744260855,18078676.248447433
20200016.372639332,22321339.758153114,23200003.802196164,22321328.015489966,20200012.852243353,18078666.85269341,17200009.94974293,18078662.143772382
20199999.739597894,22321326.828275166,23200007.749860868,22321337.750319503,20200029.595573947,18078683.405391887,17200020.442688845,18078698.498551197
20200014.720115677,22321325.268787105,23200003.007567495,22321303.262914896,20200022.961546246,18078687.490061663,17200009.956574574,18078690.14902954
20200019.330416035,22321326.539480966,23200000.745605443,22321331.707724787,20200007.462933384,18078678.19663296,17199999.33152122,18078684.883096237
20200001.865782972,22321330.34930475,23200012.978469778,22321331.96791772,20199992.179938704,18078689.991476133,17199997.59417732,18078697.302485622
20200001.423406616,22321326.243132975,23200013.653952144,22321319.95983254,20200000.049351934,18078674.184860297,17200004.295475826,18078675.601260684
20200014.375983942,22321305.61316584,23200013.740118988,22321308.994438905,20200002.269904647,18078699.513151556,17200007.55717463,18078694.077918466
20200004.280017402,22321345.4827588,23200002.06081912,22321334.296029825,20200008.4356841,18078684.839402806,17200010.62045419,18078681.482176885
20200004.0025843,22321320.17676271,23199993.543944843,22321308.77063959,20200010.597801965,18078701.080203105,17200018.53095645,18078677.556122888
20200006.161121093,22321327.007738348,23200009.810554877,22321346.448542118,20200014.841739412,18078680.107305475,17199998.806462165,18078663.94633415
