ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
-2.707029109755523037e+06,4.688711955664515495e+06,3.360431434122325853e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707029096136582550e+06,4.688711955664515495e+06,3.360431434122325853e+06,4.138105960899999269e-01,0.000000000000000000e+00,0.000000000000000000e+00
-2.707029020697421860e+06,4.688711955664515495e+06,3.360431434122325853e+06,1.209418989131512134e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707028858570727054e+06,4.688711955664515495e+06,3.360431434122325853e+06,2.138152042447694079e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707028601085802540e+06,4.688711955664515495e+06,3.360431434122325853e+06,3.113302794647290650e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707028245219362900e+06,4.688711955664515495e+06,3.360431434122325853e+06,4.104638397686587226e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707027789917253889e+06,4.688711955664515495e+06,3.360431434122325853e+06,5.101617309269923517e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707027234811915085e+06,4.688711955664515495e+06,3.360431434122325853e+06,6.100563920873397272e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707026579775185790e+06,4.688711955664515495e+06,3.360431434122325853e+06,7.100196627050476827e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707025824762378819e+06,4.688711955664515495e+06,3.360431434122325853e+06,8.100068559613243124e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707024969757913612e+06,4.688711955664515495e+06,3.360431434122325853e+06,9.100023905259000401e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707024014756356366e+06,4.688711955664515495e+06,3.360431434122325853e+06,1.010000833524842179e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.707022959755813703e+06,4.688711955664515495e+06,3.360431434122325853e+06,1.110000290632141962e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.707021804755624384e+06,4.688711955664515495e+06,3.360431434122325853e+06,1.210000101337162270e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.707020549755558372e+06,4.688711955664515495e+06,3.360431434122325853e+06,1.310000035334084068e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.707019194755535573e+06,4.688711955664515495e+06,3.360431434122325853e+06,1.410000012320233687e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.707017739755527116e+06,4.688711955664515495e+06,3.360431434122325853e+06,1.510000004295800480e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.707016184755524620e+06,4.688711955664515495e+06,3.360431434122325853e+06,1.610000001497853361e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.707014529755523428e+06,4.688711955664515495e+06,3.360431434122325853e+06,1.710000000522269659e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.707012774755523074e+06,4.688711955664515495e+06,3.360431434122325853e+06,1.810000000182104785e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.707010919755523093e+06,4.688711955664515495e+06,3.360431434122325853e+06,1.910000000063496373e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.707008964755523019e+06,4.688711955664515495e+06,3.360431434122325853e+06,2.010000000022139588e+01,0.000000000000000000e+00,0.000000000000000000e+00
