ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
-2.707029109755523037e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029109755523037e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029109655523207e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029109365522861e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029108804523014e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029107899622992e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029106585212983e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029104802243877e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029102497572079e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029099623367190e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029096136582550e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029091998476535e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029087174181361e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029081632315647e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029075344636105e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029068285725079e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029060432704631e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029051764986478e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029042264040094e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029031913188286e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029020697421860e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029008603231981e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028995618461166e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028981732167304e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028966934503056e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028951216605026e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028934570496902e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028916988999583e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028898465651553e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028878994639032e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028858570727054e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028837189206854e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028814845838584e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028791536807083e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028767258678563e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028742008362897e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028715783079155e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028688580323476e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028660397843458e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028631233611144e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028601085802540e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028569952774327e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028537833049428e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028504725296982e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028470628319308e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028435541039798e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028399462488014e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028362391791772e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028324328164570e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028285270900466e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028245219362900e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028204172978643e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028162131233141e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028119093662128e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028075059848372e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028030029415619e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707027984002026729e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707027936977376230e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707027888955190778e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707027839935224038e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707027789917253889e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707027738901081029e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707027686886525247e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707027633873424958e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707027579861634877e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707027524851023685e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707027468841473572e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707027411832878366e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707027353825143073e+06,4.688711955664515495e+06,3.360431434122325853e+06
