gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
3.145905863769642152e-02,8.907767467349239198e-04,1.446170850501870761e-02
4.910879991372242917e-03,-3.657628600306578326e-02,1.678431858323045298e-02
-9.849298992942588649e-03,3.367327081300583273e-03,-2.960372350215927442e-02
-1.717295753876923320e-02,-7.442107184927459519e-03,-2.246792372218386555e-02
1.975490003885458160e-02,3.224236416827964274e-02,5.183725995944344495e-02
5.583097452325497256e-02,-4.064222631031981503e-02,-5.391379838117803941e-02
1.846635635450891155e-02,1.285614793243663317e-02,1.692834178929044156e-02
-5.790470376991589674e-02,-2.092808163175166256e-02,-6.744498232318624220e-02
3.107478182187348864e-02,-7.418938205435107215e-03,6.216697906943708697e-03
-9.737158355539328111e-03,-4.217903975206779843e-02,5.082391477745713121e-02
3.783366533680842386e-02,-4.879149851388939196e-02,-1.807596862586272057e-02
-5.135338880880897794e-02,-4.458255737865731566e-02,3.397794209557666867e-02
-4.227898660772769213e-02,1.521416570300869117e-02,-6.044668299018943897e-02
4.418381875717919058e-03,3.636836916862205143e-02,-8.044437365581151578e-02
3.265806022762867550e-02,2.189089608290007219e-02,-1.825327983925073214e-02
-3.190750819068628730e-02,4.315711840831461948e-02,-6.629159409196001829e-02
-9.141858312222247984e-02,6.472818662396512268e-02,-5.718684886694405667e-02
4.730008562786013060e-02,1.872387032040175037e-02,2.330999379900844728e-02
-2.419480455462431553e-02,1.541179850793333514e-03,-1.323318538757656607e-02
9.574874123423206913e-04,1.279409103376434945e-02,-1.677889293620640765e-02
-4.015110584442630609e-02,-4.270091704391275333e-02,-2.166337908537786794e-02
3.960904235709928473e-02,5.120898411628081910e-03,4.699463059507586436e-03
-6.849792077083929898e-02,-1.828455370593814328e-02,3.494129241058445412e-02
-3.113612525285579594e-02,2.193293277108215519e-02,-5.602639567584018904e-02
7.081434662248046498e-03,4.051118660475240552e-02,6.904686174367404353e-03
-3.929224794761966566e-02,2.817332593267217467e-02,2.734765350844873405e-02
-5.901817349791727008e-03,-1.543508050014499866e-02,-1.380125978770487460e-03
3.350154743980954253e-02,4.911136003664262617e-02,-4.461448372447472839e-03
1.932720509378071938e-02,-6.924628978722340532e-03,-5.919732536669283784e-02
-5.329365786391323558e-03,-5.108226730397733700e-02,-4.366995325389665811e-02
-7.304602730773991116e-03,1.287476530515557424e-02,1.036172622771172613e-02
-1.938353756056849023e-02,4.984199790533583307e-02,-7.274953689222571351e-02
9.298264204802840494e-02,4.085349305812326082e-02,-5.018823771883722251e-02
3.803920353782801189e-02,1.295708105145807788e-02,-2.860401089997462870e-02
1.057849286214723461e-01,3.244894168971062393e-02,-4.758807806557058956e-02
-1.931270390791332489e-02,-5.440155565559807657e-03,3.067076846056242256e-02
2.790815111605732951e-02,5.806879830206215787e-02,2.762913807050095330e-02
-7.207882666501926050e-02,-2.673630800670372121e-02,4.376636620164480601e-02
-1.358582078303375087e-02,-7.321307247391801998e-02,4.804253579196111207e-02
-2.606706924925995036e-03,-2.827419628500423693e-02,-1.782853460328326931e-03
2.075256069315252125e-02,3.046129657826988912e-02,8.206386291730226323e-02
1.659068738304252111e-02,1.682664414305080902e-02,-3.315677487055354589e-02
1.261030960992587206e-02,-3.954091428540858905e-02,3.549885251626955923e-02
-3.356677944250816611e-03,-4.243413609398617031e-02,-7.587334037626500272e-02
-3.931925396109903909e-02,8.384925942730298010e-02,-5.270101813828105553e-02
1.452170313389141397e-02,-4.484767220461687715e-02,-2.086716046996685975e-02
4.885821933083815335e-03,-1.027467250036794184e-02,1.181762027225762360e-02
-6.215884715822569961e-02,-3.333275006180668604e-02,-7.948300466321790714e-02
6.432083895402037352e-04,-3.239796167341162797e-02,-7.061700255336640641e-02
-6.940522147217451088e-03,1.384564615574551336e-02,5.293524171178456278e-02
-1.222179131609161216e-02,-5.272535763793466390e-02,4.284781728238479248e-02
4.092774561439013747e-02,-1.200857870910699773e-02,1.375151615042010181e-02
3.441522195601259826e-02,-2.754314931765192154e-02,-4.372146826809578807e-02
-6.478441369848884912e-02,-4.264466282027212091e-03,-3.097098740983765877e-02
-8.352386437633665950e-02,1.397257689799033357e-02,8.690679639401184542e-03
8.307370799194699687e-03,-2.552930337140262365e-02,1.063631769651591542e-02
2.807248707892373921e-02,-1.731862789947602108e-02,-6.798559907906472077e-02
6.460644195133857792e-02,3.221035058958582331e-02,-6.615095047394292660e-02
-7.307738561463150706e-02,-1.070288049464229174e-01,-4.796889993029198468e-02
-1.089428693097594866e-02,-2.161875888426061793e-02,5.168115022251234744e-03
-6.219875665998603892e-02,-6.905831743517829024e-02,-1.635498876660099968e-03
2.322962577953354563e-02,1.222720975380327604e-02,-2.267525658453306905e-02
-1.465223561463989757e-02,6.532808154461137995e-02,2.770270797763197540e-02
1.674535058346046310e-02,1.075885847500016902e-02,-5.552862096041077250e-02
8.443346016696957196e-03,1.533629678481083190e-02,-6.006468672252451152e-02
8.507748965717364456e-03,2.503031097252860285e-02,-5.278293158946636109e-03
-3.017350899235465497e-02,-2.588774522243726672e-02,-1.057885030102590461e-02
-3.089145098203833692e-03,-3.578086845710334168e-02,3.602214979815721030e-02
-3.031459224479416195e-02,-5.882025572370665201e-02,-2.613070025586761852e-02
5.822499917854926516e-02,4.456965791413546041e-02,3.892601768253859534e-02
1.309231300810337513e-02,-1.939679846606257377e-02,-5.784065344147742288e-02
-5.656373309559933893e-02,-4.271435321522878970e-02,-5.537780162549015700e-02
-6.074362941694878143e-02,4.519211934899443339e-02,-7.605578196091197958e-03
-5.849539217244431599e-02,4.994069868876995812e-03,-3.430709988716975148e-03
-1.327557186895297718e-02,6.071330514274505402e-02,-7.201657242126777159e-02
-3.898265984057756872e-02,9.874840333286263871e-02,-3.550386924948111672e-02
-4.675855062683171443e-02,-4.210844573635261212e-02,1.585415642292873836e-02
-2.077452149332140174e-02,3.215395238702423858e-02,8.275512375194346570e-02
4.543663393950750362e-02,-2.536934298835215318e-02,1.724362482707583050e-02
-1.337193770499379986e-01,-4.284474383121282537e-02,1.648192292269361550e-02
1.800126891390580255e-03,-3.984770971850321898e-03,1.923941493955471510e-02
2.170359097707069695e-02,2.619923875787291689e-02,-1.010727686225805153e-02
-2.630638576600387909e-03,-9.729224557853997229e-03,3.701423837407693661e-03
1.796002950315126953e-02,-2.314323602991706641e-02,-6.437231180249730622e-02
-3.003640443629913143e-02,-2.652314019781488747e-03,4.662008424578246296e-03
-3.219268592489351460e-02,-3.508400894206339677e-03,4.646458041698840052e-02
-3.359275190518164894e-02,-2.490132741585797047e-02,8.453627590690312998e-02
-1.384338821937634162e-02,1.115952770134659260e-02,-4.463222036002020138e-02
-1.929139724382205462e-02,2.315467889219682829e-02,5.659803242827294439e-03
-4.093314204832308734e-02,-7.691459329498947541e-03,2.818653047700078740e-02
-5.040160763529349247e-02,3.977674473386981491e-02,2.917766808447204430e-02
3.171460253831056425e-02,6.870160714416408132e-03,-3.733137134558583113e-03
1.303466899442867061e-02,9.874500099008921838e-02,-3.986625987338437288e-02
-1.101764032142384109e-02,1.611542451147429320e-02,-3.491492283643386763e-02
-2.894780438340821896e-02,-2.368545772698526803e-03,2.760150609461024807e-02
2.198945624093902318e-02,-8.906546442386045759e-03,-2.674889159974711689e-02
-1.346781786154518023e-03,-4.325071220563087016e-02,-8.866480682367307298e-02
-5.027618290788454097e-02,-1.357679952649209522e-02,-4.852577503787090102e-02
6.358511697695963527e-02,-1.994604617413786238e-02,-2.195375628933590728e-02
-4.531192361866471542e-03,-1.950560386732520801e-02,-8.622932339683203606e-02
1.245581468685902013e-02,-4.482255335011450792e-02,-1.047452976086470089e-02
-1.063981289385226327e-02,-2.084013030911645303e-02,-5.785678087479430298e-02
-8.696552080924335737e-02,6.295160387011854153e-03,2.785476202759731151e-02
-2.870657350376558392e-02,7.114291187698744412e-02,-2.116569560794645099e-03
1.548680216271663621e-02,-1.408087135248298032e-02,-3.727475589148069451e-02
-7.167028413866745329e-02,-2.115457660803772653e-03,-3.400400242379055774e-04
9.112911013129517887e-03,5.821148124596563223e-02,2.877405742719459439e-02
4.262438150697966249e-02,-1.237508958282952480e-02,3.044129889281439391e-02
-2.944232404377794890e-02,-6.561090678360931988e-03,-6.284559689255257708e-02
1.701123457116954230e-02,3.822105468174308296e-02,-4.357770261289920649e-02
4.260255100852940874e-02,3.692772228751813046e-02,-8.341056782956276974e-04
1.060642470482590742e-02,1.734492719198974311e-02,1.357258094377962118e-02
3.359226204114581366e-02,2.562862799644215553e-02,-5.601381123940070428e-02
