mag_x (uT),mag_y (uT),mag_z (uT)
3.272027077002661599e+01,1.641368700679978476e-01,3.767727674422173578e+01
3.213072057128386660e+01,3.706747640701511110e-02,3.795102217120923882e+01
3.280810618221255481e+01,-1.376583772888712032e-01,3.784606573076893454e+01
3.269387914352066105e+01,5.049007382453183507e-02,3.758577143136512433e+01
3.290543514750617504e+01,4.738279814220475866e-02,3.749749299485638687e+01
3.247318257699817678e+01,2.773590657311102506e-02,3.793507332435331136e+01
3.290582457859486709e+01,1.457814288158899331e-02,3.786586796026847423e+01
3.294426428457839506e+01,-2.124396667382378867e-01,3.741877308547190495e+01
3.275885733163707414e+01,5.331680154348930056e-01,3.815560067064439664e+01
3.262667015543514282e+01,-3.011680001060237366e-01,3.773543299215625524e+01
3.257375342965013942e+01,-1.359822118611258290e-01,3.773555711674882218e+01
3.262270202488991089e+01,1.196371230383336121e-01,3.782263574849183385e+01
3.300805242315334453e+01,2.507159588539938366e-01,3.802696017295816233e+01
3.247080855043878245e+01,3.044693405915168127e-01,3.770005035114799341e+01
3.259570538747977508e+01,-5.304566686464086411e-02,3.785947942366845353e+01
3.267481832005744025e+01,8.599097770485886194e-02,3.762125342106324410e+01
3.289165413849714525e+01,3.056901915066824182e-01,3.765803031456749039e+01
3.286746389024298765e+01,-2.563672037480830279e-01,3.792168119362946044e+01
3.246949733429369900e+01,7.036980985339248706e-02,3.774550798298595566e+01
3.277350666509030219e+01,-1.748191739335607231e-01,3.797710678105963211e+01
3.248293905057816033e+01,-7.048463323305459438e-02,3.778977335244048419e+01
3.255367369106568987e+01,5.759261268928189507e-03,3.774624333726713843e+01
3.285263146086196429e+01,5.556753119069691993e-02,3.763769612186073488e+01
3.246673576353492763e+01,-1.061380194541863137e-01,3.795559149132633792e+01
3.235223192794755676e+01,1.555918002431598279e-01,3.787922732874525877e+01
3.262436866110277833e+01,9.471685770754756373e-02,3.787719636482561469e+01
3.278317362767888454e+01,-1.643873025962157008e-01,3.794458281405528055e+01
3.279231063621760711e+01,-1.264369010801021653e-01,3.784090682392510274e+01
3.293750619540344360e+01,2.090609591214611651e-01,3.777457487610976727e+01
3.254191354556002835e+01,1.622466391634612148e-01,3.797242677714118742e+01
3.258459270920091910e+01,1.646910315404261915e-01,3.749137006746517642e+01
3.253354100706175700e+01,1.528704405711501790e-01,3.796482112270885523e+01
3.261536701686512174e+01,-2.049026839802128852e-02,3.760429700150505283e+01
3.279470024468010081e+01,8.342906872480410074e-02,3.789219744520354283e+01
3.262006836255206110e+01,2.526828073361839788e-01,3.782753668945521497e+01
3.270176880876714165e+01,1.029081398662662211e-01,3.814265221082928292e+01
3.251860402434103747e+01,-2.404521728932577929e-01,3.782645942801825356e+01
3.266495757703479796e+01,1.431512583555994700e-01,3.798330945332699571e+01
3.328281420019623482e+01,-1.459280652849754070e-02,3.809170338010196843e+01
3.271976337240544552e+01,2.354505320193883977e-01,3.814173820781459057e+01
3.254749071119660897e+01,-7.502466571562253772e-02,3.740479849611669039e+01
3.291294126809997067e+01,-2.697022694564105150e-01,3.790029663764784829e+01
3.259117391525688134e+01,5.086301377439144539e-02,3.795575600112923098e+01
3.250099692226861237e+01,-8.742467497177093538e-02,3.813678169781427840e+01
3.260693897027168475e+01,8.751126184226679094e-02,3.766052502369406341e+01
3.263835079687820695e+01,1.573521743852817067e-01,3.756538777601352308e+01
3.282166618978124006e+01,-2.692075607325205566e-01,3.771728258263389932e+01
3.272896501557432458e+01,-4.180116981095133299e-01,3.763203958656099957e+01
3.253714524871461578e+01,-9.947456561938645969e-02,3.790127826386503074e+01
3.256224493825961730e+01,2.833061174362918599e-01,3.774217224212798527e+01
3.297789211314626812e+01,-3.894690379640964872e-01,3.779667837908198891e+01
3.242292216411612316e+01,-2.864965068216898114e-01,3.766500250542154049e+01
3.270662631618846206e+01,-1.932255532567098699e-01,3.770678009059258073e+01
3.250803974279629927e+01,-1.734219005219798659e-01,3.801254891779223044e+01
3.209564819890988474e+01,-3.434692287155767243e-01,3.760413614243549318e+01
3.255509751793940154e+01,5.925665672201536616e-01,3.823294662399520405e+01
3.255395476020334655e+01,8.019510602216284312e-02,3.804638467948878855e+01
3.278436522325164759e+01,1.996534165739808075e-01,3.817771006445147464e+01
3.249673397739042713e+01,-2.248993045603449592e-01,3.778602334802923224e+01
3.260137875354318027e+01,2.545659176669487489e-01,3.785921687920480139e+01
3.275159414917312262e+01,-1.616266433608032349e-01,3.765423342741694057e+01
3.222465846974996850e+01,-7.490372666940535440e-02,3.793073727316996724e+01
3.275667816416314082e+01,-9.352653757638634824e-02,3.773694298639289002e+01
3.269961337371356080e+01,4.978408679618915866e-01,3.792976509397438178e+01
