gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-5.722829399685270581e-03,-4.360776160293559369e-04,-4.243426616631332596e-03
1.552858730525092518e-03,-3.057445696426836553e-03,-2.471119307312478770e-03
1.047204500970889702e-03,-1.089534642437744354e-03,-4.867674110821839338e-03
4.907192107727977905e-03,-7.093574764979711580e-04,-1.817858346792069449e-04
-4.083756420264920972e-03,-1.439202818006992974e-03,1.896290522268730995e-03
-2.979294789799373424e-03,2.098360350048187879e-04,-3.190802723116442988e-03
-5.305123911055703231e-03,4.104090589414078325e-04,6.149392418386421914e-03
2.034273903633058642e-04,-2.364044193088544760e-03,-1.052677191122106332e-03
-1.818217773212687681e-03,1.845726568541353326e-03,-1.661049187952746411e-03
2.589415825385734445e-03,1.818942137555374467e-03,-9.666466965013983731e-04
-1.979224937585712107e-03,-1.162024539387204578e-04,-1.107041978886798240e-03
1.052193412382262981e-03,7.294928993543638640e-04,-6.554872203143948277e-04
-6.296231817416878332e-04,4.215840215603645176e-04,-1.291910558794630423e-03
8.425304803479446601e-04,3.927355569693325929e-03,2.964349696839189887e-03
4.634718052907636082e-03,-2.907342766055638020e-03,-4.106538918260392601e-04
-1.203187317887547921e-04,-3.200442353587994344e-03,5.975656617615421459e-04
2.419048453929692477e-03,3.733628720007226270e-03,-3.112857811681453511e-03
-2.273271659706668519e-03,3.469482262739089027e-03,3.446812628871808847e-04
3.490598807765743212e-04,-7.453152448907542429e-04,2.902384779985571397e-03
-2.688278707860966132e-03,1.699069498197524567e-03,-1.082227461093815315e-03
7.171781080217443918e-04,-1.865849135986222870e-03,3.811976347797249674e-03
-1.072810961957530989e-03,-4.272201917597369392e-03,2.491870128649797175e-03
1.402587213776720562e-03,-4.902737219238439796e-03,-4.275630325414223228e-03
-2.942919682201913020e-03,-9.404613522031620007e-04,-2.577079526372484143e-03
-9.519012974452015045e-04,-1.088165427137870525e-03,-3.676648259329574550e-03
1.816321664024316408e-04,6.350752492096544593e-04,2.151809945689849533e-03
8.059315746738635825e-04,4.370206584503796669e-03,-2.071440993163286767e-03
1.878972454364929816e-04,4.068909414263186040e-04,-4.188881601037810001e-03
8.337784831400114763e-04,2.635101862878465231e-03,-3.808678308122287470e-03
-2.545580638079577001e-03,1.122927863001397684e-03,2.414002624326173820e-03
-7.324857568574028727e-04,-6.905191947956734137e-04,-9.559206986262057913e-04
-5.885624911717348209e-03,-7.294233942354554643e-04,-2.846026178655841621e-03
1.994620008260133363e-03,-6.807030607881622689e-05,-3.231091848526453265e-03
-2.414482280648827441e-03,-3.934198627685845870e-03,-3.170868229687435168e-03
-2.453890376176352892e-03,-3.907964622769467822e-03,1.964201636742161222e-03
-8.934159610920874763e-04,2.988921358086320864e-03,1.773782798463561117e-03
-2.615825309035333356e-03,7.280385681203793789e-04,-2.867713421702538373e-04
-2.212453371670511718e-03,-6.132654043345533513e-04,4.905654128638346247e-03
-1.556821567797235994e-03,-3.241555417176589194e-04,-5.879478323345645662e-04
1.509003346027731939e-03,-3.240047896803823282e-03,3.081129384738712945e-04
1.989483442480246243e-03,-1.268059854868754111e-03,3.632953616044788930e-03
2.684241739184619517e-04,1.016447481056625057e-03,2.169449364851793252e-03
1.411366206880735469e-03,-1.194546257785875218e-03,-7.177374975432365125e-04
1.008146554461136448e-04,-3.927150477194029971e-04,4.720027505046253853e-03
-3.454232857202821968e-03,-4.481101889796117350e-03,-6.356204691663555270e-03
1.325662547291306696e-03,2.779490538628946587e-04,1.827212391500894787e-03
-4.148307682619528126e-03,3.317181650977092319e-03,-1.059762925011075531e-04
-1.696297034432285621e-03,-1.693523343107202969e-03,1.661397148924548478e-03
2.504730784526981724e-03,7.965560499961668421e-04,-1.643653286158159796e-03
-1.593378251225561083e-03,1.181954152749126749e-03,4.235909795492803542e-05
7.683421880767800718e-05,-2.752677433031230046e-03,-4.733805209732551748e-04
3.454401103165200080e-03,-2.115078506457178549e-03,-1.393301406953637023e-03
-2.358254954149002162e-03,5.553048808441685006e-04,1.200306884502850462e-03
1.528304590314623866e-03,-1.086830957373609427e-03,1.355980265575976043e-03
6.882024919848172065e-04,-1.080670072402372447e-03,-1.149444131662905955e-03
-9.172173437110654791e-04,4.665966382931486991e-04,-2.213668266842961155e-03
1.739146241988254963e-04,-1.950104518262210521e-03,4.162136135071498565e-03
-2.259541494225666362e-03,-2.282931896419604107e-03,1.737772511624099698e-03
-1.824924128636273846e-03,-5.376591782736178833e-03,8.680746190731585508e-04
9.940752700345041690e-04,5.229998092645808151e-04,1.684468475610910844e-03
2.574209566153590634e-03,-6.305163950544325456e-03,6.195225732193876010e-05
-6.673641330184078551e-04,-8.689070698220560489e-04,-1.368226812374501384e-03
1.914248796069779011e-04,1.491233136484315831e-03,-2.784800599491512457e-03
3.397696609949318013e-03,1.445587709635345192e-03,3.521258693328394029e-03
2.390174083960314893e-04,-3.171780482936530522e-03,-8.143685495738769325e-05
6.599532929346107199e-04,-2.446311133652140628e-04,-2.886881758252996411e-03
-4.883377797054234623e-03,-2.337083102640188231e-03,8.482439509399300340e-04
7.548531567793126135e-04,-3.660328874992808262e-03,2.172865637400499522e-03
-1.791742631277713511e-03,-4.451994339294626166e-03,2.177144179884770055e-03
1.136728282675434970e-03,1.850741874737750047e-03,-2.591157588417861927e-03
1.657302108621162666e-03,-2.261516960222027198e-03,-1.218124396110434500e-03
-2.659080819113126583e-03,2.899987556636923324e-03,1.777186637307119664e-03
4.822613263343772686e-04,-2.136366101144593788e-03,-3.063619214317242186e-04
-9.926777602026367036e-04,1.153456239261705903e-03,-2.988143809934454536e-03
-9.924566240428554624e-05,9.263784441123543677e-04,-3.385138227012419922e-03
-2.096814306538601156e-03,-3.540642808351372045e-03,-5.623095334305951458e-04
-1.621002051835749745e-03,-8.234486851391675756e-04,1.601277414920551168e-03
2.770295112899325615e-03,-1.434856476156651196e-03,1.434635522919530453e-03
2.279647161174831391e-03,5.449811875919789977e-04,3.306778734867856905e-03
-9.921949505418594783e-04,-9.383895909511352253e-04,2.859988526825967773e-03
-9.152293938585803409e-04,-2.436749552955806350e-04,4.216191468545775305e-03
1.562944635889729466e-04,-3.606298878991228297e-04,2.013231903716069301e-03
-1.569169949327396891e-03,-4.594535261522522673e-04,1.413841665253695763e-03
-1.569950655936825550e-03,4.139384035754832737e-05,-2.142604396522014652e-03
-2.410637825105171883e-03,-2.577709516909736879e-03,-2.406007684780834405e-03
