mag_x (uT),mag_y (uT),mag_z (uT)
3.264584812310251749e+01,-2.071875634605645569e-02,3.789721801734454942e+01
3.264016422275629026e+01,-2.620412704475586635e-02,3.783843678639123453e+01
3.260010373832110986e+01,2.789456320256941332e-02,3.772541985900290484e+01
3.270013044685038039e+01,-2.152413877900200695e-02,3.785918967968398618e+01
3.262321489359295157e+01,3.090340718440123466e-02,3.780486281804667925e+01
3.268093266324867585e+01,9.826470946023067865e-02,3.777133885294603033e+01
3.253985077796170344e+01,1.985886884027103505e-02,3.783928203185217143e+01
3.263494765962465038e+01,1.527095879906885389e-02,3.785250794300917221e+01
3.275607055317180283e+01,2.000570344250618068e-02,3.789185546127243498e+01
3.261062808187466544e+01,5.401760028852510553e-02,3.778088513471241328e+01
3.266376720716885984e+01,4.910434997731274315e-02,3.782194972084488427e+01
3.272470648408283012e+01,-2.757763711196600798e-02,3.776265404054083064e+01
3.266059819501906247e+01,-5.197933694217712897e-02,3.780233630974133519e+01
3.271134233674867886e+01,1.493276061960139948e-02,3.796726885240952498e+01
3.263283303417453141e+01,-4.429700592136507492e-02,3.787673559281444113e+01
3.266659689238130682e+01,1.140044206169752231e-02,3.787063506217443631e+01
3.269180376795399212e+01,6.585269820380079686e-02,3.788828984336884531e+01
3.271044317306930083e+01,4.383261351788482300e-03,3.786753994729744477e+01
3.272602370818356832e+01,-5.693609730671768399e-02,3.788337252222008544e+01
3.269870266649420643e+01,-1.745511769666461405e-02,3.787992814162981148e+01
3.268288012635166950e+01,-4.735915460865014470e-02,3.780066366629516494e+01
3.269155939142464007e+01,-3.778763929540271405e-02,3.784771233004114066e+01
3.270332913768010030e+01,3.013980262374136437e-02,3.790645547496003331e+01
3.271043124846998751e+01,-1.377347604694671192e-02,3.780751543759296140e+01
3.263193251600706901e+01,-6.452791375916032413e-02,3.795895345888066430e+01
3.263150759972776882e+01,9.341125005232493728e-03,3.783757610308175146e+01
3.265354998551098475e+01,4.308949586007485011e-02,3.785389360838309614e+01
3.260050290184377531e+01,-5.494323834091786873e-02,3.780795235830881751e+01
3.267366323901748615e+01,1.077069599750821172e-01,3.781239219390024431e+01
3.266241344122454393e+01,4.464934415780614368e-02,3.778172338404845476e+01
3.266891533918401080e+01,-8.150050983894863155e-02,3.789118173329474359e+01
3.268487760944471887e+01,3.557621818241460399e-02,3.792810383233101845e+01
3.273736633779357419e+01,1.621681306390524921e-02,3.785566624605719710e+01
3.265170949192965111e+01,-2.594292383269052038e-02,3.786321602893816873e+01
3.266447028842515721e+01,1.811652515750405631e-02,3.772337981719473987e+01
3.273970856907475735e+01,3.247418919011302307e-02,3.787037831271297250e+01
3.266312875057145959e+01,-5.487183960976391855e-02,3.785956399916729964e+01
3.264917821331260939e+01,-1.387201206952168742e-03,3.784658444429814494e+01
3.265473517317663266e+01,-9.252911517457709442e-03,3.781282504616594764e+01
3.268028438214338394e+01,4.228460676676856766e-02,3.785540503928348954e+01
3.269233432046401333e+01,1.794077902958349582e-02,3.792832468182599115e+01
3.255983366921866917e+01,2.866883139229225649e-02,3.792640400186907357e+01
3.263749063957461516e+01,1.131972432935770406e-02,3.782322280194822639e+01
3.261606228267741869e+01,1.704468105102757355e-02,3.789543913210239623e+01
3.271769567098311882e+01,1.290600741791383781e-02,3.788356107272130657e+01
3.275856710680173478e+01,3.062314585219836488e-02,3.780598067124091699e+01
3.275663279295168451e+01,-3.083997239257433957e-03,3.782033968507438004e+01
3.266514909047520376e+01,4.408521556961378374e-02,3.785200186957997914e+01
3.265448923442503570e+01,4.180134711081447477e-04,3.782669192328755514e+01
3.270698703394538143e+01,4.072842979773541594e-02,3.785312009199401473e+01
3.262590756774719125e+01,2.630525612415883507e-02,3.785151437221204418e+01
3.270316032657856198e+01,1.270062487700221454e-01,3.778664648278094518e+01
3.272538248125458438e+01,8.320263679525122247e-02,3.791323534545232832e+01
3.264412235586473798e+01,1.050727385911721656e-01,3.781482858925473067e+01
3.266427625413170688e+01,8.667577503760350369e-03,3.787593724550149688e+01
3.270289319106738901e+01,-1.787968384340554023e-02,3.780102223491158497e+01
3.268273606722313929e+01,3.588222840505569944e-02,3.788053772329928393e+01
3.273616386751953655e+01,-2.460776181158110670e-02,3.780080248397711529e+01
3.262413919758645164e+01,-6.918390814381503162e-02,3.789249230646547772e+01
3.265383755030489255e+01,1.240131215673587195e-02,3.779364660230780260e+01
3.267816319867746699e+01,1.923466237060955306e-02,3.788230503942565974e+01
3.271916272963901662e+01,4.845933285394812828e-02,3.794675462864172744e+01
3.273097608515418244e+01,-2.448665356062575127e-02,3.788810846518016007e+01
3.258214307158349499e+01,8.084686381323312118e-03,3.790935985956878085e+01
3.268778429495655757e+01,1.049248969418634971e-02,3.781956198118565737e+01
3.264007128071878583e+01,2.641533991589894645e-02,3.792220807656718762e+01
3.266599393517186201e+01,-4.409741697382555531e-02,3.786538287344470888e+01
3.275249148585092485e+01,-8.208267261485970023e-02,3.789977715918404755e+01
3.265611675017373727e+01,9.170057232614892140e-02,3.783797684404178341e+01
3.268592147738318232e+01,2.487994327335891001e-02,3.785560632748266130e+01
3.265792074647143295e+01,1.341044260041479932e-02,3.786608690755763007e+01
