accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
7.617246463463651289e-05,4.148261047734130651e-05,-9.795008353661335931e+00
7.349780225286718356e-05,-6.046162151368788244e-05,-9.794401092639175133e+00
-4.854370760136601635e-05,-7.771801840499675503e-06,-9.794931508262882502e+00
2.780364383582126361e-04,1.765143637014915422e-04,-9.794451705658326901e+00
-2.948960838541856973e-04,-1.570176018721824551e-04,-9.794489344923899665e+00
1.092486852292269382e-04,-5.172107131899037434e-05,-9.794701819284341582e+00
-6.074002821969463173e-05,-6.523879901941625180e-05,-9.794381972716655227e+00
2.330532914219022819e-04,-1.019380657082683472e-04,-9.794551008881962062e+00
-9.141342847644089251e-05,1.266137318620104229e-04,-9.794426383855768137e+00
-1.951905157390437361e-04,3.339830635021289471e-04,-9.793976793831841832e+00
-5.684470074831750639e-05,-2.437438768733086244e-04,-9.794739778265025620e+00
3.197984309665989318e-04,6.924383748608422639e-05,-9.794041524240919117e+00
-1.627241469052697373e-04,-2.089364021094579338e-04,-9.794145146411770142e+00
2.690865857381576076e-04,-2.624675522345990659e-05,-9.794289951743259337e+00
8.581719196199842962e-05,-5.079142896335599498e-05,-9.794981024834143568e+00
5.567782471630934599e-05,-1.244750901596852223e-04,-9.794729243667783081e+00
1.411880238458864648e-04,2.159548402802064719e-04,-9.793950573777724600e+00
-5.270705921455396401e-05,-6.935290655911874498e-05,-9.795161682428068062e+00
3.985468214749365791e-04,-7.772497926998652871e-05,-9.794496411776192346e+00
1.389305973973059668e-04,1.743142354082137405e-04,-9.794381704332021599e+00
-3.540379824682093521e-04,5.920834750967267601e-05,-9.794514933725096739e+00
-7.823332671903473879e-06,-9.903792738734983688e-05,-9.794711204129365356e+00
-9.316758817153066963e-05,-1.398335331474018651e-04,-9.794665453155278811e+00
1.239917687168884018e-04,3.119506117354949081e-04,-9.794790976071620747e+00
4.680615661541358236e-05,1.055430688104725133e-04,-9.794325802360377864e+00
-1.468417437153075110e-05,-2.269748526597357307e-05,-9.794297319967489202e+00
6.769098720937010262e-05,-1.603708541696964921e-04,-9.794183632051764121e+00
-8.186585375640018786e-05,1.733916946226106860e-04,-9.795311683177549966e+00
-3.365177044359755790e-04,-2.004699627597776568e-04,-9.794346013056827616e+00
2.674069774704698342e-04,-1.774056423417138357e-04,-9.794066793375010960e+00
1.660446780432762407e-04,7.410153262812916874e-06,-9.794721001200265675e+00
-2.551325097742498135e-04,2.287159557734836539e-04,-9.794506153916065827e+00
7.977968333849606809e-05,-9.696973206853319366e-05,-9.794836323734784855e+00
8.720913148798950759e-05,-6.031399283397218404e-05,-9.794619656471198255e+00
1.999287938679004679e-04,2.705838744204051372e-04,-9.794510414973238710e+00
-8.776874257970957306e-05,-1.263828079383702292e-04,-9.794550685138606383e+00
1.673250082593317372e-04,6.722535202515051952e-05,-9.794894063071872381e+00
8.296169865432205222e-05,-1.582695442281597154e-04,-9.794579008202827453e+00
-2.044634464595685038e-04,2.929210942858818056e-04,-9.794355572122638520e+00
1.041129832178226515e-04,-1.681420273045980938e-04,-9.795223693579039548e+00
-1.392586695755901404e-05,-8.435356230426250266e-05,-9.793939025729725856e+00
-5.576213137631619022e-05,-2.017155030310481198e-04,-9.794583805690288969e+00
5.578394703418656982e-05,1.392864262715512002e-04,-9.794270121968690290e+00
-9.316957081613985432e-05,4.313983757596336055e-05,-9.794736814624567245e+00
1.067992950069457706e-04,-1.346900315379645681e-04,-9.794626637064865804e+00
3.445682244640679501e-04,1.552249708487253631e-04,-9.794243782612079841e+00
-8.095113060554244479e-05,2.831160827482521704e-05,-9.794592985220699433e+00
-5.616973019682606984e-05,-2.592714481884409551e-05,-9.794468135278378895e+00
-6.241244689398598063e-05,-1.101406140019501397e-04,-9.794184203113072584e+00
-5.494667128935429588e-05,2.668722493073065992e-04,-9.794728652621968124e+00
2.354339707318809261e-04,-9.764329992067178059e-05,-9.794487397048582622e+00
-1.183098906094551977e-04,8.494885717791741877e-05,-9.794316924138016134e+00
-2.292118653578429169e-04,1.246303133759575394e-04,-9.794453184673820090e+00
-2.592992047243400182e-04,-1.516073817706311405e-04,-9.795107798651079278e+00
-3.707923909614278877e-04,-7.647424639770769778e-05,-9.794288607001945479e+00
-2.362980929920532056e-04,-2.072773329176507372e-04,-9.794149530904304513e+00
1.199603123006712279e-04,-1.576206260110031251e-04,-9.795099139793519427e+00
1.437676212042455083e-04,-3.727136972673617492e-05,-9.794491420217992683e+00
-4.316742449718780295e-05,2.113661484524501164e-04,-9.794702598599066334e+00
-1.766244493578287059e-04,1.279041502198221506e-04,-9.794664673179381609e+00
4.150366372296749803e-04,-6.098164395505498110e-05,-9.794853471120749333e+00
-3.030658408023187596e-04,-6.229702937387139421e-05,-9.794290882016845501e+00
1.147735322834982232e-04,-2.394535327255438667e-04,-9.795054167643350240e+00
-3.968836994212485126e-04,-1.073671048887878988e-04,-9.794112747162120769e+00
2.048299929638591605e-05,-7.559475180917426347e-05,-9.794702291380952275e+00
-3.915483329972238157e-05,-4.533962369947336189e-05,-9.794557790096380501e+00
-1.397882183072430618e-04,1.743113943706346106e-04,-9.794409740597536995e+00
