carrier_phase_1,carrier_phase_2,carrier_phase_3,carrier_phase_4,carrier_phase_5,carrier_phase_6,carrier_phase_7,carrier_phase_8
112528152.89644569,122917956.93962702,126334666.01498088,122246248.2315171,109196918.3873014,99591863.19223492,98524875.77824649,103733292.12666728
112528090.06702016,122917791.0431513,126334646.67614856,122246386.73691995,109196859.9594915,99591875.11186779,98524904.90149218,103733444.47212707
112528224.93113609,122917872.66116838,126334623.08846691,122246432.78986552,109196938.94129935,99591760.17404065,98524895.4249208,103733398.20906183
112528248.5504778,122917941.19493802,126334627.43580599,122246462.98713493,109196787.2036593,99591772.5896463,98524862.42844154,103733395.37322834
112528126.56612271,122917933.00780804,126334639.18889938,122246333.78542699,109196867.00373636,99591832.50961941,98524841.81171547,103733414.69098154
112528246.11334796,122917988.87583293,126334693.83200406,122246370.5090974,109196920.54885182,99591809.03565271,98524937.94102114,103733396.46438897
112528102.86149426,122917894.80880898,126334601.74021588,122246343.07466088,109196991.39086501,99591823.52553654,98524975.4160875,103733426.84093758
112528069.29048914,122917915.8738228,126334608.43281718,122246264.98392047,109196890.98958534,99591842.66098572,98524925.57770687,103733422.69200346
112528207.73073207,122917897.49309827,126334723.96104822,122246376.52136879,109196781.96867658,99591786.56092256,98524869.19983758,103733382.770269
112528256.98161179,122917842.81293851,126334671.61763504,122246328.14723419,109196955.81092621,99591827.08776446,98525042.56359144,103733339.0797496
112528216.90052082,122917931.56524487,126334565.22777654,122246331.5155479,109196864.10556275,99591793.54915218,98524990.2464656,103733430.74375774
112528072.46325934,122918022.85646756,126334622.55107534,122246316.73926465,109196938.3802811,99591793.63273674,98524743.19926938,103733321.76469627
112528125.40298006,122917899.87620857,126334599.26657784,122246356.75138335,109196887.36786267,99591788.33629157,98524926.55722311,103733343.05576192
112528251.61478929,122917920.9196865,126334596.01598576,122246276.1857133,109196845.01767178,99591908.3161782,98524875.29657093,103733455.77163257
112528219.09054288,122917855.8288322,126334644.39099035,122246411.24945936,109196893.68025386,99591927.64817265,98524833.93218903,103733450.6338593
112528059.75557838,122917928.38826993,126334559.51004304,122246337.31295761,109196942.38969137,99591893.76052624,98524916.66832107,103733325.76366912
112528127.43881676,122917841.15963607,126334706.66474803,122246371.76270263,109196970.08982767,99591903.95378834,98524831.7683353,103733403.51005346
112528230.60833873,122917980.86662027,126334695.40461695,122246365.09563455,109196823.11928505,99591905.30014141,98524849.22719158,103733388.9869555
112528097.55941226,122917913.53588681,126334567.07884116,122246362.98246843,109196851.71222943,99591877.01842867,98524904.0211822,103733424.7052785
112528150.58786328,122917911.62615907,126334698.64008631,122246329.23118535,109196781.36383198,99591833.66818757,98525062.3774696,103733399.3134336
112528185.07188927,122917871.48342878,126334695.01079911,122246341.9062705,109196884.06209844,99591840.03465775,98524967.59685796,103733451.6061001
112528136.67077802,122917902.78820486,126334576.37534642,122246283.64516643,109196794.67894366,99591884.01601224,98524950.84910804,103733373.67747891
112528259.25790401,122917871.74313499,126334653.4339847,122246351.19863465,109196903.20558456,99591854.18899705,98524860.67779927,103733474.03666635
112528237.47328171,122917998.01051807,126334682.70695502,122246362.87806152,109196848.32432619,99591875.28564912,98524916.98378444,103733410.39930515
112528221.0311267,122917865.90739441,126334720.54925764,122246266.89449283,109196866.22198002,99591772.22557703,98524912.36502266,103733407.18410914
112528173.25517592,122917984.43761736,126334657.95751286,122246301.88674188,109196865.94860727,99591905.52929649,98524900.04691969,103733365.84201069
112528240.84827633,122917957.06401496,126334585.98843865,122246382.3909625,109196897.30821551,99591874.69643599,98524897.60649872,103733542.64764072
112528154.9189945,122917843.3711009,126334700.34900032,122246456.28368814,109196808.35522243,99591807.25004959,98524818.5999857,103733284.93516342
112528188.03676586,122917866.2154175,126334636.32542768,122246327.92968448,109196822.48563592,99591795.06033584,98524826.50595593,103733492.6087726
112528125.7065198,122917981.56692503,126334663.97134885,122246271.13272887,109196917.11366402,99591866.89224032,98524868.29317966,103733350.04291168
112528293.60678445,122917920.5754013,126334614.00532432,122246267.90475442,109196921.01850982,99591832.92671423,98524860.06734404,103733416.67074388
112528197.66653974,122918008.57819146,126334608.82653427,122246295.11842582,109196854.33998881,99591820.62315793,98524977.57661891,103733502.858578
112528277.43841898,122917968.15323044,126334589.06361842,122246388.05665475,109196906.73183866,99591880.28532298,98524864.7899177,103733410.45217814
112528279.25428966,122917998.71509957,126334558.48635799,122246288.85794485,109196759.54059087,99591797.22334231,98524970.9953077,103733493.87482755
