gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707072036237087101e+06,4.688786427084565163e+06,3.360482546427076682e+06,-1.630006327019418166e-01,3.113691929117767473e-02,9.053667153321902361e-02
-2.707069417772993445e+06,4.688783049630641006e+06,3.360487135121681727e+06,4.358256638608068445e-02,2.354426152440517936e-02,7.025381873052960469e-02
-2.707070309988805559e+06,4.688788153509040363e+06,3.360482464557146654e+06,-1.344220174903072995e-01,-4.684405710189790129e-02,1.803487341933116550e-01
-2.707063344407764729e+06,4.688784208025484346e+06,3.360476906168290414e+06,7.720891897714014795e-02,-2.048775818908184498e-01,-3.181115278946997776e-02
-2.707072230846032966e+06,4.688787960832770914e+06,3.360479984197513200e+06,1.281500809936377827e-01,-1.965520122894612587e-01,5.609873653154776735e-02
-2.707068774468481075e+06,4.688787274095539935e+06,3.360483201223639306e+06,9.092290700064610542e-02,-1.740048855176110423e-02,1.519531775350358993e-01
-2.707072901805876289e+06,4.688786467129982077e+06,3.360484971399022732e+06,1.231604818437232879e-01,8.905727076781586038e-02,-4.344693221326116628e-02
-2.707069900759096257e+06,4.688786527408372611e+06,3.360475159566169139e+06,-8.422235202011681826e-03,-2.628505187394109509e-03,-1.741562221678642219e-01
-2.707072199571475852e+06,4.688787921274632215e+06,3.360491927098278888e+06,-1.566391278676153020e-01,-1.025288356712195223e-03,2.775279344251964375e-02
-2.707072984820461366e+06,4.688784259150392376e+06,3.360484506760218181e+06,-3.397658751763295987e-02,-2.159187622093338421e-01,3.380294168139855171e-02
-2.707070052115915809e+06,4.688787474629408680e+06,3.360474775000036228e+06,1.262286859013183882e-01,6.003447243701731662e-02,1.247669148021801067e-01
-2.707070876710733864e+06,4.688786034644737840e+06,3.360483118827095721e+06,-2.764537516620259663e-02,-5.731175091413525519e-02,-2.048831660929290310e-01
-2.707071675605260767e+06,4.688782466273767874e+06,3.360486179795854259e+06,3.123809094184200330e-02,5.226464326640709035e-02,1.929298211211335767e-01
-2.707077564584647305e+06,4.688790111793534830e+06,3.360488521983688232e+06,1.190440843934563175e-01,-5.239730502498232689e-02,-1.084859403908183251e-01
-2.707070033918124158e+06,4.688783102468996309e+06,3.360482987080152612e+06,-1.763379708960177011e-02,1.283482515867650497e-01,-1.882579169170748024e-01
-2.707070973887154832e+06,4.688783359049691819e+06,3.360481259866569657e+06,7.300057597887414651e-02,1.159861248017397123e-01,2.814038663376331600e-02
-2.707071157645821571e+06,4.688782498908997513e+06,3.360488336463742424e+06,2.425870354001501833e-02,-4.620153159847872892e-02,-1.325210760868808790e-01
-2.707068695949589368e+06,4.688780388941626064e+06,3.360487326246546581e+06,-3.831898743359191117e-02,1.190043928472742096e-02,8.410080861895700977e-02
-2.707065211664048955e+06,4.688786989003959112e+06,3.360479831097656861e+06,9.192566445398250505e-03,-1.465157729430982547e-02,-5.093779864845815464e-02
-2.707073033419928513e+06,4.688785732114358805e+06,3.360492799351433758e+06,3.461299062887267936e-02,9.262681548357837302e-02,-8.983492153548035264e-02
-2.707070881307622418e+06,4.688782973953130655e+06,3.360482086234454066e+06,-1.103271389422845056e-01,-1.048527035723293283e-01,-1.264609579928727134e-01
-2.707067851857210044e+06,4.688788487912406214e+06,3.360487535596042406e+06,-8.755964641843802521e-02,1.880614397618894096e-01,-5.783505161372733128e-02
-2.707074035733962897e+06,4.688784428821013309e+06,3.360483500406672712e+06,1.273072191283793619e-01,1.031177964748267520e-02,9.859141807837982358e-03
-2.707071663043338805e+06,4.688783870019074529e+06,3.360486500574673526e+06,-5.964550101773467145e-03,1.178296737505550723e-01,6.798990344493544002e-02
-2.707072992789543234e+06,4.688785745089543052e+06,3.360488116914017126e+06,8.575354584725637663e-02,-1.881961588536071872e-01,1.133146136322281811e-01
-2.707072924436860252e+06,4.688786952374030836e+06,3.360494330641295295e+06,6.564784746135485238e-02,5.831973664446593597e-02,-8.758237651473314844e-02
-2.707074572800527792e+06,4.688786648912691511e+06,3.360490916450746823e+06,-1.198221867618134012e-01,-7.073457181398644378e-02,-1.482954272736608792e-01
-2.707069741288764868e+06,4.688789177494257689e+06,3.360485135862501804e+06,3.392176940938473190e-02,1.749628048575523898e-01,-1.661045338724405351e-01
-2.707073345805699937e+06,4.688786559623046778e+06,3.360482328160106204e+06,-1.328148114515621120e-02,8.637556322117305452e-02,-6.739130348232108547e-02
-2.707066321718527935e+06,4.688786623226139694e+06,3.360487386312447488e+06,-1.245704524541313279e-01,-1.008986156899327469e-02,-1.270529618950345108e-01
-2.707073240463883616e+06,4.688785481755776331e+06,3.360478388519197237e+06,-4.540941307860410503e-03,6.462194382772215584e-02,-1.848116298087217613e-01
-2.707070880153436679e+06,4.688786406342393719e+06,3.360477460004143883e+06,-1.745965273849079194e-02,7.022106932480214059e-02,4.586133699739809028e-02
-2.707069813133500051e+06,4.688782009102703072e+06,3.360493504474708345e+06,-1.066341292393089141e-01,-3.181440688614988604e-02,1.672105740360205206e-01
-2.707070938341962639e+06,4.688788985272029415e+06,3.360488227893687785e+06,6.477890588055594534e-02,7.738078594122310694e-02,3.461485220281276809e-01
-2.707067331811302807e+06,4.688788061881961301e+06,3.360483472323043738e+06,1.338353316260674220e-01,-2.297600394006349411e-01,-1.396558263630438834e-01
-2.707071308147036936e+06,4.688787579692207277e+06,3.360481015616510529e+06,5.052535100541905022e-02,9.222939559238003959e-02,-2.752285726734491900e-01
-2.707072868806940503e+06,4.688778661906127818e+06,3.360490378672075924e+06,1.843413230905256162e-01,4.273857707887250557e-02,2.105462360457333315e-01
-2.707071448225429747e+06,4.688787663980755024e+06,3.360480310492123943e+06,6.689848093624588266e-02,-1.318333216223461224e-01,-1.650629200659277651e-01
-2.707071369168378413e+06,4.688782500095994212e+06,3.360487793686066289e+06,-1.438386750666296454e-01,-4.041531000774480770e-02,-5.023702078526095516e-01
-2.707070755288145039e+06,4.688783256661628373e+06,3.360478007627200335e+06,-4.757115551354836047e-02,1.844274168249872628e-02,-6.357348720667650721e-02
-2.707067939233953133e+06,4.688785258489756845e+06,3.360479289161274210e+06,-3.673258136520595601e-02,-7.922417607575556187e-02,1.818717319236195715e-02
-2.707073355169989634e+06,4.688785367554511875e+06,3.360484063287314493e+06,5.600627140666421255e-02,-8.409853330340852362e-02,4.311663809149098026e-02
-2.707069518990910612e+06,4.688787531594342552e+06,3.360485440119286533e+06,5.246303531239918105e-02,-6.161209752999156214e-02,4.129252341957893868e-02
-2.707070828035689890e+06,4.688787339641974308e+06,3.360479718143160455e+06,1.472766874564029882e-01,-1.452754713777640594e-01,-1.351624514899613660e-01
-2.707074357376845088e+06,4.688785159223906696e+06,3.360486516026691068e+06,7.807309377605976819e-02,4.387729488268059252e-02,-3.133203375891831510e-01
-2.707072774001063313e+06,4.688788369359355420e+06,3.360488322581612505e+06,2.372374813553326800e-02,-1.655746183425563928e-02,-9.659466094780536083e-02
-2.707071421381311491e+06,4.688786490337487310e+06,3.360487266910392791e+06,-2.084417784013340574e-02,-1.374880157887229393e-01,3.496793200396679496e-03
-2.707072853072240017e+06,4.688786556284679100e+06,3.360478793254245073e+06,7.815720163574413348e-02,-9.437965373431595958e-03,-2.126045154558136863e-01
-2.707069875003899913e+06,4.688785172163584270e+06,3.360479296724931803e+06,8.806017563838673679e-02,-1.280605886596627441e-01,-9.109260714119693514e-02
-2.707066667377735954e+06,4.688784477074016817e+06,3.360475061280615628e+06,1.171159148664596139e-01,-1.427542953541401649e-01,-8.975812130201817063e-02
-2.707073983186773956e+06,4.688782662294038571e+06,3.360478295126058161e+06,7.532324410496708811e-02,6.097624997838932415e-02,1.137148784201778839e-01
-2.707067715286330786e+06,4.688789770401727408e+06,3.360467711429481860e+06,8.202634594519814248e-02,8.201653602284185440e-02,-1.740393469070914967e-01
-2.707072001293958630e+06,4.688786958053834736e+06,3.360484455178109929e+06,2.134533295646202644e-01,9.225861272172213023e-02,-1.038152618648315317e-01
-2.707070041456930339e+06,4.688784616028619930e+06,3.360485521043195855e+06,3.112656538100629922e-01,-5.860947186524864683e-02,-5.881665285959729317e-02
-2.707067879336746410e+06,4.688782624832393602e+06,3.360483524270449765e+06,1.636637375892841528e-01,4.268336858920877830e-02,1.227402815741325398e-01
-2.707075644708298612e+06,4.688785312895722687e+06,3.360489562592897099e+06,4.259783542178450233e-01,4.946778480410598394e-02,-3.548970042033179617e-02
-2.707073682410292793e+06,4.688787120360819623e+06,3.360490366332304198e+06,4.238079902047736658e-01,-3.778404748177126987e-02,1.924127771917951701e-01
-2.707068763396325987e+06,4.688785292133988813e+06,3.360484694542947225e+06,5.664356127974744526e-01,5.430211543650118738e-02,-4.466679608381974448e-02
-2.707069732022423297e+06,4.688784739705341868e+06,3.360482594009763561e+06,8.711572524193276212e-01,2.502921183694728491e-02,-6.863185211608706371e-02
-2.707072579592508730e+06,4.688784600946413353e+06,3.360480945936316624e+06,7.098124448078130255e-01,2.617825620466183480e-03,-1.613348100233938376e-01
-2.707071763622877654e+06,4.688788321205195040e+06,3.360479217117459513e+06,1.089193011242439724e+00,-2.105410152603490528e-02,-1.975791031490099492e-01
-2.707071517352903727e+06,4.688783175497250631e+06,3.360487944090908859e+06,1.191527737466933079e+00,-3.652054159740479589e-02,5.650519319210479952e-02
-2.707071952114274260e+06,4.688789758699680679e+06,3.360485529200838879e+06,1.023846513864903773e+00,-2.650877244155946943e-02,-7.898197838364894030e-02
-2.707071162566120736e+06,4.688784166167746298e+06,3.360481964729364496e+06,1.466141826658030389e+00,-1.422923348293042047e-02,-9.253959607912967678e-02
-2.707066871557012666e+06,4.688781663365396671e+06,3.360488609981832560e+06,1.486767337395440869e+00,5.155856718141869216e-02,-2.977608813558294543e-01
-2.707064931853031740e+06,4.688789657776026987e+06,3.360481036578475498e+06,1.420780926972151192e+00,-4.340197869814283599e-02,-1.093181823443420408e-01
-2.707067862713983282e+06,4.688791885496839881e+06,3.360482559373031836e+06,1.586433655312328384e+00,-3.860915829431213475e-02,-1.306559161852413331e-01
-2.707071086400488392e+06,4.688784587643526495e+06,3.360488826771181542e+06,1.612094991775344432e+00,-4.405906982399290794e-02,-1.245762906782003909e-01
-2.707069667135780677e+06,4.688783197660878301e+06,3.360481564865794964e+06,1.451517189062395907e+00,-7.524123006569193028e-02,-1.225305969381065563e-01
-2.707071066896840464e+06,4.688789396585768089e+06,3.360482604498469271e+06,2.001004991484642392e+00,3.050172826254982095e-02,-2.056728607836623979e-01
-2.707067280406784732e+06,4.688787561297378503e+06,3.360489569103281479e+06,2.037185809409394643e+00,4.159966005945225920e-02,-5.929004649981549635e-01
-2.707069228376439773e+06,4.688782969875784591e+06,3.360489475102177355e+06,2.169119205555137597e+00,-3.919685580955199755e-02,-1.207634693273604148e-01
-2.707068392841686960e+06,4.688785003253665753e+06,3.360486085590731353e+06,2.043441061202948550e+00,1.321551120154093421e-02,-1.713019121842310200e-01
-2.707073823129672557e+06,4.688785270173379220e+06,3.360487564619592391e+06,2.287155016807830066e+00,1.566470884569379218e-02,-2.179862981758653728e-01
-2.707068947826801799e+06,4.688787204849144444e+06,3.360475690885328222e+06,2.422400987891612623e+00,9.698087128247873112e-02,-4.084391934298456928e-01
-2.707070783070043661e+06,4.688780660662199371e+06,3.360479717680025380e+06,2.620304308860270215e+00,4.439229996378937781e-02,-2.151355087310061753e-01
-2.707060648254544474e+06,4.688784120026174933e+06,3.360487529223081190e+06,2.430078967061060968e+00,-4.720939451690847610e-02,-1.778354179950859537e-01
-2.707066205118114129e+06,4.688787539389739744e+06,3.360493662342703436e+06,2.653602088662146752e+00,-7.329710122787970461e-03,-5.229631408344224131e-01
-2.707067433944117278e+06,4.688785319566704333e+06,3.360487916788096074e+06,2.775735661960097023e+00,3.432656940111782767e-03,-2.967185275097919406e-01
-2.707059090433735866e+06,4.688783891977829859e+06,3.360482935676591005e+06,2.794746753953415208e+00,-6.593095335551264757e-02,-2.410993718769311178e-01
-2.707063181792758405e+06,4.688783515915905125e+06,3.360495845771528315e+06,2.974392569009529641e+00,-6.320600789429371702e-02,-5.073835665509387471e-01
-2.707064773696480785e+06,4.688786433872105554e+06,3.360482680909987539e+06,2.952585168672130944e+00,4.216095192453044732e-02,-6.489780738664772120e-01
-2.707064206932422239e+06,4.688783041955055669e+06,3.360479906954303384e+06,3.070799524260170443e+00,3.407636184423414732e-02,-4.663942820096393382e-01
-2.707060873537708074e+06,4.688788882922059856e+06,3.360481940340155270e+06,3.236336812331566115e+00,-7.824576763008095348e-02,-4.428284428467698097e-01
-2.707064254807357676e+06,4.688785375236853957e+06,3.360481844477843959e+06,3.477388695238460059e+00,1.249876630122389587e-01,-3.205833157927820976e-01
-2.707064805564997252e+06,4.688783675189108588e+06,3.360481635860227048e+06,3.463520000565585732e+00,6.095603934785337463e-02,-8.022497224887668033e-01
-2.707065976302403957e+06,4.688782157660732046e+06,3.360476950239479076e+06,3.501596162383575184e+00,3.573454068057090732e-02,-7.792404758624869032e-01
-2.707063792335892562e+06,4.688785124882706441e+06,3.360484835602758452e+06,3.724789649662405111e+00,1.354809451498380779e-01,-4.538172915594089196e-01
-2.707063426574049052e+06,4.688780373531633057e+06,3.360484857317953836e+06,3.888272985455231812e+00,6.019287138184266361e-02,-5.292931103316180774e-01
-2.707064516886456870e+06,4.688785881391680799e+06,3.360479762327280827e+06,3.772921191038311584e+00,-7.579838700416816066e-02,-5.096223859983938231e-01
-2.707064902417332400e+06,4.688789331287504174e+06,3.360484625366654247e+06,3.963367287784152371e+00,-3.971151446413068165e-02,-7.076588364530931319e-01
-2.707064222461313009e+06,4.688786478776653297e+06,3.360475150656900369e+06,4.043243700316119238e+00,-2.143288569054647708e-01,-6.950920876335220377e-01
-2.707064660915096756e+06,4.688781976545426063e+06,3.360486039329466410e+06,4.078621581845093047e+00,1.092671382475502578e-01,-6.985747346252197953e-01
-2.707068646777212620e+06,4.688785696546624415e+06,3.360479773683429696e+06,4.432384767945114490e+00,-8.430940749212517682e-02,-7.964486611478747147e-01
-2.707063350425576791e+06,4.688788031554894522e+06,3.360479628235607408e+06,4.481055676605266491e+00,-2.684448119934035315e-02,-8.252501425457069439e-01
-2.707062351887258701e+06,4.688785136533605866e+06,3.360486947604137007e+06,4.434576063101649090e+00,-1.838199943590445584e-01,-5.759737392057590055e-01
-2.707056751378110610e+06,4.688788554441628978e+06,3.360481285207494162e+06,4.406569061218170269e+00,1.614224808503653685e-01,-8.598443167151923472e-01
-2.707061059458073229e+06,4.688789014134864323e+06,3.360488191077294759e+06,4.655278272820191354e+00,2.624414833531900013e-03,-6.814367413346088531e-01
-2.707056541795087513e+06,4.688787835071339272e+06,3.360492654044057708e+06,4.723379178072278251e+00,9.570360975749933607e-02,-7.986198363657788235e-01
-2.707058183771388605e+06,4.688787172769751400e+06,3.360477799959368072e+06,4.822176310980291980e+00,9.937940847889041585e-02,-8.910392315088079274e-01
-2.707065382821592968e+06,4.688787136098692194e+06,3.360489417921223678e+06,4.814915585888896565e+00,9.653125772135100202e-02,-6.669012731527443893e-01
-2.707056409861819819e+06,4.688786531161747873e+06,3.360482697690111585e+06,5.021640793215227383e+00,-6.767742904101324564e-02,-5.077080505656097476e-01
-2.707060818821523804e+06,4.688785434761526994e+06,3.360480629006278235e+06,5.170140542772279524e+00,-2.328284376824229229e-01,-6.202037243164748581e-01
-2.707058368636696134e+06,4.688784500817507505e+06,3.360482490671519656e+06,5.159536181048638426e+00,-6.275120177286359902e-02,-5.078163921843207307e-01
-2.707054055740476120e+06,4.688785247448141687e+06,3.360488757103620563e+06,5.322008236192391273e+00,-4.902044360547391094e-02,-8.673860125522863118e-01
-2.707054403212331701e+06,4.688780631811524741e+06,3.360479106800306123e+06,5.431721830970031917e+00,-1.293108826860353278e-01,-9.795575272466464645e-01
-2.707054086944933981e+06,4.688787854330612347e+06,3.360464153816924430e+06,5.598982527315050639e+00,-2.976015487769792522e-02,-7.227092034034031665e-01
-2.707057205667202827e+06,4.688785282169933431e+06,3.360488448697617278e+06,5.590302805347769244e+00,-1.921702227552442299e-02,-9.659401325121887982e-01
-2.707051522445917595e+06,4.688785730357500724e+06,3.360486858066586778e+06,5.767043990177683099e+00,-3.731895079856324075e-03,-1.253754224639186621e+00
-2.707053880421923939e+06,4.688786444902797230e+06,3.360483421295494772e+06,5.720958621404115263e+00,-1.173596259442558215e-01,-9.618323131361226075e-01
-2.707060479027695488e+06,4.688789172306997702e+06,3.360494731318832375e+06,5.964861529170604193e+00,1.157715617822854259e-01,-1.137837833874747462e+00
-2.707057895579382312e+06,4.688789435527223162e+06,3.360482523624972440e+06,6.078457342224989013e+00,-1.027743408252274337e-01,-1.358274574552066793e+00
-2.707048467394846026e+06,4.688784689562977292e+06,3.360492581954308785e+06,6.015788191025003506e+00,3.422561009937110515e-02,-1.155187066903250903e+00
-2.707051044451780152e+06,4.688781439910297282e+06,3.360481852067616768e+06,6.341816503963176643e+00,-4.758409321004767462e-02,-1.093638783107602652e+00
-2.707049120713619981e+06,4.688783899414166808e+06,3.360475945054831915e+06,6.260425385687390154e+00,8.568533847997909791e-02,-1.416596444330969984e+00
-2.707053840626694728e+06,4.688783351896712556e+06,3.360487298179849051e+06,6.444312618537884063e+00,2.422998576495989376e-01,-1.174678891461742758e+00
-2.707055031205742620e+06,4.688789649151231162e+06,3.360476179419093300e+06,6.621708201399783889e+00,6.710907701046295304e-02,-1.084308153481929882e+00
-2.707046868946184404e+06,4.688787090110597201e+06,3.360483788948760368e+06,6.643344732923378793e+00,4.971223891810379325e-02,-9.344799826266046994e-01
-2.707045367822369095e+06,4.688783955106507987e+06,3.360481127151812427e+06,6.737411137898928537e+00,6.502358032116609468e-03,-1.465082548334549539e+00
-2.707052931817594916e+06,4.688784595925534144e+06,3.360483363010833506e+06,6.588373774710509778e+00,4.002068175270470651e-02,-1.028217168836373929e+00
-2.707047017931421753e+06,4.688783347240258940e+06,3.360491013372438494e+06,6.881587428682444774e+00,-2.802125899598363612e-02,-1.187306035932273796e+00
-2.707047810665851459e+06,4.688780705310308374e+06,3.360477889245341998e+06,7.042423869147780735e+00,-5.346071425788263831e-02,-1.218576225891753628e+00
