pseudorange_1,pseudorange_2,pseudorange_3,pseudorange_4,pseudorange_5,pseudorange_6,pseudorange_7,pseudorange_8
20199997.679693505,22321333.06889108,23200013.45282042,22321308.956654623,20200014.52226351,18078690.527021952,17200000.180351727,18078661.589124206
20199985.72521322,22321301.49824909,23200009.774838433,22321335.314562764,20200003.402453355,18078692.79634079,17200005.720490996,18078690.581227228
20200011.38922586,22321317.033218365,23200005.28412856,22321344.077033117,20200018.436523683,18078670.922887128,17200003.915520426,18078681.775009945
20200015.88547968,22321330.07290446,23200006.114963837,22321349.82106205,20199989.560178448,18078673.28595883,17199997.641376548,18078681.235449567
20199992.670919333,22321328.51355409,23200008.3496154,22321325.237237718,20200004.742876023,18078684.686159983,17199993.713500716,18078684.913655657
20200015.420277737,22321339.14686652,23200018.74557316,22321332.223443855,20200014.934027214,18078680.22202334,17200012.00692594,18078681.445557762
20199988.16372136,22321321.24648596,23200001.223789375,22321327.003648926,20200028.413335264,18078682.977177817,17200019.140562635,18078687.223186392
20199981.772411503,22321325.24853774,23200002.492571857,22321312.142518006,20200009.309433233,18078686.620939665,17200009.65753766,18078686.436984085
20200008.11962309,22321321.75525412,23200024.482079253,22321333.36782523,20199988.558430288,18078675.94425454,17199998.92759032,18078678.83601199
20200017.49129044,22321311.35035667,23200014.519995075,22321324.16285037,20200021.64270782,18078683.65723633,17200031.919219874,18078670.524099026
20200009.863675162,22321328.239031352,23199994.277642127,22321324.805692594,20200004.19301177,18078677.27176964,17200021.96564079,18078687.967346337
20199982.377168976,22321345.61088352,23200005.186039604,22321321.993202973,20200018.330351956,18078677.29195454,17199974.945861265,18078667.227966312
20199992.449770596,22321322.208372667,23200000.750829916,22321329.60728409,20200008.617839713,18078676.2840626,17200009.842364904,18078671.27799971
20200016.46863257,22321326.212714147,23200000.137154877,22321314.275188107,20200000.560293633,18078699.113372505,17200000.08420939,18078692.731138982
20200010.28112847,22321313.829193182,23200009.342613723,22321339.97791518,20200009.821551617,18078702.787775345,17199992.215321966,18078691.755212765
20199979.960325763,22321327.636085756,23199993.190732896,22321325.90849458,20200019.09057554,18078696.34532996,17200007.961665016,18078667.99096569
20199992.838749878,22321311.036111277,23200021.188440617,22321332.459952883,20200024.358613085,18078698.286430858,17199991.805958237,18078682.78474691
20200012.474244345,22321337.617164258,23200019.050149962,22321331.194137733,20199996.396535277,18078698.538514804,17199995.129634287,18078680.020694748
20199987.153448097,22321324.80705138,23199994.62855531,22321330.790441718,20200001.835721202,18078693.156714775,17200005.551476896,18078686.81840498
20199997.24344022,22321324.443980474,23200019.665960524,22321324.369319122,20199988.449602664,18078684.905580353,17200035.68892348,18078681.989152666
20200003.80777101,22321316.80475601,23200018.974133737,22321326.781436294,20200007.989298385,18078686.123007074,17200017.65546285,18078691.940287903
20199994.592119966,22321322.76269133,23199996.394738942,22321315.692948624,20199990.982338034,18078694.490691837,17200014.464043032,18078677.10736782
20200017.92338202,22321316.853154898,23200011.0583163,22321328.54843009,20200011.633837223,18078688.813576587,17199997.30449584,18078696.207859054
20200013.778698493,22321340.88504707,23200016.62871799,22321330.772628076,20200001.189258687,18078692.829142984,17200008.019953813,18078684.099437002
20200010.65067504,22321315.74397295,23200023.83282671,22321312.505817242,20200004.593205057,18078673.21769072,17200007.14323381,18078683.483217824
20200001.55620753,22321338.300135236,23200011.91983556,22321319.1658869,20200004.542818595,18078698.579663288,17200004.794774175,18078675.615772597
20200014.416006397,22321333.093093976,23199998.225292027,22321334.484549113,20200010.51243233,18078692.71472532,17200004.33121514,18078709.261737436
20199998.06598117,22321311.45578947,23200019.991052587,22321348.54766183,20199993.58257882,18078679.882092305,17199989.301961157,18078660.222334977
20200004.366005376,22321315.804264985,23200007.804810155,22321324.121514093,20199996.270753294,18078677.560138498,17199990.80376606,18078699.740462527
20199992.510927297,22321337.75328946,23200013.069282506,22321313.311329503,20200014.2794283,18078691.230137244,17199998.756484184,18078672.60937515
20200024.460278742,22321326.149171446,23200003.55804554,22321312.703829937,20200015.02210164,18078684.767672323,17199997.19074238,18078685.290358536
20200006.203137122,22321342.893118214,23200002.57396757,22321317.87774274,20200002.335269034,18078682.42668417,17200019.551858794,18078701.69159844
20200021.386401035,22321335.19842648,23199998.811948713,22321335.56182548,20200012.303754043,18078693.777639292,17199998.088478845,18078684.105924312
20200021.72862984,22321341.01740209,23199992.991532214,22321316.684054464,20199984.293495826,18078677.971681774,17200018.299993046,18078699.981463432
20199991.786486357,22321324.555051453,23199998.14137873,22321330.22268026,20200009.8097793,18078688.947008938,17200003.608334277,18078687.686836317
20200021.49154577,22321325.372582465,23200010.335383534,22321327.954493206,20200000.730597444,18078690.463047724,17200020.721114974,18078700.017737184
20200013.837573353,22321312.522845875,23199995.441036824,22321324.257241584,20199997.78354922,18078687.642029602,17200016.269697156,18078674.880650353
20200007.24989102,22321334.888764918,23200020.24105135,22321336.862492472,20200006.2908865,18078698.16848419,17199986.581021365,18078679.691821747
20200012.7781892,22321342.29704649,23200011.31278871,22321311.40673774,20199990.641808666,18078688.976966366,17200004.492161784,18078685.458639085
20199994.97081235,22321313.27018858,23199988.644189063,22321329.815192062,20200009.243133776,18078681.957944535,17200014.269833155,18078687.964346893
20200026.609055582,22321342.45290654,23200012.02309221,22321343.44960466,20199993.272523534,18078692.889273584,17199995.65646421,18078673.074438494
20200020.24586636,22321344.714057777,23200011.126247343,22321307.016611803,20199988.47369593,18078689.643320143,17200030.853792887,18078678.612921204
20200019.832594484,22321344.536091257,23200004.36117967,22321334.61553186,20200008.401681446,18078689.097534195,17199993.676213417,18078689.693010572
20200004.323574025,22321325.42061253,23200002.869240075,22321334.710287385,20199995.38747662,18078683.16732118,17199996.060199518,18078686.878257424
20200003.961552594,22321341.48437826,23200009.917332698,22321339.43636394,20199989.853144724,18078670.0510084,17199996.412230294,18078690.34263
20200019.305817913,22321318.404526707,23200031.78540418,22321335.08888525,20200010.00252329,18078677.98492239,17200002.91952764,18078712.30398703
20199997.715313885,22321328.29770011,23200006.255968656,22321340.397418994,20200006.530984882,18078664.60703443,17200013.384837642,18078706.877102707
20200008.786682762,22321330.594788846,23200012.805503722,22321328.239308864,20200017.740584034,18078682.341176134,17199998.838874143,18078670.88878659
20200015.31406512,22321328.06729712,23200008.12254834,22321316.437766556,20200006.979566984,18078682.55229305,17200008.19190962,18078687.480781272
20200003.523576256,22321337.99887639,23200007.31328564,22321323.087684,20199989.435363702,18078687.126337558,17200003.4041473,18078690.679595362
20199995.760678623,22321345.793715443,23199999.129535675,22321315.51832386,20200011.935820453,18078697.34005962,17200006.206341725,18078679.728903625
20200012.345536616,22321333.081549715,23199997.059088968,22321331.125057485,20199998.75759461,18078682.993903298,17200006.120571576,18078693.61143643
20200017.721029665,22321338.64170861,23200007.770261634,22321336.252129875,20200004.505182933,18078696.326074004,17200019.788753994,18078684.27971194
20200008.03764307,22321343.741221555,23200004.41687195,22321317.20019494,20200000.065758575,18078677.917140894,17200002.204825852,18078696.785280865
20199990.37289189,22321317.926650826,23200014.441063035,22321333.75430501,20199989.914784458,18078696.771264546,17199995.50101919,18078699.048162162
20199992.34259408,22321305.919392813,23200003.01056527,22321319.630622756,20200010.82625887,18078686.834051725,17200004.120161757,18078691.474881202
20200021.020598482,22321341.53105729,23200003.73769839,22321328.972301636,20200012.295821335,18078680.77077399,17200006.140747838,18078681.436734483
20200014.33278766,22321330.89397542,23200005.316191524,22321321.80177323,20200017.719809912,18078684.81899141,17200011.450420875,18078678.670653433
20199982.747321617,22321326.60310659,23200014.811675772,22321328.834113993,20200002.709662817,18078673.599931136,17200009.913637046,18078680.71899582
20200003.631486055,22321343.711363785,23200010.54631617,22321333.249249984,20200016.18978707,18078669.744369928,17199989.212367017,18078681.98616998
20200003.74452439,22321330.60082383,23200031.978450127,22321326.528977714,20199993.87516801,18078689.225144215,17200005.270557687,18078688.117627602
20200002.74664762,22321339.160766467,23200015.477867216,22321331.233839527,20199993.254584655,18078702.690006655,17200008.098591264,18078690.810238685
20200001.174200337,22321334.337586004,23199987.79814953,22321328.046376355,20200005.893445596,18078703.776337482,17200025.618400123,18078684.300093696
20199989.13009087,22321330.000216953,23199991.403948106,22321318.76128038,20200020.4612879,18078687.396337174,17200003.477371816,18078680.802138798
20200018.40586612,22321326.003331713,23200012.910411514,22321326.699498806,20200008.163416684,18078676.319667257,17199999.73342845,18078690.769229975
20200000.646508344,22321321.164099112,23200010.84981317,22321336.7275164,20200022.601007074,18078680.93237221,17200020.146717772,18078681.864260897
20199992.964074917,22321312.059264433,23200011.18714583,22321323.98663788,20200003.721916534,18078681.83646885,17200001.46951156,18078683.03794105
20200007.188525822,22321314.55986804,23200000.918185167,22321317.70621667,20199992.358064074,18078703.27012354,17200003.153576814,18078666.06591677
20200019.834962726,22321332.443248525,23200009.38406204,22321320.638091337,20200030.030551795,18078711.35587314,17199995.1761615,18078688.249003008
20200001.39557374,22321329.759815976,23200022.647399746,22321322.958764646,20200018.16920004,18078687.387684505,17200016.225947507,18078688.5291845
20199995.20627066,22321323.14412336,23199993.07313831,22321328.348723724,20200006.147639684,18078696.1775444,17200005.122302033,18078692.438523367
20200000.016718064,22321333.051504288,23200002.29575541,22321320.542572904,20199989.066498224,18078666.52703932,17200009.374595538,18078675.284443825
20200007.742733758,22321336.27232543,23200000.364432395,22321342.811158102,20200009.132351056,18078689.22800769,17200003.093786873,18078684.12556074
20200007.099733673,22321321.92467982,23199983.594574627,22321319.938563704,20200009.851719283,18078688.36070055,17200003.5785619,18078672.625096552
20199994.761063833,22321321.501113757,23200002.240214728,22321336.808170225,20200025.75557473,18078676.56930735,17200009.510522317,18078672.43029457
20200003.566874396,22321325.6229516,23199996.94831484,22321341.073315624,20200002.734834336,18078691.986486882,17199992.384500984,18078678.85223389
20199992.42171192,22321322.602252882,23200001.48692375,22321331.76802789,20200015.10463702,18078682.451451346,17200010.292993795,18078689.603316404
20200018.863035694,22321337.20608343,23200000.9966076,22321338.772212557,20200004.388449922,18078698.641794555,17200032.565348547,18078695.540630057
20200003.17840083,22321332.62318422,23199998.40228507,22321330.223025627,20200020.97117835,18078686.23660915,17200006.84655858,18078707.493137047
20200014.564586356,22321332.888196897,23200013.06876407,22321342.815959908,20200004.661062256,18078680.010793854,17200005.63885549,18078684.60881978
20200009.848697238,22321326.482939683,23200008.149663676,22321340.70450249,20199997.43023031,18078678.131641526,17200026.668498836,18078684.367937226
20200018.250228215,22321332.12161496,23199999.357946917,22321335.12547425,20200001.830297273,18078669.409584817,17199992.835201807,18078680.72736286
20200022.922183577,22321313.68267182,23200004.571160328,22321344.730491724,20199993.051799625,18078705.66828284,17200004.34390863,18078681.83234731
20200011.24466743,22321326.107549712,23199995.040429417,22321334.259061452,20200003.964541353,18078689.5478866,17200010.42513661,18078693.31787448
20200007.274589147,22321347.1200926,23200010.76906406,22321332.15817201,20200014.21118055,18078680.771453526,17199984.47148315,18078682.026966956
