gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707032334811083041e+06,4.688713121739775874e+06,3.360433036490283906e+06,1.000829965550170044e+02,4.747832739486453069e-02,-1.011394495921439374e-01
-2.707022913556469139e+06,4.688714475083745085e+06,3.360428516670791898e+06,9.954721079883009338e+01,8.783062200611346793e-02,1.342919132208783561e-01
-2.707007342072052415e+06,4.688714337356260046e+06,3.360422911569727119e+06,9.865247284879386314e+01,-6.011586578161727534e-02,-2.825508263399806874e-01
-2.707000150351080112e+06,4.688705952593667433e+06,3.360429695173067506e+06,9.785189554620201591e+01,6.375962020679429298e-02,-4.483818217084462043e-02
-2.706987613614361268e+06,4.688710126868382096e+06,3.360432496584098786e+06,9.692869620645481632e+01,-1.441648376925954711e-01,-6.891515865944324026e-02
-2.706982503328175750e+06,4.688708377551523969e+06,3.360439491028944962e+06,9.594949364822856808e+01,-1.090002559561406292e-01,-2.446000863406173551e-02
-2.706969500290595926e+06,4.688703566498894244e+06,3.360431911156858783e+06,9.486695002987197256e+01,-1.312689881630838551e-01,2.417397879839314201e-01
-2.706961437523536384e+06,4.688711488214199431e+06,3.360429434169574641e+06,9.376936162968236488e+01,-1.576665029227447209e-02,-4.898236681173696178e-02
-2.706953110652238131e+06,4.688713122814786620e+06,3.360430660108054522e+06,9.285211713987925464e+01,-1.436697819888837213e-01,2.358686180024285872e-01
-2.706937943759728223e+06,4.688714628890477121e+06,3.360437750826958567e+06,9.186273967889609082e+01,1.139543865478714890e-01,7.586170184690534113e-02
-2.706935343298551161e+06,4.688710742401180789e+06,3.360438293656685855e+06,9.086266750641641465e+01,-1.014532248205584630e-01,5.544314300768924536e-02
-2.706923175437532831e+06,4.688714330554264598e+06,3.360432269097245764e+06,8.987879036441879066e+01,1.721199579520788780e-01,1.185495950407132182e-01
-2.706916340932314750e+06,4.688712154792226851e+06,3.360420516811044887e+06,8.897090478158217763e+01,6.610255366957736023e-02,2.492218723260167523e-01
-2.706909473736710381e+06,4.688710667261746712e+06,3.360433815440078732e+06,8.786762698220864820e+01,-5.978889961096084393e-02,1.705662729251587739e-01
-2.706896635052694939e+06,4.688713195612153970e+06,3.360430001451218501e+06,8.694026630590445848e+01,-4.439352736205120359e-02,-1.710635118360217533e-01
-2.706881785832696594e+06,4.688707778413238004e+06,3.360436777752027381e+06,8.585585455401346167e+01,-1.480140827267605041e-01,1.083693932168741797e-01
-2.706882344248157460e+06,4.688719399798757397e+06,3.360424686007891316e+06,8.503230162073685960e+01,7.352133157716556457e-04,-7.850428062572892274e-02
-2.706872164824026171e+06,4.688713750689812936e+06,3.360439985768750310e+06,8.398266189961134387e+01,-2.977892820015110714e-02,-3.542585423591557148e-01
-2.706869723742535803e+06,4.688712637148506008e+06,3.360426380104887299e+06,8.295377111666705616e+01,-3.902591575238532895e-02,2.450935094367919509e-01
-2.706854210962821729e+06,4.688708987606088631e+06,3.360426337155867368e+06,8.176037130420286303e+01,9.077077939754990554e-02,4.519076144542339378e-03
-2.706847913322618697e+06,4.688712062140905298e+06,3.360437337368039414e+06,8.096846592526800634e+01,2.269190244346532340e-02,1.737289655986558601e-01
-2.706842668865493499e+06,4.688715509375596419e+06,3.360427015927182976e+06,7.986106796537193020e+01,3.050856440941250927e-02,3.010673403153121819e-02
-2.706833413004270755e+06,4.688713105220615864e+06,3.360424180615320802e+06,7.907101083715518541e+01,-4.296018425382060711e-03,7.517909918529119828e-02
