mag_x (uT),mag_y (uT),mag_z (uT)
3.215699645974213183e+01,-2.444659575305206389e-01,3.771228435700636084e+01
3.265516073660568708e+01,-2.498685869406638491e-02,3.776519897761619404e+01
3.298999115342808608e+01,5.979444843421510836e-02,3.788164899995751256e+01
3.275686617323372474e+01,-7.529736140073582662e-02,3.821312031257055253e+01
3.266157542156069837e+01,2.174483774977625794e-02,3.797558576404441766e+01
3.240393411957764158e+01,-3.967715477009325920e-02,3.794428781179639287e+01
3.255592664642471590e+01,-4.724481656506362287e-03,3.767905145529540789e+01
3.254883800873046340e+01,-3.829896994352252615e-02,3.801163341043671551e+01
3.270794527024565213e+01,-6.071738445032161258e-02,3.809048206970114592e+01
3.301771025089836087e+01,2.354360178065404985e-01,3.754018676120504239e+01
3.271343851618539844e+01,9.040236171267822252e-02,3.777566384491688467e+01
3.241467096755941668e+01,-1.166639074045955626e-01,3.824260161107781641e+01
3.259122486529043528e+01,1.824903756728952775e-01,3.783380084804296217e+01
3.222169096320255477e+01,4.188138695663851108e-02,3.786230474880609620e+01
3.280144978901326169e+01,-1.254486996321534098e-01,3.791254040188053409e+01
3.250106875920955218e+01,-2.522768759701433661e-01,3.768185062998841062e+01
3.248919510899209229e+01,-2.797817351555551557e-01,3.798894599907086445e+01
3.218927426158850125e+01,1.217681024919356481e-01,3.800357341141904755e+01
3.263184329191047794e+01,2.219823139807426959e-01,3.813251424726276895e+01
3.241577544003605738e+01,1.971197568053348059e-01,3.764883578568554867e+01
3.222834727285161449e+01,2.524720154048416126e-02,3.807529434602887619e+01
3.228913662574572641e+01,-1.437911949790894872e-01,3.799280579557926529e+01
3.251508254664269515e+01,-2.160640634193355947e-01,3.796225086940869886e+01
3.286912673656814832e+01,1.753527622818519260e-01,3.825742519599190672e+01
3.255050793316191005e+01,7.352463678376675027e-02,3.812316833197020571e+01
3.233503082806778650e+01,-1.176538815847610053e-01,3.765294187984003571e+01
3.298959232528503804e+01,9.784897700259315156e-02,3.783680539060032544e+01
3.301379018690177247e+01,-4.186744467418825749e-02,3.790088768586982582e+01
3.248784969714833437e+01,-1.818910994436995499e-01,3.795007607473988998e+01
3.281437831755748391e+01,-7.654559801519462969e-02,3.770807531043170258e+01
3.254151334662795847e+01,5.056395586225520544e-02,3.777918839401959872e+01
3.242253551434418313e+01,-1.626262773853032473e-01,3.805576088130773371e+01
3.266896570263192245e+01,1.216185787885514236e-01,3.785175847019669959e+01
3.275918149644505206e+01,2.095488535532475938e-01,3.786437065759210441e+01
3.223538744612195472e+01,-2.475560846309078356e-01,3.756432045269910702e+01
