accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-1.005677150578426549e+00,4.834288586642587759e-03,-9.800451014982551001e+00
-1.894441941448348654e+00,-8.542042976261771852e-04,-9.790035255016610094e+00
-2.707503082881058010e+00,6.231949848363360113e-03,-9.796375628946954350e+00
-3.437876603385446650e+00,-2.002314546575721145e-03,-9.804211426373868221e+00
-4.094846829319276793e+00,2.144769123452216261e-03,-9.776755350457671412e+00
-4.693040265280492562e+00,4.241854881596899413e-03,-9.790276593511777037e+00
-5.209355289700457803e+00,1.132415506762467390e-02,-9.793721115327322480e+00
-5.689400412272297203e+00,4.174488059243227148e-03,-9.813952302671708594e+00
-6.128206670594853023e+00,-6.200497888071703108e-04,-9.797569383667294574e+00
-6.507138602308998543e+00,-2.410223953274288466e-03,-9.787542678651263373e+00
-6.853952447071972820e+00,3.240405880828847382e-03,-9.787340504041114997e+00
-7.180074861563413791e+00,-7.111403365256376875e-03,-9.807316459772618344e+00
-7.455678957827063691e+00,-1.176668601411697641e-03,-9.798714470973445501e+00
-7.710736831561741944e+00,-4.232841843550271509e-03,-9.802206034237476828e+00
-7.944323693752730620e+00,8.487371291040663205e-04,-9.791917338129403348e+00
-8.151560603149208717e+00,-5.617457234223697041e-03,-9.796331453474710571e+00
-8.340667660250963067e+00,1.972375624292819866e-03,-9.805590919973342423e+00
-8.489263415278077929e+00,-1.034753778115139224e-02,-9.786883958486573221e+00
-8.651412829721854436e+00,-2.791308670889864328e-04,-9.787192225246913679e+00
-8.780300511857884516e+00,7.955720324733905457e-04,-9.786166093445849867e+00
-8.908052437011749092e+00,-2.284771262740384681e-03,-9.784177905803428388e+00
-9.020463194361923343e+00,-5.520229677639949123e-04,-9.794855904138829672e+00
-9.114075038296515885e+00,-2.037523689018444582e-03,-9.800269170773720617e+00
-9.203892957176082135e+00,-2.043365493282990521e-03,-9.792248568313786095e+00
-9.286026873579487528e+00,-4.144582267997613638e-03,-9.794841413324435919e+00
-9.356154542077254277e+00,-1.586037133253351055e-03,-9.783811114236371509e+00
-9.418385243308760479e+00,3.677727623292329200e-03,-9.803076720689254842e+00
-9.464753341627645256e+00,-6.252063041477653538e-04,-9.791756121861078910e+00
-9.525084862434949784e+00,-5.137003259136197972e-03,-9.784794181592101125e+00
-9.570029212698770493e+00,1.665108991628148514e-03,-9.793802054248684996e+00
-9.619557135606301657e+00,-2.139879360093030394e-03,-9.785399771119530854e+00
-9.653619615950246313e+00,-2.722816818603163418e-03,-9.795980728365019985e+00
-9.681180658279769702e+00,8.415938021628601232e-03,-9.794951837801285421e+00
-9.726629359565198030e+00,6.680134743954134306e-03,-9.799968251106120576e+00
-9.746753343325233132e+00,1.399157732992856564e-03,-9.804369142957741090e+00
-9.770905781156532299e+00,2.016472499519852621e-03,-9.785196861480583763e+00
-9.797473198416094320e+00,7.376938995832297251e-03,-9.794278006842503714e+00
-9.814254243528932165e+00,3.759096528454747375e-03,-9.803083587820147216e+00
-9.830370745093395257e+00,3.434299653266986111e-03,-9.809780189570361131e+00
-9.855582110261915219e+00,6.815277447959910279e-03,-9.796682319887809243e+00
-9.863893617721943841e+00,1.421931062889735930e-03,-9.797451419219473934e+00
