gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
8.003821037859980281e-03,1.941816648932884193e-02,-3.901547164143894658e-02
-7.147780237279795224e-02,-1.447683860569356530e-02,8.553304916131353186e-02
2.102752820293311148e-02,1.540741780225511094e-02,-2.431031389540083514e-03
2.080364539673750304e-02,-9.118928889639504962e-04,-2.007368777987687987e-03
-1.796282111365650816e-03,-5.328990745830147237e-03,-2.706702478449824097e-03
5.622058870528000990e-02,-2.888387748928387955e-02,-9.748115023245127950e-03
1.175549418792572326e-01,9.325622354624983623e-02,3.656707800272200604e-02
-3.511018220263512069e-02,-8.484510874687806181e-02,-2.937513175169528465e-02
-2.619222297913600950e-03,7.230957958678100976e-03,-7.372669594406783267e-02
-1.602698815336340600e-03,-2.520864508827325504e-02,2.688461822881060143e-02
-4.431950889061046089e-02,4.805566077080627302e-03,5.689263372679069508e-02
-1.648503595296657923e-02,2.383587320396299974e-02,-4.740943717701143201e-02
6.367954495970888640e-02,-1.765834425350670811e-02,4.484908066234945950e-02
-4.052229114000190785e-02,2.213734144966788067e-02,2.080328025652816715e-02
4.604889030319473525e-02,2.889161725544948586e-02,-1.730357640040190714e-02
-3.870657067226978415e-02,1.440936142470292634e-02,8.670494892503772437e-04
1.168190626118817410e-02,1.818660173825214360e-02,7.508394451875705089e-02
-1.228986490884984191e-02,-1.193588203221838603e-02,-3.587519554015099893e-02
-2.246881914846736092e-02,-3.869374420997646197e-02,-1.442808031461694819e-02
6.574954426294911392e-02,2.213143718363716830e-02,3.095714463477557132e-02
-5.441158004453420897e-03,1.961408692576063414e-02,-6.287779926236387353e-03
-2.000594787371445110e-02,-7.594495363393406751e-02,-2.039368423733305818e-02
-3.831690094858113821e-02,-3.781383149072035672e-03,4.149829697533141681e-02
-3.128467198524323423e-02,-8.366884639287680558e-02,3.341472395350445629e-02
2.026316772575650210e-02,2.104397468091093269e-04,-1.804996995113048244e-02
1.945563696783573701e-02,-4.053002479608555642e-02,-6.400433850926898205e-02
1.992169017945632570e-04,-6.193774805173885879e-03,-3.546323595708352622e-02
1.763830378113454694e-02,-4.211710509182158696e-02,1.922043562518967880e-02
-1.276334320155307275e-02,5.687757454871983712e-03,5.244280039774241314e-02
1.108368612716966184e-01,-1.018828705578012639e-01,-4.110003685638279058e-02
-1.251593762684093114e-02,1.107138037514201730e-03,3.906636706315291634e-03
-4.373683798689670388e-02,-5.875579073744256753e-02,7.978610254826051795e-02
5.690041917785693820e-02,3.514945360351153653e-02,-7.211824850200854523e-03
-2.934087841517446157e-02,1.198624730329960336e-01,3.948037165319431829e-02
-2.957421819109463945e-02,4.423782868302749555e-02,-2.997779647146155135e-03
2.118906015886865349e-02,-5.311894046515105300e-03,-6.948914958323372526e-02
4.694113177609283288e-02,1.169163887064039817e-03,1.525401353840135851e-02
-2.842399358914164675e-02,5.146164054435409252e-03,-5.462325654187122521e-03
4.359052956443511262e-02,3.668119317103233495e-02,-2.878151250307243308e-02
-3.983814477675683835e-02,1.823342760457945938e-02,2.321602921985170542e-02
-2.987865875018685599e-02,1.283275265749918986e-02,-2.339423357789306018e-02
3.077881912475846291e-02,3.999568062747449471e-02,-9.049447622188987184e-02
-1.877808323068842766e-02,4.566408215867787806e-02,-4.128967404244546224e-02
-1.973100842572324959e-02,-3.314982764603371934e-02,2.515745435433348540e-02
-2.819097364440817724e-02,1.990359253487528415e-02,2.508533706860082216e-02
-4.314992408844171325e-03,-4.168444059287920722e-02,1.668648705972627933e-02
1.910439686093722694e-02,3.151950514012681615e-02,6.301999538669325607e-02
5.296208249946258301e-02,-7.159004247055996382e-03,-4.184098685344203594e-02
5.388233445315600972e-02,-1.308966903395952439e-02,-4.744512744595263953e-02
-4.897630676270944144e-02,8.050921309801308684e-03,-4.474028285491230168e-03
-5.832851385235807151e-02,-1.334936117667914063e-02,2.133206048939076394e-02
1.062773744135410772e-02,2.193737092536418576e-02,1.600815373043079637e-02
-4.142179848991098257e-02,3.709517232663932934e-02,-3.366773977840783333e-02
-1.073271193071549494e-02,-1.715056641771886894e-02,-7.076492633748759399e-03
5.354480183407709162e-03,7.579346627803788816e-03,-1.596304309302976759e-02
6.145481305894236537e-03,-1.206800662417841299e-02,-8.544561215406424465e-03
4.330121980448310010e-02,1.825702226673349762e-02,4.680770760981086548e-02
7.545302058731385986e-02,7.158587310357414357e-02,2.511233708849954990e-02
3.496608925092540426e-02,7.055648235967906801e-02,-3.769354607012746642e-04
-4.135619633101708659e-02,7.874433219455982680e-02,1.416679917857391335e-02
3.292729294677790991e-02,-2.006207812259522619e-02,5.966192279561068068e-02
1.049360282227672012e-02,3.783842986935405384e-02,6.758224644498694866e-02
6.559265916702777810e-02,-1.189985732647304423e-01,6.788657896999669705e-02
-7.960387046036355996e-02,2.044685937828348565e-02,1.135694027056690682e-02
2.073723146822639349e-02,5.122354875850911038e-02,-1.108844249207289502e-02
2.392919379864508547e-02,-5.550187357745093794e-03,3.900288841839510967e-02
-1.174659128573975891e-01,-9.703929134314285415e-03,1.795257051767328721e-02
-4.741002100391644714e-02,3.478087669422565836e-02,2.779301458227751570e-02
-4.236130432323337996e-02,-2.252165894397584623e-03,3.645980168919036452e-02
-2.014903112524068715e-02,3.021951199705243812e-02,-2.683091701654337358e-02
-2.051429412953537784e-02,-5.138177983817870942e-02,-3.647276496303632903e-02
4.674291965567237833e-02,4.141281669979070962e-02,1.839911099046753068e-02
-2.500927905520040212e-02,8.609113687954927235e-03,-3.511616520396056151e-02
-5.319980064806708459e-02,5.816261017425520402e-02,4.574484313307657091e-02
5.668190072087197356e-02,-9.371028827551407606e-03,-2.340347231544507786e-02
-4.487401648675667931e-02,4.878498040705149530e-02,-8.083538737070143643e-02
-3.806441921221292990e-02,3.080104571923950388e-02,-2.627828826316743957e-02
8.870040775758130519e-03,3.318962735326926733e-02,-2.250458136427606944e-04
4.271932088174651421e-02,2.511501863470992635e-02,5.377375924045679073e-02
3.530483862509264936e-02,5.026838408528422342e-02,2.854721907958152841e-03
1.585750867582769869e-02,4.241235226082244042e-02,3.266572056785986555e-02
-1.691695741686942986e-03,1.297333759399814899e-02,-7.177788659796433685e-03
-7.741777566218338742e-03,-2.446647039475013941e-02,2.150905275745176176e-02
-4.634119625943237952e-02,-2.234496436079529830e-02,-5.742775627701442176e-02
1.619797768747322994e-02,4.050794725867712387e-02,-1.255071436544677975e-02
6.459760981751268283e-02,4.736396903282889120e-02,2.860272948427116171e-02
1.518206454982904720e-02,-3.777175502698451592e-02,-5.989573829530996096e-02
-6.322730154953515314e-02,-1.501165154617239853e-03,3.750231909086721577e-02
1.024892498706330007e-01,7.111909128905843924e-03,-5.592107746239276256e-02
1.554612900906840629e-02,-1.197403896289272844e-02,-2.278584184219234476e-02
2.134090684835348792e-02,-1.690901165236231504e-02,1.263888951326187088e-02
2.018804562291841992e-02,9.094484418453489816e-02,2.790866360605959162e-02
-1.163604071179607895e-02,-1.110539606806629697e-03,-4.890223692256966820e-02
-1.197088586790507421e-04,-5.123138013366724391e-02,6.135260971964137666e-02
1.319967074259951675e-02,5.031325745210062095e-02,2.051207660002697317e-02
5.521874671816599800e-02,-2.592526923775433090e-02,3.399868367896038621e-03
-4.053755142783935228e-02,-7.690005016830159246e-02,6.662360153702637233e-02
5.156349944149198061e-02,-4.730161603432788547e-02,2.287385550742164486e-02
-1.518862584056740635e-02,-1.750993128466792059e-02,1.903664606704132817e-02
-1.240028973090796620e-02,3.007702190941459464e-02,3.731400617834300382e-02
-2.642085100471952552e-02,6.902679921805110475e-02,-1.796725560954637313e-02
7.496816004077084053e-03,5.145777244199896405e-02,-6.538517108057074340e-03
-8.777515221323103564e-03,-9.926764095519019504e-02,2.171829978935008523e-02
-3.224437263187479585e-02,7.646799161190152849e-02,-9.552526701708008092e-03
3.108228510316498466e-02,7.900179668324626425e-02,8.979284789861326221e-02
-1.861137863485703633e-02,4.492070753551109796e-02,3.797788008031824630e-03
3.502625421484700102e-02,3.107455758155943867e-02,-2.811484738472413633e-02
-1.037266078645387481e-02,-2.286182720246224612e-02,3.055624637304366759e-02
1.519934744702569791e-02,5.276670730504219586e-02,3.433124256291764792e-02
-5.040289082110054313e-04,-1.188538418644242631e-02,-1.505603660433791312e-03
-8.176961606375762748e-02,-1.365158571445912808e-02,7.128201614381661499e-02
-5.512254340022891552e-02,-6.405903561875188335e-02,-9.288558009957028835e-03
-8.108749100890567940e-02,3.255135552982620778e-02,-1.433404820839999372e-02
2.065964804578231465e-02,2.371659965415215746e-02,-5.504858156751756167e-03
1.083843717625071999e-02,1.898212819301097615e-02,-2.460524958006801363e-02
-1.245852964227871403e-02,-1.852992209485514880e-02,7.203757252184011389e-03
5.424109722749039311e-04,4.230782348136449128e-02,-1.492673991660645877e-02
5.167767181055275133e-02,3.700259226519762162e-02,-2.581725549882923562e-02
-8.094055691070682623e-02,-1.348841595876071992e-04,-3.199964363096189507e-02
-1.509606425389839468e-02,-3.651289241174558026e-02,-2.598692680427847849e-03
-1.894328447223910666e-02,2.205415084008894092e-02,-1.774736568880192628e-02
-2.250173660112142482e-02,-7.865136789049788357e-02,2.165727067499537313e-03
7.806820584883135752e-04,-2.881472498018043324e-02,-3.614201619982354563e-02
-1.947967975601952451e-02,-9.483007618922431603e-02,-4.186036867884405238e-02
-3.149025146518216745e-02,-6.568066418223238168e-02,-3.013023905240703668e-02
-1.144950718541139049e-02,3.677598745836459238e-02,-1.950349517109786421e-02
-4.967439421212856837e-03,7.265536650317373779e-02,2.237561619898040949e-02
-3.827294797572104029e-02,-6.885912536727334388e-02,-1.055807676458850319e-02
9.578574833738318084e-02,3.394530364990173965e-02,2.431704557450008880e-02
-5.901985945239659331e-02,1.253787159700682496e-02,-2.138731151255987908e-02
-9.768742564176424725e-03,-1.839206351155295988e-02,5.768125853994503401e-03
-6.961880850117634079e-02,3.802384349744634962e-02,-3.355623450169267774e-02
-2.916302111143564274e-02,2.560930916741046420e-02,4.875753373812496613e-03
-3.925949003422037065e-02,-1.927975896904955341e-02,-5.046903683507477506e-02
3.724346978742159274e-04,-1.870324299019339442e-02,-1.244540919732377640e-02
-3.861636010699501242e-02,4.053457189891580825e-02,-3.646022036978909149e-03
-9.639572197165310885e-03,-3.312306373529330661e-02,-3.599663809059754083e-02
6.749956131713557260e-03,-2.532270632522679293e-03,-1.797412077296752951e-03
-5.094490866723262040e-02,-6.082783883351572385e-02,-1.295317449843221003e-02
4.765009506810816142e-03,-2.543340994942774880e-02,6.322578374536731716e-02
7.175982416317799872e-02,-2.834330253832269622e-02,1.188152853472766723e-02
-2.779875433041238512e-03,-2.386621237160291287e-02,-5.744549699723508485e-02
8.709538925302354878e-03,-3.933058916307465708e-02,-8.169964460769331416e-02
7.009963940864009924e-02,2.519043456572710865e-02,2.240204222509441928e-02
-3.227692772273510480e-02,-1.135622704359015404e-02,6.839662396558826574e-02
-2.248301193996038103e-02,5.658272190263016060e-02,2.095024553916903162e-02
3.716373891447925792e-02,3.065861209816541331e-03,-3.590927440264519294e-02
4.418370390853631341e-02,-3.385173087814018905e-02,2.759194966324946680e-02
-1.149833265289929018e-02,-6.996033640941833054e-02,-1.915174596597990150e-02
-3.547657539471155835e-02,-2.556799532469300820e-02,1.043331271571672561e-02
1.995746409012229619e-02,3.026126317074975119e-02,6.560302211775594951e-03
-6.042360332120034344e-02,7.644367466768114960e-02,-8.709424423349849953e-02
3.648468180937941563e-02,7.409093679666188190e-03,-6.459155645554494340e-02
-4.714512726889844019e-02,5.211308165577178964e-02,-2.341766737211148364e-02
6.351441297001236830e-02,2.444692026356633588e-02,3.217300285400979953e-02
-1.807255256922776429e-02,-4.896669318328956272e-02,5.190703995275433753e-03
-9.640232978507620731e-02,1.959458581881529105e-02,1.523842254759102087e-02
-5.527431451625389874e-02,1.476784477854197267e-02,-7.230131365246568118e-03
-3.701578666905131626e-02,-4.532879453896013905e-02,-3.066484883646405230e-02
2.920793975461289955e-03,-9.112598335591776122e-02,-6.256745036194487353e-02
-7.039419016957734580e-03,-1.338511294906211124e-02,-2.082827512745956053e-02
-2.566251810478428763e-02,-4.342850927577229965e-03,8.977979135882290310e-03
-1.192371517445121052e-03,-2.760436323370055178e-02,2.806396078146661949e-03
-1.758716403325146643e-02,3.535892360722026149e-03,4.364959456621000933e-02
-2.527182289478805549e-02,-7.740488445337885721e-03,-3.995344571807483980e-02
-1.997289743669690767e-02,-5.193122824693352339e-03,1.978788617388842555e-02
-2.573403295556793771e-02,-1.320528083161325028e-02,2.728215669367084484e-02
6.462725631467235166e-02,-1.400077912866741622e-03,7.778422923858192839e-02
3.208499665134421919e-02,6.616206047081552022e-02,5.014484318535249174e-02
1.078731432691328457e-01,-3.547917475647850011e-02,-4.528331966306876899e-02
-9.902928488448334288e-02,1.406947417349528433e-02,3.942070582300039039e-02
-5.608877880200174165e-02,5.347013606031186805e-02,-6.359432578357708879e-03
-3.573867092172614696e-02,2.501153203811772464e-03,-4.651933286111378102e-03
-1.025080009692735383e-01,2.999647246266382537e-03,-1.969962910682535387e-02
1.237038725368946879e-02,3.589144628833967898e-02,1.412133027769903182e-01
1.183860243759768116e-01,-1.386674667568247969e-02,-1.447838307948096960e-02
9.816804351030633535e-02,2.450915299643048259e-02,-5.540390115883889882e-02
1.863498751385590790e-02,-3.398784134572768734e-02,3.599094908130585652e-03
-2.284886995863997898e-03,1.018992250544530249e-02,9.104735602877942965e-03
7.017289284646974212e-02,-2.073088216111828100e-02,4.513741734816437839e-02
1.798423314067734008e-02,-4.578090211649559621e-02,4.627846091465087630e-02
6.126937152740458137e-02,2.008963879167678657e-02,7.553763051324946520e-02
3.325301791003714477e-03,-4.239330732727905615e-02,4.852460226581109537e-02
-7.750421509628639682e-02,-2.732618354353426662e-02,5.493899718569487944e-02
4.963585014049524263e-02,-3.857374854576331447e-02,-5.369970163761541432e-02
4.061770705177640550e-02,-4.268732206172175594e-03,9.837180978179156220e-04
2.246075169673924024e-02,2.029182367218173005e-03,3.655770654177430568e-03
2.447790761210992885e-02,-1.653924939386741330e-02,4.595048058342340869e-02
2.653258880165537334e-02,-7.264802466652640900e-02,-5.654421846867792312e-02
2.849751211530161463e-02,-9.911458250758793664e-02,-2.029836359031541443e-02
-1.739970348760182597e-02,4.036156749689043949e-02,-1.196085449324361429e-02
-2.075619021316797361e-02,-3.280298469662030342e-02,-2.155367873408978868e-02
2.548328404022907195e-02,-4.599350340317496372e-02,-3.391788038402695354e-02
-1.391204686911957922e-02,1.202693082092002319e-01,5.799696853916680439e-02
-4.138061330026931994e-02,-2.054718491443798228e-04,1.225226180138717057e-02
2.727706601822242269e-02,3.058389165885768562e-02,-1.001906584589633137e-01
-2.016658863021317249e-02,-1.491314503384815957e-02,-1.316335879858041361e-02
-3.104636535105846640e-02,5.874779407500656248e-02,-2.932900675433402007e-02
-2.035835797209960621e-02,3.282869462095960346e-03,2.570326530869723042e-02
-1.462723535249070388e-02,-3.827970880667758841e-02,-2.487405096927236200e-02
-5.715613667310915497e-02,7.886544665088571562e-03,-5.598325073846906370e-03
-3.399038980291390222e-03,5.574373848845571439e-02,-7.170238654839056029e-03
6.633364416359585625e-02,-4.917017290053371514e-02,-9.443428322946617604e-03
3.221372426343731971e-02,3.495626777702873916e-02,4.086422794853658731e-03
9.511384652055258904e-02,-6.044168699219686774e-02,-8.116910219622118505e-02
-8.257697669705505936e-03,-6.227227231642207261e-02,-7.947708833724175144e-04
-7.769093502967071296e-02,-2.945591712401111201e-02,7.584459338477169896e-03
-7.988698038960996561e-02,1.244390487013307192e-02,4.299412376784597645e-02
-9.829664548982566807e-02,-1.928891312134787053e-02,-8.380804073470987658e-02
1.551381032643814502e-02,-4.438765420758701563e-02,3.412599847533212983e-03
-2.055406088946288082e-02,-7.428878296000294978e-02,-3.825751468616541556e-02
-7.314239409494839583e-02,1.864646776943081410e-02,-7.558979120773370863e-02
-2.887583836163010176e-02,3.333022991321089867e-02,1.842501128044632744e-02
5.436978163931079945e-03,4.886325058517029286e-03,-8.588204247457088131e-03
1.243877764076025544e-02,-8.929063741789673714e-02,3.300194933587408813e-02
-2.928584126119674821e-02,-1.243358275154055753e-02,-4.602325812979519981e-02
-1.317644543539294583e-02,2.117895523188622134e-02,4.480510956522562593e-02
7.178512836666506303e-02,-6.627778960091874026e-03,-6.356718979734601871e-02
-9.126515386363128965e-03,2.217600760996501358e-02,-8.320498946583486377e-02
2.721594639605223048e-02,-4.205811216279787407e-02,3.083281053453610851e-02
-8.576625675600632603e-02,8.195770911028082625e-03,-9.640892269013070365e-03
-2.022269443266804662e-02,7.639661520237024661e-02,-5.299141299627449508e-02
1.003532857113143516e-02,6.212333798608218405e-04,4.778098737964668608e-02
-1.606508512484872142e-02,1.034909420364369115e-01,9.007188249846663497e-02
5.260717166491991892e-02,7.850658785903205650e-02,4.961605729717551150e-02
3.926514837562939536e-02,2.737394964410224188e-02,2.493335901096965443e-02
-1.776541450205599421e-02,-6.389666652716047279e-02,-4.938320730686610776e-04
5.893959614368932814e-02,1.487867617651945223e-02,5.688146551355386521e-02
-5.483296678136501123e-02,-1.749003432415108250e-02,4.034841363246284562e-02
-1.019242668919749517e-02,-2.154799783345806227e-02,5.695439901007547101e-02
6.078558237590308069e-03,2.088311330320366532e-02,2.073372267452749940e-02
-4.046931165398173769e-02,7.616818784816790575e-03,-6.263490004950335310e-02
-1.447332158796335935e-02,-3.386637567399853471e-02,-7.302188076926113824e-02
1.505212993847054176e-02,4.535506920246695078e-02,-3.534476634525192396e-02
-7.761953505860567926e-02,2.108466060667026423e-02,-2.651821475481429269e-02
-3.236055932637409843e-03,-9.661765998579921466e-02,-1.700782216722700538e-02
3.760318543558977683e-02,5.126979583607611801e-02,2.209650944805273409e-02
7.142625198577235920e-03,3.401904753249235941e-02,8.083364062988662724e-02
-3.181051524844771133e-02,8.371306336788800206e-03,-4.983791707400803822e-02
7.838195102993654462e-02,-4.230490553635850304e-02,-1.376769578881682256e-02
-1.867648897469960725e-03,4.283209611956832058e-02,-1.019799317155572205e-01
-1.824585638778159630e-02,1.969932109325032640e-02,2.162257649243122873e-02
-3.053404986915094974e-02,2.663877175144928333e-02,-8.683161396993172715e-03
-4.214530812832147262e-03,-2.573220134380507090e-02,-6.290409067788070574e-02
-6.897557087129700497e-03,1.570126359341155950e-02,-2.791253457173068983e-03
-3.166340812055609688e-02,-8.092561373439563499e-02,-1.255917148712306329e-02
-2.396607242879822061e-02,4.033344101059412046e-02,-2.478889389707953153e-02
-2.467736318067010118e-02,6.123389488841331912e-04,3.591688706920316554e-02
4.756566622060945382e-02,-8.734434273470216212e-03,-3.835365772218412347e-03
5.235061121137343787e-02,-5.077793853724712342e-02,4.960936237918406322e-03
4.644792793367507472e-02,1.114079391532251176e-02,8.801048337870109178e-03
-8.024694968554690194e-03,-2.767218086505339805e-02,-2.904898186517313255e-02
2.853270623002093082e-02,4.784275205836396178e-02,6.767455767704835812e-02
7.559908828484232339e-03,1.703585927669101774e-02,-6.499425181659425343e-02
-9.731950784008236432e-02,6.571090905790137604e-02,1.856752335584793061e-04
8.298690917365859898e-02,2.742786740476836974e-02,-7.920797683862665362e-02
-4.911034135464533573e-02,4.948858763407151286e-03,3.046865921509465253e-02
5.615113629391339095e-02,-6.285305758277495713e-02,-4.522089387764387236e-02
