ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
-2.707029109755523037e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707028109755523037e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707027109855522867e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707026110145523213e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707025110706523061e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707024111611423083e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707023112925833091e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707022114708802197e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707021117013473995e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707020119887678884e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707019123374463525e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707018127512569539e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707017132336864714e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707016137878730427e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707015144166409969e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707014151225320995e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707013159078341443e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707012167746059597e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707011177247005980e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707010187597857788e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707009198813624214e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707008210907814093e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707007223892584909e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707006237778878771e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707005252576543018e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707004268294441048e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707003284940549172e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707002302522046492e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707001321045394521e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707000340516407043e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706999360940319020e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706998382321839221e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706997404665207490e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706996427974238992e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706995452252367511e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706994477502683178e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706993503727966920e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706992530930722598e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706991559113202617e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706990588277434930e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706989618425243534e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706988649558271747e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706987681677996647e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706986714785749093e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706985748882726766e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706984783970006276e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706983820048558060e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706982857119254302e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706981895182881504e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706980934240145609e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706979974291683175e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706979015338067431e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706978057379812934e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706977100417383946e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706976144451197702e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706975189481630456e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706974235509019345e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706973282533669844e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706972330555855297e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706971379575822037e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706970429593792185e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706969480609965045e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706968532624520827e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706967585637621116e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706966639649411198e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706965694660022389e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706964750669572502e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706963807678167708e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706962865685903002e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706961924692864995e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706960984699130990e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706960045704770368e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706959107709845528e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706958170714413282e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706957234718524385e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706956299722224008e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706955365725554060e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706954432728550863e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706953500731247943e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706952569733675569e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706951639735860284e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706950710737826768e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706949782739596441e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706948855741188861e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706947929742622189e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706947004743912257e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706946080745073501e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706945157746118493e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706944235747058876e+06,4.688711955664515495e+06,3.360431434122325853e+06
