pseudorange_1,pseudorange_2,pseudorange_3,pseudorange_4,pseudorange_5,pseudorange_6,pseudorange_7,pseudorange_8
20200003.245399266,22321344.664953742,23199999.381061733,22321328.163966917,20200011.922995254,18078685.09974466,17200011.976497836,18078695.80707501
20200024.96111004,22321328.31371634,23200018.019091442,22321325.994373545,20200018.237222835,18078693.381456245,17200017.688129846,18078681.414940417
20199995.46913114,22321330.298931986,23200015.301793113,22321320.607961696,20200008.57901584,18078675.843462702,17200013.485930603,18078671.05504822
20200020.60038304,22321327.17744585,23200001.20044708,22321319.90499673,20200027.13669743,18078684.940251473,17200006.485186577,18078694.47218491
20200023.953101672,22321353.649993632,23200016.97150488,22321350.864075895,20199998.524717715,18078692.801505204,17200017.935136598,18078682.55665767
20200020.645026125,22321311.464912917,23200019.316989746,22321306.130063657,20200011.632358827,18078679.31513862,17200000.242969282,18078667.093389705
20200007.092210095,22321318.92084856,23200005.97604732,22321316.514645793,20200024.674146384,18078672.33735276,17200004.40855473,18078677.92476519
20199998.74295447,22321321.43406067,23200025.05831004,22321335.57238707,20200012.016141023,18078697.60451412,17200026.346236438,18078681.34960432
20199997.770027857,22321304.71572709,23200003.284311555,22321333.05284541,20200004.385885295,18078709.53224938,17200024.973147485,18078689.428552125
20200006.125287116,22321324.470683612,23200022.74536144,22321332.430238057,20200005.00371567,18078699.719976634,17200007.476111453,18078690.706540387
20200013.004997324,22321329.310712185,23200020.5540226,22321331.97026202,20200006.079146776,18078702.56132119,17200009.197448432,18078679.08498033
20200008.969779223,22321327.120742343,23200008.48856605,22321334.461923648,20200012.86934746,18078683.462880574,17200029.34965709,18078688.59708709
20200003.778109934,22321332.47626315,23200015.276246056,22321334.037492063,20200009.34596067,18078713.34721907,17199999.256679952,18078693.08668565
20200019.237911347,22321329.151038155,23199994.009919446,22321329.505003933,20200021.866115548,18078677.035349283,17200004.232109696,18078692.176165324
20199999.85659714,22321336.505118463,23200002.504815735,22321331.695457224,20200004.75745112,18078677.42375798,17200010.306502063,18078705.95100897
20200017.17426542,22321312.76312984,23200000.824533105,22321322.792360082,20200013.033999544,18078675.732527267,17200011.365312725,18078670.145770207
20200007.112645958,22321316.85565415,23200017.171956018,22321338.03904958,20199996.19496446,18078689.43695828,17200001.50973462,18078690.23097064
20200019.344442245,22321300.89122693,23200012.016772848,22321331.892004184,20200014.545921825,18078685.899514277,17200019.40543549,18078681.231678206
20200021.523310315,22321345.924591437,23200002.051811043,22321328.580435798,20200015.714664742,18078676.92023445,17200005.041232407,18078662.06480377
20200007.59450356,22321315.6025125,23200020.91895183,22321331.214878634,20200014.656395227,18078687.367594454,17200008.98962432,18078690.641954742
20200005.682438184,22321353.243394528,23199992.754470143,22321340.201073688,20200002.108045463,18078677.80350579,17200007.885030005,18078698.6274211
20200005.83465111,22321328.215145994,23199984.095712926,22321327.89593551,20200009.966760114,18078695.465967555,17200001.812534157,18078691.803402197
20199994.237343412,22321326.487722896,23200001.402651083,22321325.772133533,20200002.123969432,18078675.987183917,17200008.96111581,18078704.954160064
20200010.24830468,22321316.39811115,23200002.605731398,22321316.424571842,20200016.54945485,18078690.13461688,17200007.159864392,18078697.368528362
20200002.077479284,22321336.450611338,23200005.41391509,22321312.33209095,20200003.36074547,18078677.535394423,17199996.556188956,18078682.97328467
20200008.297677144,22321340.737522587,23199998.686022144,22321312.60890648,20199998.84585901,18078681.226646617,17199989.132642165,18078692.976246294
20200005.23647325,22321330.48255577,23199987.306777325,22321330.65980142,20200024.45789359,18078672.502557848,17200026.69429837,18078678.909271322
20200012.075725053,22321326.903689817,23200002.651069496,22321319.85519352,20200004.97729129,18078698.823160976,17200010.17849835,18078698.008813623
20199994.226566464,22321331.614731908,23200015.706895683,22321297.894036878,20200020.673332863,18078706.386712797,17199998.345423624,18078666.248582155
20200004.41496743,22321320.431482747,23200017.844621517,22321341.42773853,20200009.386698637,18078667.281924907,17199999.05010324,18078670.421208292
20200013.81593353,22321316.559912436,23200000.929676443,22321325.516302243,20200002.137880415,18078677.81371792,17199995.724615376,18078670.329866674
20200000.87888682,22321307.027533557,23199999.967047177,22321317.819966584,20199980.662433907,18078672.27470759,17200002.777001444,18078681.26188037
20200026.031124726,22321342.15041944,23200015.634411465,22321324.89094723,20200013.98303742,18078686.290126055,17200018.541690554,18078694.838096935
20200022.927578356,22321311.571353458,23200013.506102722,22321342.413807787,20200001.507408064,18078689.528263316,17200019.992406875,18078691.230834298
20199993.05667448,22321323.74973346,23200018.265371684,22321333.501059804,20200006.158383403,18078702.168632384,17200009.427738257,18078698.15695876
20200012.473982748,22321312.455967862,23200006.48856693,22321336.91463989,20200006.9133819,18078672.13620208,17200018.909678746,18078698.264397357
20200000.432608496,22321325.187379304,23200009.46269541,22321338.201935604,20200000.158145882,18078673.032586075,17200009.49419652,18078687.274319183
20200003.062257763,22321329.853754383,23200000.75922575,22321344.018707957,20199997.01774861,18078699.697781302,17200017.17864105,18078678.63633371
20200018.473850228,22321330.938226935,23199990.91158165,22321343.010967873,20200023.48304385,18078694.167235322,17200002.532652207,18078682.101411667
