ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
-2.707029109755523037e+06,4.688711955664515495e+06,3.360431434122325853e+06,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.707019123374463525e+06,4.688711955664515495e+06,3.360431434122325853e+06,9.958618940390998375e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.707009198813624214e+06,4.688711955664515495e+06,3.360431434122325853e+06,9.879058101086845056e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706999360940319020e+06,4.688711955664515495e+06,3.360431434122325853e+06,9.786184795755225707e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706989618425243534e+06,4.688711955664515495e+06,3.360431434122325853e+06,9.688669720535267516e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706979974291683175e+06,4.688711955664515495e+06,3.360431434122325853e+06,9.589536160231338613e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706970429593792185e+06,4.688711955664515495e+06,3.360431434122325853e+06,9.489838269073005961e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706960984699130990e+06,4.688711955664515495e+06,3.360431434122325853e+06,9.389943607912660184e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706951639735860284e+06,4.688711955664515495e+06,3.360431434122325853e+06,9.289980337294950630e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706942394748667255e+06,4.688711955664515495e+06,3.360431434122325853e+06,9.189993144038673734e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706933249753132463e+06,4.688711955664515495e+06,3.360431434122325853e+06,9.089997609474096407e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706924204754689708e+06,4.688711955664515495e+06,3.360431434122325853e+06,8.989999166475155334e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706915259755232371e+06,4.688711955664515495e+06,3.360431434122325853e+06,8.889999709367855019e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706906414755421691e+06,4.688711955664515495e+06,3.360431434122325853e+06,8.789999898662834710e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706897669755487703e+06,4.688711955664515495e+06,3.360431434122325853e+06,8.689999964665912557e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706889024755510502e+06,4.688711955664515495e+06,3.360431434122325853e+06,8.589999987679765070e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706880479755518958e+06,4.688711955664515495e+06,3.360431434122325853e+06,8.489999995704198454e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706872034755521454e+06,4.688711955664515495e+06,3.360431434122325853e+06,8.389999998502148060e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706863689755522646e+06,4.688711955664515495e+06,3.360431434122325853e+06,8.289999999477731762e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706855444755523000e+06,4.688711955664515495e+06,3.360431434122325853e+06,8.189999999817896992e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706847299755522981e+06,4.688711955664515495e+06,3.360431434122325853e+06,8.089999999936505048e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706839254755523056e+06,4.688711955664515495e+06,3.360431434122325853e+06,7.989999999977862899e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706831309755523223e+06,4.688711955664515495e+06,3.360431434122325853e+06,7.889999999992285495e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706823464755523019e+06,4.688711955664515495e+06,3.360431434122325853e+06,7.789999999997311875e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706815719755522907e+06,4.688711955664515495e+06,3.360431434122325853e+06,7.689999999999064073e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706808074755522888e+06,4.688711955664515495e+06,3.360431434122325853e+06,7.589999999999676561e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706800529755522963e+06,4.688711955664515495e+06,3.360431434122325853e+06,7.489999999999891145e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706793084755523130e+06,4.688711955664515495e+06,3.360431434122325853e+06,7.389999999999965041e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706785739755522925e+06,4.688711955664515495e+06,3.360431434122325853e+06,7.289999999999990621e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706778494755522814e+06,4.688711955664515495e+06,3.360431434122325853e+06,7.189999999999997726e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706771349755523261e+06,4.688711955664515495e+06,3.360431434122325853e+06,7.090000000000003411e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706764304755522870e+06,4.688711955664515495e+06,3.360431434122325853e+06,6.990000000000009095e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706757359755523037e+06,4.688711955664515495e+06,3.360431434122325853e+06,6.890000000000014779e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706750514755522832e+06,4.688711955664515495e+06,3.360431434122325853e+06,6.790000000000020464e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706743769755523186e+06,4.688711955664515495e+06,3.360431434122325853e+06,6.690000000000026148e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706737124755523168e+06,4.688711955664515495e+06,3.360431434122325853e+06,6.590000000000031832e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706730579755523242e+06,4.688711955664515495e+06,3.360431434122325853e+06,6.490000000000037517e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706724134755522944e+06,4.688711955664515495e+06,3.360431434122325853e+06,6.390000000000042490e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706717789755523205e+06,4.688711955664515495e+06,3.360431434122325853e+06,6.290000000000041069e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706711544755523093e+06,4.688711955664515495e+06,3.360431434122325853e+06,6.190000000000039648e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706705399755523074e+06,4.688711955664515495e+06,3.360431434122325853e+06,6.090000000000038227e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706699354755523149e+06,4.688711955664515495e+06,3.360431434122325853e+06,5.990000000000036806e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706693409755522851e+06,4.688711955664515495e+06,3.360431434122325853e+06,5.890000000000035385e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706687564755523112e+06,4.688711955664515495e+06,3.360431434122325853e+06,5.790000000000033964e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706681819755523000e+06,4.688711955664515495e+06,3.360431434122325853e+06,5.690000000000032543e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706676174755522981e+06,4.688711955664515495e+06,3.360431434122325853e+06,5.590000000000031122e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706670629755523056e+06,4.688711955664515495e+06,3.360431434122325853e+06,5.490000000000029701e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706665184755523223e+06,4.688711955664515495e+06,3.360431434122325853e+06,5.390000000000028280e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706659839755523019e+06,4.688711955664515495e+06,3.360431434122325853e+06,5.290000000000026859e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706654594755522907e+06,4.688711955664515495e+06,3.360431434122325853e+06,5.190000000000025437e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706649449755522888e+06,4.688711955664515495e+06,3.360431434122325853e+06,5.090000000000024016e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706644404755522963e+06,4.688711955664515495e+06,3.360431434122325853e+06,4.990000000000022595e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706639459755523130e+06,4.688711955664515495e+06,3.360431434122325853e+06,4.890000000000021174e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706634614755522925e+06,4.688711955664515495e+06,3.360431434122325853e+06,4.790000000000019753e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706629869755522814e+06,4.688711955664515495e+06,3.360431434122325853e+06,4.690000000000018332e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706625224755523261e+06,4.688711955664515495e+06,3.360431434122325853e+06,4.590000000000016911e+01,0.000000000000000000e+00,0.000000000000000000e+00
