ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.998999999999999488e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.997099999999998943e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.994389999999998508e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.990950999999998317e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.986855899999997632e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.982170309999997926e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.976953278999998531e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.971257951099998706e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.965132155989998353e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.958618940390998375e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.951757046351897884e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.944581341716707357e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.937123207545036507e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.929410886790532231e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.921469798111478156e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.913322818300329686e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.904990536470296547e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.896491482823266495e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.887842334540938793e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.879058101086845056e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.870152290978160181e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.861137061880343424e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.852023355692308826e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.842821020123076892e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.833538918110768634e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.824185026299691970e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.814766523669722176e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.805289871302748850e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.795760884172473482e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.786184795755225707e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.776566316179702198e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.766909684561731808e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.757218716105558087e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.747496844495002222e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.737747160045501005e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.727972444040950961e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.718175199636856121e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.708357679673170537e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.698521911705853427e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.688669720535267516e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.678802748481740537e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.668922473633566028e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.659030226270209596e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.649127203643188011e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.639214483278868784e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.629293034950981678e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.619363731455882771e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.609427358310294665e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.599484622479265283e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.589536160231338613e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.579582544208204808e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.569624289787384441e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.559661860808645883e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.549695674727780670e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.539726107255002319e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.529753496529501433e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.519778146876551261e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.509800332188895311e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.499820298970006149e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.489838269073005961e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.479854442165705564e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.469868997949134837e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.459882098154221808e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.449893888338799286e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.439904499504919499e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.429914049554427891e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.419922644598985073e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.409930380139086026e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.399937342125177508e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.389943607912660184e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.379949247121393796e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.369954322409253678e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.359958890168327628e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.349963001151495234e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.339966701036345853e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.329970030932710756e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.319973027839439794e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.309975725055495843e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.299978152549945776e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.289980337294950630e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.279982303565455481e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.269984073208910047e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.259985665888018502e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.249987099299217164e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.239988389369295874e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.229989550432365775e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.219990595389128885e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.209991535850215882e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.199992382265193669e+01,0.000000000000000000e+00,0.000000000000000000e+00
