gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.754383819002865814e+06,4.694355967090394348e+06,3.314053463193201460e+06,-1.103469394365045875e-01,-9.192294006744861773e-03,-2.041977168826295264e-01
-2.754382630019762553e+06,4.694362615233577788e+06,3.314055648475918453e+06,-3.474726354506967735e-02,-6.949675731853489913e-02,2.110880558181786604e-02
-2.754383511302533560e+06,4.694362282469572499e+06,3.314060620110924821e+06,6.791451208746634993e-02,1.033715156188501627e-01,-2.294809019255701979e-02
-2.754386046957715880e+06,4.694360267554958351e+06,3.314065071943258867e+06,1.951148268827257448e-02,-7.299786153853661530e-02,1.469063290224896789e-01
-2.754381586111117154e+06,4.694354531257367693e+06,3.314064822644539643e+06,2.259335873543216397e-02,-3.920756709035268239e-02,7.625322213417484729e-02
-2.754382937626940198e+06,4.694355958526968956e+06,3.314056581435350701e+06,-3.766551470447156158e-02,4.430214853783134843e-02,4.594172080170483285e-02
-2.754376281567574479e+06,4.694353356251794845e+06,3.314061399246848654e+06,1.689524352177307898e-01,4.654142640474866893e-02,-7.316603728961926234e-02
-2.754381186419524252e+06,4.694351951896171086e+06,3.314058147519590799e+06,-3.490435064845939100e-02,6.132764265585304714e-02,-1.381063856372696796e-01
-2.754380398011803161e+06,4.694362546982467175e+06,3.314063783839299809e+06,-1.616308115785212995e-02,-2.944019348577100667e-02,-2.838396471525562181e-01
-2.754385858833322302e+06,4.694354302800667472e+06,3.314058271301162895e+06,3.174869480003909318e-03,-5.182546792169693411e-02,-2.371923022012973892e-01
-2.754385648409495596e+06,4.694357358233762905e+06,3.314057124093438964e+06,-1.302355880195546767e-01,-1.218366042445355735e-01,1.053474205396060098e-01
-2.754386683526835870e+06,4.694355517068786547e+06,3.314054663885227405e+06,-1.868679620256848972e-01,2.338021819023882245e-02,4.959832784186983534e-02
-2.754381610334233381e+06,4.694355191266150214e+06,3.314057249596521258e+06,-7.506506907428224518e-02,5.073175315477362890e-02,1.290623638811778939e-01
-2.754385252335458994e+06,4.694359108134022914e+06,3.314059487150558271e+06,-3.294105664864268451e-02,1.028192448310558671e-01,3.193816603361636364e-02
-2.754383522743951995e+06,4.694354700616728514e+06,3.314063107742838096e+06,-9.109996332554459730e-02,3.404804620250703046e-02,2.236587093860766817e-01
