carrier_phase_1,carrier_phase_2,carrier_phase_3,carrier_phase_4,carrier_phase_5,carrier_phase_6,carrier_phase_7,carrier_phase_8
107594294.43428987,123191794.37094013,126432578.56032038,124476797.61697926,111151613.40305586,104694622.04409206,94978025.51544645,102732432.9807234
107594360.26620007,123191646.49442151,126432542.34359285,124476773.44470713,111151516.67946239,104694778.28409758,94978093.97067337,102732544.32622373
107594329.99702586,123191653.34908499,126432479.99941367,124476782.4510174,111151500.68761566,104694789.17382386,94978186.16243953,102732390.86921598
107594336.40670508,123191680.3214808,126432497.55562982,124476832.32572424,111151435.24647607,104694788.9704471,94978232.24983266,102732553.05007574
107594339.27356003,123191665.57507013,126432588.85225378,124476855.73222956,111151366.99334137,104694748.06563865,94978172.74110599,102732589.77884686
107594321.71664205,123191682.95259534,126432579.93543698,124476848.66799872,111151489.23403764,104694726.63643247,94978192.77427042,102732418.0979608
107594291.00560421,123191549.00529256,126432560.09177873,124476864.65976477,111151553.18918195,104694760.21967945,94978079.30716594,102732404.1571576
107594338.53001595,123191786.4980187,126432610.61866663,124476953.52401052,111151513.25447844,104694825.18359168,94978128.46614407,102732357.70224826
107594347.09901534,123191645.57363306,126432663.51491213,124476854.55962303,111151661.72123496,104694707.84093966,94978057.29968725,102732433.41876209
107594374.80404933,123191696.69748603,126432430.7797549,124476794.79880604,111151576.59346057,104694792.61156759,94978136.68443786,102732495.33654833
107594378.87962015,123191675.24356045,126432554.17598449,124476761.05487369,111151452.74579805,104694777.3900594,94978173.82384405,102732457.74102657
107594371.09659018,123191690.60942812,126432491.97810145,124476809.57067233,111151472.81102222,104694709.52062945,94978140.80850045,102732492.59026957
107594305.48425853,123191740.46300887,126432537.45100962,124476846.07836527,111151488.5256392,104694759.21747036,94978164.34144291,102732488.77179913
107594271.4115625,123191609.75072947,126432550.83565484,124476756.359771,111151558.10711603,104694884.24458835,94978110.86609255,102732550.57253361
107594302.64049608,123191654.02872309,126432643.71704772,124476864.09976573,111151456.28569482,104694804.41812402,94978238.27394412,102732519.40222628
107594330.3373121,123191671.11418487,126432516.78338557,124476792.36862133,111151523.17744303,104694693.40784808,94978139.74908946,102732509.80440573
107594378.7538645,123191609.62234193,126432556.90474062,124476865.26442188,111151517.62073494,104694767.18259254,94978132.00025944,102732478.29708959
107594315.09901525,123191674.96508607,126432528.11022402,124476805.0514297,111151519.93828501,104694833.79593344,94978144.40137504,102732427.91838485
107594469.6088198,123191576.55179882,126432549.39297499,124476780.91345736,111151522.9668422,104694795.6240942,94978216.4844393,102732450.36635488
107594293.5732818,123191671.92024374,126432518.21907538,124476821.85356973,111151447.17153767,104694751.09903087,94978194.25991052,102732476.99531937
107594298.42786598,123191665.72863792,126432537.39989248,124476720.78498577,111151496.87897429,104694735.16178265,94978123.30270983,102732437.2321033
107594399.25056985,123191619.53721309,126432529.38772254,124476883.88599248,111151523.25562909,104694780.48744532,94978202.88142388,102732422.89347531
107594374.41963647,123191688.42404,126432527.31273815,124476735.81954046,111151510.65049213,104694787.89727171,94978085.02763747,102732451.38710566
107594329.65409072,123191752.30807102,126432467.07893603,124476798.9807907,111151528.16981971,104694773.16659692,94978141.26187442,102732378.9147189
107594406.15118593,123191695.11341459,126432646.87402156,124476706.72070228,111151558.71779346,104694745.70186743,94978117.286673,102732425.73195529
107594323.53395534,123191651.03864813,126432529.08614063,124476806.16711143,111151526.244451,104694798.2739451,94978161.91416518,102732523.73575188
107594414.10739435,123191623.31633301,126432427.94718264,124476832.28530784,111151497.48964444,104694696.23618239,94978248.803578,102732472.39430167
107594241.84351078,123191655.15701611,126432583.93032177,124476790.64232504,111151479.93054286,104694737.87284723,94978172.07110281,102732463.37791722
107594318.51779419,123191658.95749654,126432512.6980792,124476748.65410975,111151471.25005777,104694724.41542268,94978150.63337938,102732352.96033515
107594343.88697442,123191577.92718154,126432575.6413383,124476807.07787088,111151415.26644182,104694768.68536966,94978004.67900465,102732422.17439276
107594322.95626235,123191717.36610855,126432616.40858918,124476822.08680886,111151549.92120731,104694766.24978381,94978067.06909765,102732531.31888618
107594334.97723007,123191608.46871315,126432517.71269126,124476770.68700272,111151538.06850152,104694702.14263657,94978134.7078614,102732455.15656362
107594327.91829078,123191690.05146727,126432550.09899597,124476899.04454216,111151475.44740276,104694823.06672189,94978205.52966674,102732508.77210371
107594305.96357156,123191787.85359842,126432617.52934138,124476785.30559587,111151518.06166753,104694750.63934827,94978144.73705293,102732558.74627106
107594363.42239252,123191691.38686833,126432537.0199854,124476742.24452758,111151431.17483445,104694769.3226867,94978126.32207371,102732451.27289191
107594358.32294774,123191605.1326068,126432508.45152144,124476855.98797005,111151503.35504875,104694748.44489104,94978068.3882634,102732509.86447413
107594318.48983161,123191751.98853005,126432559.12866858,124476705.72395094,111151515.47613354,104694750.50427766,94978123.71737073,102732384.92625079
107594329.97879222,123191625.044506,126432530.71101375,124476747.57369678,111151411.27095929,104694793.3803602,94978138.93292801,102732459.90844543
107594353.79883815,123191569.34287366,126432599.04570203,124476801.86415641,111151435.94737063,104694668.29684621,94978185.52413605,102732500.45638481
107594351.8428407,123191558.60069412,126432507.71076964,124476872.9409971,111151508.28705618,104694786.78793646,94978111.88395427,102732547.48631613
107594360.20520917,123191665.70115897,126432516.6041667,124476743.22970578,111151622.49218266,104694785.11459701,94978192.42617013,102732397.50667673
107594318.57324018,123191662.33814272,126432605.09286423,124476831.25308424,111151583.65993911,104694755.39929852,94978119.43936877,102732484.67977445
107594297.45497136,123191668.71884452,126432583.96681948,124476830.62987351,111151510.66686076,104694718.57968916,94978142.46604107,102732434.46836016
107594284.06204626,123191678.60851255,126432585.70761389,124476815.54278533,111151462.68937787,104694772.78290352,94978110.44967787,102732485.51546545
107594332.25313665,123191641.01196207,126432511.43416052,124476850.99446142,111151608.86510473,104694775.57346237,94978043.10672522,102732539.35280682
107594307.20405845,123191661.96220855,126432508.27144894,124476882.49327359,111151451.00792809,104694736.69115317,94978159.23978809,102732546.69356473
107594240.67279677,123191668.41504753,126432455.17897741,124476804.01894017,111151453.2757397,104694807.43867728,94978095.4430957,102732512.94375026
107594274.41284622,123191694.31961225,126432523.440242,124476872.78246713,111151484.73826402,104694711.78458953,94978149.57313617,102732498.59274726
107594250.58165637,123191584.43840134,126432511.17560893,124476857.90066601,111151486.83799799,104694772.89927901,94978121.70426728,102732407.75933069
107594357.24661036,123191755.76421723,126432544.00057079,124476906.73274167,111151451.68405457,104694767.25209627,94978170.06506926,102732452.16737984
107594353.48101942,123191596.84522307,126432577.21672396,124476800.65121287,111151531.70593835,104694677.83512978,94978083.3080533,102732475.73041226
107594358.78046176,123191727.34191565,126432566.66258311,124476875.64431657,111151492.80584405,104694763.62795481,94978195.18552926,102732440.38072416
107594273.71626703,123191665.55239013,126432534.50974448,124476791.77858007,111151506.77995221,104694796.27742398,94978237.7843604,102732464.4843081
107594271.23601104,123191701.04011345,126432554.97565,124476806.99562922,111151509.22085701,104694712.2290556,94978175.35431051,102732393.00662409
107594321.02266015,123191741.95831881,126432515.2267837,124476807.90593994,111151503.92683223,104694715.41642925,94978095.04081452,102732488.64922912
107594424.55626772,123191679.49378064,126432553.57643488,124476826.98237398,111151481.01080322,104694699.349952,94978116.89538616,102732611.00517042
107594385.44315135,123191709.16328035,126432556.69765577,124476815.52359912,111151448.21526994,104694727.53084503,94978122.28190078,102732475.83130768
107594188.94621049,123191700.13671203,126432469.74160844,124476853.18471488,111151495.73997419,104694796.99520607,94978102.23905537,102732486.90550797
107594347.06156495,123191602.35618149,126432531.72524227,124476805.77990414,111151556.98795415,104694787.14646885,94978119.23798078,102732515.95714629
107594305.4182879,123191663.66305214,126432584.6788284,124476860.50738434,111151517.12993534,104694699.36625026,94978102.8203754,102732396.84796004
107594225.65972579,123191611.28254476,126432549.74069841,124476769.59934232,111151492.94845873,104694708.42133847,94978104.83205579,102732438.26976953
107594381.36744261,123191665.03978923,126432557.58276,124476841.51138799,111151410.04902773,104694827.69029178,94978097.2392978,102732470.66552565
107594317.50275253,123191749.74637072,126432574.92482327,124476803.92428021,111151586.88837127,104694799.59185137,94978158.35205537,102732548.37410715
107594323.41250448,123191642.4474549,126432661.88919362,124476872.34139033,111151531.932278,104694734.6437853,94978053.46706799,102732397.24171183
107594331.9417161,123191665.73596829,126432502.99843709,124476792.58034508,111151497.84447607,104694854.04911205,94978076.35555407,102732519.37550479
107594399.37619305,123191660.07789008,126432584.212264,124476851.83567639,111151528.83447926,104694883.29189563,94978052.31286497,102732449.22184062
107594407.43061964,123191670.29139696,126432585.28713962,124476802.38012625,111151504.13424943,104694837.60559273,94978120.15339674,102732538.91302891
107594259.68117282,123191655.14438307,126432676.10212983,124476840.77651174,111151426.42637098,104694702.33525316,94978155.02955946,102732473.977896
107594324.80987538,123191666.02161358,126432556.14880803,124476801.68327013,111151526.45259292,104694793.90874457,94978137.81825472,102732478.7359266
107594457.78075324,123191660.89509922,126432603.52398789,124476795.46605557,111151407.22459441,104694800.66852912,94978172.81617671,102732483.87674509
107594354.09933175,123191573.85208149,126432542.87325512,124476800.30968083,111151405.46299772,104694784.4926048,94978093.50060713,102732377.73218888
107594293.9136882,123191630.77602574,126432593.01478662,124476838.44572718,111151530.82150257,104694754.84183025,94978048.0491612,102732406.39604218
107594379.48690836,123191612.59728996,126432546.41141362,124476744.14883754,111151513.64240964,104694803.00351764,94978061.1961657,102732523.12536295
107594288.04747185,123191759.24134308,126432474.8074485,124476794.41485326,111151461.13597323,104694858.8117567,94978103.20516488,102732484.23204623
107594312.00758442,123191681.91915317,126432552.6990057,124476813.19696735,111151517.15313108,104694798.33966826,94978275.86597031,102732426.39955655
107594331.22587802,123191580.63430323,126432523.79469359,124476786.36889361,111151563.79083987,104694812.79954411,94978167.05096439,102732511.75382367
107594287.16649467,123191537.37019272,126432548.73716852,124476767.8399327,111151468.98466079,104694796.7723015,94978166.96502532,102732453.49956362
107594306.06220217,123191644.22417772,126432592.49653925,124476751.0414937,111151531.909972,104694736.10914296,94978065.80462883,102732460.96974224
107594374.70803957,123191727.4085334,126432458.1345698,124476732.97759886,111151479.82898316,104694801.01243034,94978105.94293343,102732468.09431052
107594280.88694347,123191644.38703327,126432518.53962806,124476791.44648504,111151438.56373572,104694826.90150888,94978146.15509962,102732449.97598054
107594341.16521075,123191635.56269151,126432570.37947881,124476752.75359075,111151487.95873298,104694682.63323125,94978216.32175525,102732370.05014119
