pseudorange_1,pseudorange_2,pseudorange_3,pseudorange_4,pseudorange_5,pseudorange_6,pseudorange_7,pseudorange_8
20200002.566577546,22321320.358006354,23200013.709307995,22321328.076441623,20200016.68860478,18078689.053807717,17200010.02273616,18078691.564062044
20199994.873141523,22321313.942334387,23200002.65784565,22321329.607996307,20199999.58059322,18078686.371749125,17200002.11530655,18078697.334116586
20200007.270635802,22321302.84961772,23199985.3975561,22321317.8946647,20200003.176633906,18078678.070695043,17200004.429363113,18078673.0803724
20199998.548343394,22321308.03827728,23199998.472892936,22321319.944930397,20199998.54419557,18078691.59922397,17200006.154653575,18078680.88824363
20200012.880447153,22321325.972043596,23200016.32182523,22321348.194578454,20200013.104121696,18078686.834777042,17199999.2162695,18078702.288185515
20200019.257200394,22321323.85007518,23200012.73984104,22321350.203893054,20200012.094244827,18078694.324533638,17199995.227083027,18078682.55257273
20200002.4829686,22321317.93171084,23200005.90443747,22321310.37325236,20200021.235776637,18078710.641998373,17199980.4067472,18078681.356430948
20200032.775419816,22321321.107689105,23200003.571142726,22321322.212956827,20200011.344400447,18078685.294191327,17200017.23417147,18078695.858545892
20200014.51484542,22321334.481719855,23200018.6934069,22321317.10485812,20200005.327764306,18078686.675456308,17200000.29609961,18078700.46232138
20200003.71830537,22321315.654844474,23199990.52858351,22321317.475799203,20199991.939637296,18078699.560991883,17200034.07196996,18078684.15647925
20200005.23516601,22321334.60814557,23199985.03417814,22321322.769872535,20200019.03978377,18078684.26642798,17200000.973928273,18078690.868638445
20200009.049515683,22321334.19540724,23200003.78674684,22321313.93131447,20200019.301499736,18078669.28063975,17199977.77576732,18078681.52888975
20200015.14104452,22321329.13505514,23199974.208641466,22321328.587475143,20200010.33073323,18078683.760570206,17200005.921898212,18078705.3934954
20200014.142573863,22321332.06942297,23199996.38379357,22321324.798688497,20200002.527487956,18078691.678613234,17200005.011529118,18078687.855890058
20200004.304113094,22321327.435508054,23199993.700729173,22321330.96150633,20200006.624349106,18078696.10686086,17200010.08908253,18078691.217889473
20200022.236876637,22321324.73182401,23199997.44016233,22321322.93315742,20200027.036078386,18078673.650509372,17200012.929992024,18078680.26553647
20200010.867023785,22321320.76528222,23200007.797631253,22321325.309691083,20199998.695828337,18078678.731230587,17200005.025304526,18078688.672467273
20199997.23347934,22321320.685995556,23200023.24296826,22321333.701742604,20200002.579972513,18078686.75880343,17200000.162456654,18078691.67622312
20199990.848385554,22321329.321748693,23200018.78207559,22321315.989040643,20200006.423481915,18078710.369248338,17200017.806738723,18078682.577340133
20199999.18386806,22321325.87741943,23199997.277216926,22321327.218753997,20200013.575746097,18078693.893295474,17199999.044340625,18078660.7459326
20200014.97741378,22321332.355606113,23200021.402543664,22321325.20317702,20199994.506498143,18078679.783916302,17199992.97128923,18078678.425601427
20200017.01935697,22321320.587655798,23199998.178113244,22321336.89108337,20199993.54708651,18078700.45451786,17199997.611156393,18078680.32941479
20200015.87266863,22321332.009674292,23200005.82715732,22321324.614564847,20200011.012322124,18078703.71871498,17200000.510448962,18078693.64518565
20200032.193438265,22321323.64527182,23200011.237960245,22321326.153290488,20199999.776698843,18078699.72239055,17200000.964959886,18078682.533917483
20199999.87931195,22321325.181349147,23200030.957735576,22321319.76356852,20200000.51707886,18078662.939220775,17200009.92997347,18078696.059087846
20199999.826384652,22321322.122549463,23199995.626101065,22321320.44855844,20200007.82078063,18078700.20979861,17200003.153631285,18078700.218200944
20200009.32214125,22321326.94445234,23200021.412196398,22321318.394561242,20200008.42685299,18078684.145082362,17200002.627485733,18078690.583736654
20200003.472025752,22321343.378151692,23200004.83918385,22321321.577431258,20200014.17235736,18078684.2486466,17200008.628454186,18078710.29996041
20200001.914452355,22321301.19820286,23199996.80197401,22321330.040994927,20200028.436930884,18078667.65831592,17199998.89662306,18078704.117216364
20200002.292344246,22321328.215972792,23200007.104100462,22321328.667423584,20200013.771521535,18078682.772863995,17200018.891424615,18078691.616478283
20199993.31515991,22321334.037148394,23199986.685105864,22321320.727148876,20200018.358865052,18078683.55050574,17199994.295264997,18078686.707221393
