accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-1.466345409755814106e-03,9.313892924800851181e-03,-9.798691966766833517e+00
-7.921706198791443956e-03,1.266261978628574090e-03,-9.810291121656320001e+00
4.954154684528095341e-03,3.762388428330259906e-03,-9.807264411229722256e+00
-2.445588407803080859e-04,1.110928499664628425e-03,-9.801852444089824701e+00
-9.774910005694123494e-03,-1.385880808897264308e-04,-9.792304117218131765e+00
-1.984544974712976109e-03,1.557009069128909018e-02,-9.813299936814043889e+00
-3.686676113097764069e-03,-3.778218474178199164e-03,-9.800145750105334841e+00
-1.764974021542847684e-04,-2.749208733223785454e-03,-9.790665738872862178e+00
1.500957159159632768e-03,3.429314671399872911e-03,-9.807068183394735073e+00
8.847522802508287713e-04,-3.550136258289973788e-03,-9.797781211017090541e+00
1.392948479743554534e-02,-2.117613253068685326e-03,-9.795728697229710846e+00
-1.019373680191645609e-05,-4.812243109020490454e-03,-9.786654448983886923e+00
7.266588981306739033e-03,6.438904739736191207e-03,-9.787067387931955409e+00
3.978664817487265193e-03,-3.668230831622418687e-03,-9.798060168031806683e+00
-4.691799786818337883e-03,-2.049214237673405419e-03,-9.801684285738852864e+00
3.471445591956283556e-03,-3.336199987990492565e-03,-9.790319209115638799e+00
7.898258188906499833e-03,-2.278089097724519951e-03,-9.801660222791193533e+00
-4.443109764647765018e-03,-5.145088136755750739e-03,-9.806420419839870561e+00
-8.647659436590611134e-03,1.333375885118370287e-04,-9.815153462575041843e+00
4.246741788875301078e-03,-5.063909856022548971e-03,-9.815301792769885125e+00
1.742929186815803545e-03,4.937349773903915509e-03,-9.801820320838492862e+00
9.718150207913902076e-04,2.221810118087192172e-05,-9.793013757492518678e+00
4.988675802353857540e-03,3.550238711994945905e-03,-9.795022270635030281e+00
7.706482601835179524e-03,3.825100287109837755e-03,-9.787851728328146095e+00
3.021507878941733730e-03,-5.171719905961773452e-03,-9.793197216543752859e+00
-2.563949166809699129e-03,9.794556521237642293e-04,-9.798056364321967138e+00
2.273763561928284979e-03,6.245780132055876906e-03,-9.806593861538154044e+00
-9.237702848936343728e-04,-3.247702568139810252e-03,-9.794009088907934313e+00
-6.133096898392299129e-03,-4.904524637517356997e-03,-9.802570433493631441e+00
-6.680834502429177334e-03,3.077779144635399249e-03,-9.786036503445087575e+00
-7.788237008017862353e-03,9.595661266527912708e-03,-9.811534077837034573e+00
-2.614028807472006371e-03,-3.266531237807641127e-04,-9.794864673477519545e+00
-4.535122269476462784e-03,4.552426991160547776e-03,-9.811777670022555853e+00
8.930986303576958843e-03,-2.396184558834558477e-03,-9.798118013334566001e+00
-4.065916455150882410e-03,1.340836818024204562e-02,-9.811372009234556657e+00
-1.770487721927305105e-03,-2.713578100195289042e-03,-9.807559705184681675e+00
9.897205203655713018e-03,-4.337894178019816027e-03,-9.794272300903358541e+00
-3.766949782682541947e-03,8.237786930762233109e-04,-9.787884068362762591e+00
6.858806284863675461e-03,-1.327178452908011263e-03,-9.812138472117124977e+00
1.681550112057530761e-03,5.575722011040969324e-03,-9.803005984263789330e+00
2.892711450771183902e-03,2.491616383951080881e-03,-9.800896258265655803e+00
2.188537559085813888e-04,-1.134988321695906211e-03,-9.808961273067561493e+00
-1.784618502706500310e-03,-3.724388511432246730e-03,-9.793491256022171854e+00
-1.197017287206550776e-02,-8.881823575453277539e-03,-9.805056550516493274e+00
6.490906849578212748e-03,2.556185752574650048e-03,-9.809069394208378867e+00
3.346763912447202425e-03,-7.786825770423840866e-04,-9.802451721104540994e+00
-1.838976037168510652e-03,9.997164920078906516e-03,-9.797034175158682245e+00
-5.316011312182848843e-03,9.763611529556731963e-03,-9.806813900074301316e+00
-6.645002237305879271e-04,-3.283512666211294614e-03,-9.812127863799814165e+00
-5.329320857814023177e-03,-1.127036607249021346e-03,-9.802779642029797458e+00
7.276277632489782168e-03,1.452679394218983101e-03,-9.811499122276716278e+00
4.422857086147318861e-04,7.398053542389827417e-03,-9.804005049424285190e+00
-9.294529281447029903e-03,-1.162681811578014299e-02,-9.812963449687867268e+00
-2.764077660937082175e-03,1.457885026544923981e-02,-9.800508087199862217e+00
1.577699084507710840e-03,-6.120111649396533203e-03,-9.774801322888695410e+00
-4.489558273776582398e-03,5.730119513047059144e-04,-9.776761834174662269e+00
5.275960311624441207e-03,-1.054451852499263889e-02,-9.803909091870353976e+00
-4.917934578652982842e-03,1.799136375495240811e-03,-9.800240714459587110e+00
-3.002414011038548021e-04,-2.656995088971689928e-03,-9.793809148059985148e+00
3.946396921638072736e-03,-2.211455489224783705e-03,-9.795542700498515387e+00
6.047633291327045996e-03,-7.698659772823429441e-03,-9.800168649394748854e+00
8.705562846773770265e-04,1.382385585282492040e-03,-9.798969182893650043e+00
-5.281635214479729785e-03,4.370143562069169906e-04,-9.801200788088594962e+00
-5.501981392491188394e-03,-5.371961625160994770e-03,-9.796816788705561052e+00
-1.584878227810082064e-03,2.609071793295038842e-04,-9.803257473606679540e+00
9.879912787312185307e-03,5.011872780987556425e-03,-9.808381861632074816e+00
5.912052774483811390e-03,7.456259069729497153e-03,-9.807649852320789563e+00
4.173116371544588650e-03,-1.381352552707722009e-03,-9.792171683852416209e+00
-6.351120023479987081e-03,-4.656054136405959193e-03,-9.799732270805165513e+00
