ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
1.329506971624693368e+06,-4.653783877429549582e+06,4.140027129508859944e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.329506971624693368e+06,-4.653783877429549582e+06,4.140027129508859944e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.329506971624693368e+06,-4.653783877429549582e+06,4.140027129508859944e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.329506971624693368e+06,-4.653783877429549582e+06,4.140027129508859944e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.329506971624693368e+06,-4.653783877429549582e+06,4.140027129508859944e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.329506971624693368e+06,-4.653783877429549582e+06,4.140027129508859944e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.329506971624693368e+06,-4.653783877429549582e+06,4.140027129508859944e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.329506971624693368e+06,-4.653783877429549582e+06,4.140027129508859944e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.329506971624693368e+06,-4.653783877429549582e+06,4.140027129508859944e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.329506971624693368e+06,-4.653783877429549582e+06,4.140027129508859944e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.329506971624693368e+06,-4.653783877429549582e+06,4.140027129508859944e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.329506971624693368e+06,-4.653783877429549582e+06,4.140027129508859944e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.329506971624693368e+06,-4.653783877429549582e+06,4.140027129508859944e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.329506971624693368e+06,-4.653783877429549582e+06,4.140027129508859944e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.329506971624693368e+06,-4.653783877429549582e+06,4.140027129508859944e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.329506971624693368e+06,-4.653783877429549582e+06,4.140027129508859944e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.329506971624693368e+06,-4.653783877429549582e+06,4.140027129508859944e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
