gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
1.329514110562280985e+06,-4.653778886105476879e+06,4.140055414888735395e+06,-2.631439921967717033e-01,5.886446860234499923e-01,2.071311826405957679e-01
1.329496054407796124e+06,-4.653792193120582029e+06,4.140026740529132541e+06,8.282124278144651353e-01,-3.372782885490713256e-01,-5.319700017221518085e-01
1.329505993477539625e+06,-4.653792162863874808e+06,4.140052112649050076e+06,1.166047681909346129e-01,4.147030172728812490e-03,1.167441858722019221e+00
1.329500094612735556e+06,-4.653785655735094100e+06,4.140050578105209395e+06,3.997163580225809171e-02,1.222602977586441896e-02,1.856654876282983979e+00
1.329505195830738638e+06,-4.653788664983315393e+06,4.140021384489727672e+06,8.233646715810009065e-01,-1.164908523842510257e-01,7.904576863475771820e-01
1.329513217328447150e+06,-4.653771700037872419e+06,4.140035082993968390e+06,1.277667682779695668e-02,2.255594687806100340e-01,6.704436024935157556e-01
1.329506398631521733e+06,-4.653776756875790656e+06,4.140034574214261491e+06,-3.957926966002175972e-01,7.046997103061420908e-01,-8.202407419648486409e-01
1.329506631083490094e+06,-4.653802771809239872e+06,4.140013232386833522e+06,-7.111777894630604002e-02,1.356185351654396742e-01,-2.152806652574514590e-01
1.329507174407511717e+06,-4.653782913580091670e+06,4.140035421600826550e+06,-6.390171957627490684e-01,-1.837325089965172187e-01,-5.357910115241153459e-01
1.329513591038226616e+06,-4.653786094989259727e+06,4.140025043876759242e+06,-8.282584933699640439e-01,1.479482033344995118e-01,-7.169814339119428004e-01
1.329523052425290691e+06,-4.653768402553422377e+06,4.140035740161828231e+06,1.971403058626916560e-01,2.964243245571373531e-01,2.313682010390588906e-01
1.329514404269802850e+06,-4.653765086334456690e+06,4.140046071193965618e+06,5.749414137503693345e-01,-3.144292096687518329e-02,-7.067189723190334671e-01
1.329507142704103375e+06,-4.653791925775730982e+06,4.140037769360665232e+06,-7.588153348468452686e-01,5.215093033907830522e-01,-3.529816883761272006e-01
1.329519413814285537e+06,-4.653784028631253168e+06,4.140037593553275336e+06,1.204657666040789554e-01,-4.118423191366194502e-01,-3.707461054858428029e-01
1.329512076921412488e+06,-4.653782691051857546e+06,4.140023403595912270e+06,-1.559985969670503285e-02,8.405301517651434517e-01,1.527435227368356685e-01
1.329522548135854071e+06,-4.653792194858717732e+06,4.140025955204435159e+06,8.785130308636357466e-01,-5.987181465291923077e-01,-8.356624151015599189e-01
1.329493442621061811e+06,-4.653790912405663170e+06,4.140016161414354574e+06,4.381028285331131089e-01,-6.690866195193130306e-01,-1.070400600254014511e+00
1.329521055441697361e+06,-4.653766108812353574e+06,4.140013862508730497e+06,-6.212066454122426862e-01,-3.221618403346704351e-01,-9.985793997190177684e-01
1.329485887945645256e+06,-4.653786243861505762e+06,4.140059468884475064e+06,7.011448177025506601e-01,-3.639275571767810469e-01,-2.969018756340348619e-01
1.329500567880894057e+06,-4.653775970652455464e+06,4.140034596449624281e+06,-3.226240498723541572e-01,9.130551351350943978e-01,1.355017407591305956e+00
1.329505236102454364e+06,-4.653787707356747240e+06,4.140042788144249003e+06,-6.252247586818380221e-01,7.789639641938654879e-01,-1.575528970935497597e+00
1.329522424776836531e+06,-4.653782082052055746e+06,4.140032578268216923e+06,5.775773177962130189e-01,7.821229617992380145e-01,7.881282310079480713e-02
1.329497523937127786e+06,-4.653776284442346543e+06,4.140015319724922068e+06,-8.206032520265714725e-01,2.512759821044662986e-02,4.434543483756012150e-02
1.329502449413198512e+06,-4.653784009481110610e+06,4.140057632985389326e+06,7.082987555224259379e-01,-3.684002073199324490e-01,5.975601550481969282e-01
1.329516025804327801e+06,-4.653785646389909089e+06,4.140035490697477944e+06,5.471082173239656399e-01,-7.064057966344537975e-01,-1.127150472401930559e+00
1.329504977438287809e+06,-4.653774541359192692e+06,4.139989797353078146e+06,7.929148404976696374e-02,4.882064898007442144e-01,1.065604033870980322e-01
1.329497631917375140e+06,-4.653792814290908165e+06,4.140038527519637253e+06,3.339024453160362171e-02,1.013128245833494062e-01,-6.495551245607491531e-01
1.329505036336480873e+06,-4.653791954174220562e+06,4.140034698320695665e+06,2.317570070773556645e-01,-2.750482077662784811e-02,5.190164542992744545e-01
1.329498327474649996e+06,-4.653782729331829585e+06,4.140044448685668409e+06,-6.383382583037455760e-02,-1.047923053838118568e+00,-1.099041137014752811e+00
1.329512760060244938e+06,-4.653760290702492930e+06,4.140015806301043369e+06,3.058170175909344923e-01,3.769902108257446316e-01,-6.029231728787483036e-01
1.329513683933167718e+06,-4.653796384767865762e+06,4.140033004222915042e+06,8.160529449845210781e-02,6.863478680150113531e-01,-9.513191109356340380e-01
1.329506440755121410e+06,-4.653789788727980107e+06,4.140064230905912351e+06,1.713577935255201912e-01,2.527203951076492736e-03,2.114759447781602852e-01
1.329522766569326399e+06,-4.653782847416452132e+06,4.140023573949634098e+06,5.430461327530285986e-01,-5.572881894909004208e-01,6.078418774083572673e-01
1.329484860200015362e+06,-4.653792697466359474e+06,4.140021397353774402e+06,2.227978482761454326e-01,3.055650329856541836e-01,3.008502965882624003e-01
1.329486659118848620e+06,-4.653804841442788020e+06,4.140001306433803402e+06,4.416367974811086783e-01,-1.173699936916205860e-01,-1.866952549682532325e+00
1.329515838971028104e+06,-4.653782275065189227e+06,4.140015466494431719e+06,5.871584649058805283e-01,2.896446234550052456e-01,-7.510671754598097216e-01
1.329505323254730320e+06,-4.653786343553383835e+06,4.140045953533594031e+06,-1.541316715766156975e-01,-5.662292495451370228e-02,2.012933171779129615e-01
1.329495827447394840e+06,-4.653770324452920817e+06,4.140029188407517038e+06,-4.377138417825415795e-01,4.297875935338690834e-01,-3.833579442359787426e-01
1.329520129231111845e+06,-4.653786827803181484e+06,4.140046419204491656e+06,-2.719894913695239946e-01,-8.304096766874864421e-01,1.914102439300551239e-01
1.329518817634540377e+06,-4.653796439812532626e+06,4.140012935777840670e+06,-3.831101989041205691e-01,5.096890627244757832e-01,3.395037947293200742e-01
1.329503914348998107e+06,-4.653790380432012491e+06,4.140021627406958956e+06,-2.841576566886712674e-01,-4.149793165511543869e-01,3.212002025312339915e-01
1.329496557071107673e+06,-4.653788627772108652e+06,4.140042075804462191e+06,-8.734673165388708860e-01,-2.510773891265453694e-01,-4.085348834878357871e-02
1.329513130081375595e+06,-4.653791927524909377e+06,4.140037246351304930e+06,-5.394592349406752280e-02,4.140256928640215772e-01,4.759602625443588586e-01
1.329498255793777527e+06,-4.653779523527245969e+06,4.140004320576176513e+06,1.112126873850034059e+00,1.170773042409966602e-01,9.816340093630815389e-01
1.329495316783936927e+06,-4.653789449400343001e+06,4.140009095585045870e+06,7.818586387747148425e-01,-3.295241701235051002e-01,-1.638195360564525194e+00
1.329509724255440757e+06,-4.653776315025581978e+06,4.140016547796346247e+06,-1.776972416171286318e-01,5.922538216774571040e-01,3.488644919412604573e-01
1.329517240482653491e+06,-4.653800598103811033e+06,4.140005860019489657e+06,-1.764646458420953135e-01,-2.093369137661968693e-01,2.027400573824151009e-01
1.329519248363499762e+06,-4.653781926478641108e+06,4.140042402207565028e+06,-3.800693261435458825e-01,8.841285480864926605e-01,-5.398559247608207823e-01
1.329509381355060497e+06,-4.653808579192857258e+06,4.140025053767320700e+06,3.090832110879166983e-01,4.240363450098301734e-01,-2.363841425752042924e-01
