gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-1.003756828561267779e-02,-1.227069833843226834e-02,1.172815370784026888e-02
-3.997749468760411484e-02,-4.508442983032081609e-03,5.019355553793433504e-03
1.244683627004517304e-02,-3.508422665809630969e-02,-3.588108586228327956e-02
7.207582432131761502e-03,-4.850224381890417408e-02,1.685519501451255772e-02
-4.429906791566751850e-02,-6.935086766442006244e-03,-5.992683893711622800e-02
5.361614369794806545e-03,5.163383256795440329e-02,5.906126171862662033e-02
-1.597879160095158277e-02,-2.286342832617400261e-02,-6.102209154543275678e-03
2.736065875575333095e-02,-2.175344501240784184e-02,1.350541772036567903e-02
6.719314693326633448e-02,-8.808257693666238231e-02,9.394230987169586988e-02
1.788795546655522553e-02,-3.612714069691356361e-02,6.978798661331097122e-03
-2.840212070831881278e-02,-6.108227572682194823e-02,-9.233631654624807616e-02
-3.595287233019878875e-02,-2.377959243623679192e-02,-6.869835279251668148e-02
-1.936315904317235242e-02,3.219149139151765426e-02,2.572916559492527400e-02
-6.484929272556358079e-03,7.183927645154069598e-03,-5.246276741386218107e-02
-6.096101985341175443e-03,-9.837306756008807294e-04,-1.101109060357202407e-01
2.360254171954096793e-03,-9.097320719335626193e-02,7.087484927057048634e-02
-5.186117229353029434e-02,7.087650550006023391e-03,1.758696453518990288e-02
4.379956004299553896e-02,9.196093260995262531e-03,-1.226125250986211113e-02
-2.623848641734474046e-02,-1.560515809847178720e-02,5.934200365208570915e-02
2.826852515998702284e-02,3.714626279141462501e-03,5.446291011490838468e-02
9.806780710725453154e-02,1.468425145231832185e-03,3.903008416529941960e-02
9.036078160276407936e-03,-5.215622612384832046e-02,1.075730722007167128e-01
3.409149359495831921e-02,2.757739719000707954e-02,1.772904574645652737e-02
2.893989002647823217e-02,-2.979596115961446329e-03,-9.329744892096101042e-03
-5.289762991206006099e-02,6.433437483985804395e-02,-2.016683295064583895e-02
5.239215845844100161e-02,-1.585971197119848131e-02,3.825729386110505482e-03
-3.074732353437554556e-03,-6.355673980667887746e-02,1.111925489144741964e-02
-3.639029552196775680e-02,-3.823444367367400537e-02,8.873923526147083074e-02
1.658643658422890785e-02,3.218961263672336093e-02,-4.558470081212169164e-03
-1.264107102445229669e-01,-1.726910120033478546e-02,-2.787693056638721866e-03
-2.880334401655657711e-02,-6.778214663466311518e-02,3.618453167491052225e-02
7.677638725948042475e-02,-1.960898660678946082e-02,7.857284745810833027e-02
2.025607630411596985e-02,-3.205525029121442104e-02,6.519511957997105311e-02
3.505369774732521732e-02,3.895450996780602110e-02,2.558765780989219474e-02
4.407347389160425066e-02,1.107812606700666822e-02,4.087942026752968555e-03
-5.176412649613957272e-03,1.937373090173209050e-02,5.607035066350830183e-02
-1.880839243689859039e-02,7.870368552798516493e-02,4.109323243176982859e-02
3.507812985518800331e-02,-2.309499912958327961e-02,3.305833435899217798e-02
-1.796228542451245788e-02,-2.274696641123623644e-02,3.508327215806966476e-04
-4.130079720953087896e-02,5.633165585668451630e-02,-7.877422755735398463e-02
-1.635428721168453309e-02,3.313126125516053372e-02,2.625872226811597210e-02
-3.900651222655533018e-02,5.475221969507213654e-02,-1.715431735639044025e-02
-7.659744396958407565e-03,4.206848594952560666e-02,-6.001198238613331820e-02
-4.626833024523589744e-02,2.146188537064571897e-02,4.672611535306516600e-02
-4.956613269427422030e-02,4.329369240636861578e-03,2.159067639149202071e-03
-9.406298106396020903e-03,4.590402559208434270e-03,-6.119517027896956979e-02
1.849757772477963330e-02,2.536042634541836246e-02,-1.278585318814813403e-02
-6.984051481424659313e-02,-4.082067953842074409e-02,-4.955118153704235473e-02
-2.702275541076306145e-02,-5.603220833544479695e-02,-1.058926262231714779e-02
7.200974163946879947e-02,8.097724345630106721e-03,3.581683518369264962e-02
4.712174229062717108e-03,3.179832434289538851e-02,6.242228819970827708e-02
4.725161825154617495e-02,-4.474497323530342990e-02,-3.280635520440131070e-02
-5.406652362922550331e-02,6.422693602666851298e-02,5.441595060669519868e-02
-5.057784462041121226e-02,4.958505847903927483e-02,3.398967707906097591e-02
-2.995502533446081292e-02,2.135242439538946949e-02,-3.153694476060747709e-02
-4.948666111281562613e-02,1.771114038232785709e-02,-4.584101295818185200e-03
-5.196132090703917128e-02,-2.920550693803766057e-02,-7.453124650831077780e-02
7.299839118537694224e-03,9.236555242555427592e-02,-9.694544566579653411e-02
1.094900578133109828e-02,-8.920271312975611155e-02,-3.459696472747773172e-02
7.103612109548768094e-02,-3.640679345189126725e-02,2.638405266749146647e-02
2.571798040408158730e-03,2.171127726220034235e-02,6.658735597864302858e-02
-7.404458002556543739e-02,1.910727503260262541e-02,5.730717559889806148e-03
6.782031838219514108e-02,6.397656992491784766e-03,-1.116333340516616375e-02
-4.197977741499420157e-02,5.317563897976831933e-02,3.932704331716422447e-02
-4.564798145905616528e-02,-6.275237395514437523e-03,3.106765190418686595e-02
-1.309672649257548512e-02,-4.531574550459264300e-02,8.706458784585108940e-03
-5.313169763367780324e-02,-1.470264160855668141e-02,3.041917917005785080e-02
2.995410917333633447e-02,6.006903934846209020e-02,2.447549918649601086e-02
1.020012120871787017e-03,1.413855411412872840e-03,-7.375356633632583481e-02
-7.021270760196211824e-02,5.451896806763189413e-02,2.395012687213531055e-02
7.666907232150346752e-02,1.376112818083027531e-02,7.668835360168252402e-02
3.326629124560301354e-02,2.817460117173162248e-02,2.758760705287484349e-02
1.176772596013525018e-01,-2.182221590026785923e-03,-2.517076658071553882e-02
-1.002311466495290487e-02,-1.079209402891032343e-01,1.043358381672249702e-01
3.549252453681660258e-02,-5.152871626132848881e-02,6.461189940410326515e-02
-3.160332326871494873e-02,1.773033489566842175e-02,-1.415066820256904827e-02
3.686523157597258737e-02,3.621135848035710730e-02,-2.448891248174467697e-02
9.505007108764979007e-02,3.208785429354413937e-02,-6.675851172153006441e-02
3.826363764222929370e-02,7.224003278012458562e-02,2.905046896552110000e-02
4.508575340652828251e-02,4.082818808975539893e-02,5.556996610247741386e-02
-6.573700042420337064e-02,-1.733521506984796829e-03,-1.676307186987948186e-02
-4.843753636818422942e-02,-3.152202057085518733e-02,7.583598553138391762e-02
-3.094774550417988407e-02,2.725941753019259922e-02,-2.171022797508840099e-02
2.542871392010493878e-02,2.419057343958830666e-03,5.656156898515053884e-03
-6.313830732355694975e-02,6.629622956343203533e-02,-1.289089169676219948e-01
-4.983087026840137684e-02,3.852508945619662149e-03,-5.477378724010186634e-02
-2.100164180101095888e-04,7.194309818233771830e-03,-2.758493344438297645e-03
-1.550326580031390761e-02,-3.159676857402606703e-02,2.572640431361385149e-02
-6.385241135808189528e-02,-8.647768430617200353e-02,-6.598327204768955449e-03
-4.276646305348207056e-02,-4.293023628541571546e-02,6.475063067218576060e-04
7.889127419117347717e-03,1.579201167358199043e-02,-2.208336202810224150e-02
6.261825382911391340e-03,-3.310709729764811649e-02,-1.086027539806615379e-02
-1.149966436151877124e-02,-1.727034378492116329e-02,-1.574939312086750393e-02
-1.402906878361471522e-02,-4.676801075485636366e-02,-3.580332986228876215e-03
6.416989251888077783e-02,2.338393758702779143e-02,8.622200933693421887e-02
-5.942614437212155598e-02,5.239459834420433920e-02,1.495463466216909697e-02
2.713312721639529052e-02,1.152266156865416587e-03,-4.225132518050562017e-03
-5.372979370244306691e-02,5.023278379428029738e-03,4.674996951547988333e-02
-5.342691638146563476e-02,-6.171991909904640111e-02,-3.409511885851447544e-02
-9.458060059462855551e-02,2.948483300724169965e-04,8.826189564375301611e-02
7.625488742667019260e-02,4.201507910492736225e-02,-3.635926162706962922e-02
5.018998525436889520e-04,1.308947201634330995e-02,-3.933799696753523950e-02
-2.688111039325866494e-02,-1.344766245314998193e-02,2.774754456634950101e-02
3.744737013772784986e-05,-6.514624415940199753e-02,1.372353344781185314e-02
2.998999361611658782e-02,1.560538533305662681e-02,-4.912193782244601153e-02
-3.833515709716545788e-02,5.766672732301680177e-02,7.364033082223093996e-02
-4.538414831670266325e-02,-7.441175355112990275e-02,7.582370460527616644e-03
-3.634803316634912379e-02,4.168792183303810656e-02,1.208984295245941164e-02
2.123745848769094391e-02,2.875320588558015825e-02,-3.040244030401849373e-02
-1.201802580681318733e-02,-1.134693320457786508e-02,1.155324729087163493e-02
-3.095403143331552573e-02,-3.107872342057629422e-03,-4.353928733404207989e-03
1.097747191201833838e-02,4.692368827350760357e-02,-2.615433983295823925e-02
3.465492919402555355e-02,4.910125346727423068e-02,3.907026785816435088e-02
-7.576503057269683150e-02,-1.533617171515322918e-02,-4.460961412342866195e-02
9.805422850413689217e-02,-4.254071163572458597e-02,-1.912576109071671693e-02
3.392664459053285758e-02,3.381905943804740244e-02,9.757403350261288633e-02
-9.604156484959502221e-03,5.142777544408982243e-02,-5.268109806215909990e-02
-3.136737104681478622e-02,1.150045306809014123e-01,1.397072829123408889e-02
4.256106498067957489e-02,-1.258568011188013550e-02,5.023201246246652291e-02
-1.556981344592843009e-03,-1.902006770870562011e-02,-5.624950724164987093e-02
-3.095315548040679723e-02,6.537050193733738579e-02,4.594649274958154811e-02
3.780921042366090085e-02,2.826845007280639685e-02,-4.917713865262313133e-02
4.445408356544754136e-02,1.923751221940482939e-02,-8.540305196313572808e-03
-6.028325455133396599e-02,1.685574220243673052e-02,-4.439295944761412899e-02
6.104766830794994964e-02,1.801620104493001709e-02,3.753253137898626690e-02
6.409061463194226649e-02,3.291851537619215617e-02,-5.367249333718122906e-02
2.520862944421579932e-02,-1.454971383817556425e-02,3.671995299008504882e-02
-3.698827937480487354e-02,-2.857991245496659116e-02,-2.817114199972534441e-02
3.464188892878902054e-02,5.708241053316050889e-02,-6.903867941141283993e-02
-7.089783211144672082e-02,-7.102271833544399060e-02,-5.155210291444362047e-02
-3.798631359393547097e-02,6.084153806318762236e-02,-4.463811947656677603e-02
-2.447019754408030073e-02,4.138015493262933026e-02,6.236726027784696841e-02
5.267557071472315361e-02,1.313148110035474228e-02,-5.606936872074338996e-02
-5.000545914387964641e-02,5.789539621641725392e-02,5.590865839855140712e-03
-5.009842833671881122e-03,-3.102282019952935788e-02,9.241485265778044342e-03
