carrier_phase_1,carrier_phase_2,carrier_phase_3,carrier_phase_4,carrier_phase_5,carrier_phase_6,carrier_phase_7,carrier_phase_8
108656310.34813818,122803980.90785709,123400057.79161914,126033280.27624817,109135115.73518565,102202868.86116174,95062379.74359947,96181713.85843953
108656233.21628045,122803928.11617444,123399987.54782292,126033367.55560064,109135023.16870572,102202913.72359815,95062471.06235899,96181673.2695531
108656250.46974626,122803895.87343092,123400091.43145387,126033392.74881326,109135062.6953543,102202941.44929707,95062467.99554619,96181678.41994601
108656225.36775112,122803843.75719853,123400117.63588838,126033355.94487606,109135014.74629055,102202961.01498948,95062394.47343268,96181673.4678313
108656394.31816354,122803849.7580635,123400023.47031252,126033289.29213504,109135144.33043352,102202866.8553289,95062496.62907109,96181752.37680338
108656282.13707384,122803955.96498682,123399980.19492026,126033299.48975137,109135168.9281416,102202819.35646546,95062434.58319192,96181648.71774696
108656361.23430909,122803886.45788157,123400030.30004646,126033358.48947968,109135047.98251215,102202974.57734369,95062452.41487156,96181674.46369207
108656326.17541921,122803878.75070114,123400029.12649003,126033346.21635309,109134979.62298709,102202838.97688363,95062521.7718676,96181626.43671367
108656376.23229212,122803862.59576349,123399986.02529752,126033277.61674632,109135097.9225419,102202890.15208137,95062494.34884074,96181568.03341602
108656331.19093531,122803940.09075858,123399955.91607298,126033392.5404388,109135048.93750754,102202905.8761497,95062555.86865884,96181694.14084327
108656273.34734635,122804004.09883514,123400039.81387807,126033354.29771386,109135076.68936399,102202901.45905516,95062471.09433891,96181735.16947696
108656320.35668953,122803911.11074011,123400071.7316408,126033377.07465647,109135142.20377523,102202860.22587155,95062568.75929853,96181664.5100728
108656384.9230283,122803969.33112802,123400061.57281733,126033417.31898521,109135020.36640093,102202810.20179437,95062454.79867153,96181653.56293322
108656263.801135,122803918.50900818,123400018.25663087,126033420.76796807,109135009.80077621,102202862.89545707,95062480.96627113,96181691.86424945
108656343.57780641,122803953.93612675,123400016.81985761,126033396.08541374,109135039.72552112,102202892.67402336,95062462.53728816,96181664.54428738
108656385.416109,122803915.75983405,123400011.20053379,126033326.110843,109135018.3078363,102202890.14479673,95062404.45399773,96181694.38241625
108656364.8548539,122803955.872834,123400099.26045294,126033259.90788291,109135076.18559264,102202862.63913809,95062360.0316597,96181640.15097462
108656372.92267413,122803944.08141658,123400057.64695014,126033377.83833009,109135097.53794916,102202874.61301172,95062523.8715594,96181582.02722372
108656285.66930546,122803897.56477195,123400045.88258174,126033268.26032256,109135214.27652098,102202881.49577759,95062501.63396508,96181703.65922174
108656365.87797742,122803918.45997863,123400002.69698298,126033380.84022759,109135099.71473595,102202870.26490445,95062470.01634377,96181587.42855415
108656361.86781707,122803890.81611775,123399991.21072666,126033400.76861712,109135016.41203147,102202885.76193213,95062428.73593028,96181691.26739246
108656407.1446261,122803938.09423596,123399978.51576656,126033396.65883876,109134969.67405304,102202899.44517606,95062445.14190695,96181621.49824211
108656248.47389498,122803951.73814414,123399935.99143359,126033323.12508619,109135034.55572589,102202829.20357364,95062352.41403216,96181697.61229801
108656283.89399658,122803986.5825653,123400007.13866422,126033272.41369343,109135137.61560899,102202875.36049011,95062419.89862803,96181659.73076391
108656213.35296759,122803942.19059634,123400010.09464444,126033312.92411427,109135088.40941179,102202897.63644809,95062355.48866756,96181669.74521965
108656289.36019848,122803831.52535103,123400041.26246677,126033353.01683167,109135115.88152921,102202788.82465157,95062399.51186201,96181668.86631633
108656294.14314781,122803930.90436259,123400090.22553475,126033291.98351352,109135180.1878805,102202832.1441211,95062459.92368752,96181737.59102568
