mag_x (uT),mag_y (uT),mag_z (uT)
1.363898137289057466e+01,1.589286826372818062e+01,4.626304803547511568e+01
1.346423518609569925e+01,1.606790220154154625e+01,4.649961189160610786e+01
1.321582003943927930e+01,1.587841004854488247e+01,4.614256351476306151e+01
1.318243034029898730e+01,1.615462291054596378e+01,4.606137407292489172e+01
1.355647857448008331e+01,1.611092328758816450e+01,4.628687408409424364e+01
1.349676218673123174e+01,1.620580910999500901e+01,4.641066132048845816e+01
1.368105572218268939e+01,1.608904368698360088e+01,4.629905579322639397e+01
1.327555335413783233e+01,1.571765820004540615e+01,4.642874165355674876e+01
1.341617173166089216e+01,1.594886402656261915e+01,4.644578949167861026e+01
1.346792961064099714e+01,1.597149243818443054e+01,4.621815747142443342e+01
1.370145048034865631e+01,1.622593290226092577e+01,4.624154958479273603e+01
1.360617103923060434e+01,1.575004466837695993e+01,4.620510954532620218e+01
1.361540512310242867e+01,1.585045033372217560e+01,4.655525917325526564e+01
1.344111845636850866e+01,1.601666641442755434e+01,4.626464725265775968e+01
1.348755948265028515e+01,1.602675480187778945e+01,4.657014349737646342e+01
1.368721644745570032e+01,1.619770488941715669e+01,4.615337933515539248e+01
1.328075885409267087e+01,1.633899657940689210e+01,4.645340000670002922e+01
1.341504753137820494e+01,1.629012681339265001e+01,4.638313936522252590e+01
1.336674442012964192e+01,1.580679278756815798e+01,4.614100595406267047e+01
1.323113004330030762e+01,1.597834832066313382e+01,4.617257460844839301e+01
1.338847383286237580e+01,1.595901825859930945e+01,4.645194627506845109e+01
1.330564350862656475e+01,1.627553999543464514e+01,4.628471188685195159e+01
1.341417713400046985e+01,1.604510046645696164e+01,4.624419749414826697e+01
1.322013295058174798e+01,1.601445511467438720e+01,4.663654905709019971e+01
1.328290655616890525e+01,1.602756522360378000e+01,4.648412886253144904e+01
1.351830719654628155e+01,1.587869512502369673e+01,4.613014914493101060e+01
1.334638363551236573e+01,1.634601424479481580e+01,4.630717984768559603e+01
1.362739575549336379e+01,1.630187739492775378e+01,4.638890322225197593e+01
1.359798651594456764e+01,1.621504150708312508e+01,4.643095470915518064e+01
1.338999775731231523e+01,1.620354665890046064e+01,4.621912188955782597e+01
1.348497937183906004e+01,1.556172551240794455e+01,4.635339708580464446e+01
1.345804637307105089e+01,1.603988811153499583e+01,4.641745206597315843e+01
1.348755404899825017e+01,1.608249245853948040e+01,4.629768336610734991e+01
1.349832200004793847e+01,1.598342770970292648e+01,4.606761973305683711e+01
1.349715142224417441e+01,1.627706031457125846e+01,4.626434229684443267e+01
1.358117023098183829e+01,1.571308735271048462e+01,4.635710913703371006e+01
1.345301644483253156e+01,1.585263816731664299e+01,4.609588619569012025e+01
1.320099069348475673e+01,1.582749298154889672e+01,4.632534972636628368e+01
1.359262931499986315e+01,1.587663136083814130e+01,4.675755611560130376e+01
1.344870789441863046e+01,1.577184679014613522e+01,4.618846470434815643e+01
1.343983013051912678e+01,1.555830093516921764e+01,4.623727992166225675e+01
1.354571604751283687e+01,1.599392626672396744e+01,4.621080979277444101e+01
1.334654271632328992e+01,1.593056467092574202e+01,4.631355440941967316e+01
1.334486493287947084e+01,1.597933443952991617e+01,4.623070405351767675e+01
1.342163560514695320e+01,1.595852620247907794e+01,4.641116965475028877e+01
1.315902600793236488e+01,1.602473719855119683e+01,4.595868965672034534e+01
1.346168893093736862e+01,1.585384511158571819e+01,4.599965701163174714e+01
1.322988324857146658e+01,1.623880748131969654e+01,4.653769606184092567e+01
1.293085502795531738e+01,1.617486197103461620e+01,4.649501898659227805e+01
1.348953633107218764e+01,1.617625219688380511e+01,4.647548546259067592e+01
1.362096907596720285e+01,1.584908567387369516e+01,4.658380085647252855e+01
1.305323589670426010e+01,1.587899778005077778e+01,4.589249559725710270e+01
1.346422319846436721e+01,1.606388476291665057e+01,4.650061772279595829e+01
1.322208693450370731e+01,1.559970437752932959e+01,4.654814967256448455e+01
1.331541142575200176e+01,1.605357249369981432e+01,4.606355309552476029e+01
1.370572846325492478e+01,1.584658084625748664e+01,4.618779922373777680e+01
1.321969722976981743e+01,1.573212562986610585e+01,4.607671909891788431e+01
1.317811885283578555e+01,1.620333572394133625e+01,4.634164667904214951e+01
1.310706338773221091e+01,1.618753589760362033e+01,4.638592768744376826e+01
1.322820451311482870e+01,1.636278657694625593e+01,4.615740337524797354e+01
1.342037413285000191e+01,1.600660423611267902e+01,4.650462670024086975e+01
1.340394428503933533e+01,1.574074715792048806e+01,4.601291182340797548e+01
1.321474761534607190e+01,1.612309072364746498e+01,4.621708222658856613e+01
1.353755315344091770e+01,1.598893378054541969e+01,4.673066679385085109e+01
1.384914665582106252e+01,1.590481792058890953e+01,4.667223782776901686e+01
1.355858151645519705e+01,1.630653493230018114e+01,4.642040330510485546e+01
1.353406871629438690e+01,1.563920586636988652e+01,4.652737120824639305e+01
1.347058283578392768e+01,1.595709935195782947e+01,4.635774231680994717e+01
1.324254667620837189e+01,1.589171928481895080e+01,4.642121760289357724e+01
1.354890481801004043e+01,1.577288793460232696e+01,4.642656477939053872e+01
1.377891539175341151e+01,1.616915209229430772e+01,4.618594457933684083e+01
1.332920883840288084e+01,1.595324850181006404e+01,4.635751950302410762e+01
1.348014843673349716e+01,1.631351163642091606e+01,4.622954864053592416e+01
1.329918333148682663e+01,1.582551906720138213e+01,4.629086926039497740e+01
1.338864627541759234e+01,1.614409199467774414e+01,4.648225604834279068e+01
1.348056873285578128e+01,1.595911602266567009e+01,4.648180027406191073e+01
1.351089381018890734e+01,1.603202768133834866e+01,4.632588766224969845e+01
1.351129350881145008e+01,1.634527285240878669e+01,4.609249986272564570e+01
1.328178578146520117e+01,1.599859871089927310e+01,4.664517728207656688e+01
1.361837295463501896e+01,1.594849465598839799e+01,4.636482552502325660e+01
1.350914183927526402e+01,1.585488577555860168e+01,4.628154821609540903e+01
1.334099014875875255e+01,1.584818606257857532e+01,4.602857825663618030e+01
1.350427070600072277e+01,1.633124769554841649e+01,4.643762315686956299e+01
1.358876231443563043e+01,1.594240948281198378e+01,4.669203407289904817e+01
1.362854771285339872e+01,1.581008041828258115e+01,4.683049289564506523e+01
1.325580009395010883e+01,1.603580636916207425e+01,4.640937076490818924e+01
1.380520512895590635e+01,1.604372095818703770e+01,4.642740598097024929e+01
1.353420268098201973e+01,1.589158392995884306e+01,4.596181193201914539e+01
1.356956591548999747e+01,1.653329318254478153e+01,4.677975829910764105e+01
1.370133421642336025e+01,1.595302458981303850e+01,4.647883892367742220e+01
1.343404048320877564e+01,1.597303576321680296e+01,4.605659858448385791e+01
1.354108433530300459e+01,1.599502056268008943e+01,4.624800481375154249e+01
1.348409235597339695e+01,1.575820254471952531e+01,4.616052805186122754e+01
1.338039386011545062e+01,1.629227129083779602e+01,4.630320866983958439e+01
1.342356791434125718e+01,1.598249530128562235e+01,4.649126810333990534e+01
1.362711690083407667e+01,1.570722130490394441e+01,4.634339880905401543e+01
1.322537052205340480e+01,1.568397122352150319e+01,4.604953063603709040e+01
1.346330264980881175e+01,1.581815891323517675e+01,4.679777461509987546e+01
1.388400787011807758e+01,1.575311767375156080e+01,4.612281077837359078e+01
1.346785220475835132e+01,1.593205279617163939e+01,4.641411160513626299e+01
1.324390236880075378e+01,1.602223280954128981e+01,4.648567098779182771e+01
1.354610129706570554e+01,1.606948835410464227e+01,4.599284597723738699e+01
1.335030869688556088e+01,1.585435484167150300e+01,4.636529286336298838e+01
1.363488141567119882e+01,1.654483912181932581e+01,4.623851703865609153e+01
1.350661572202740146e+01,1.640106497405145447e+01,4.621224594682099251e+01
1.338515881157486476e+01,1.590206755960950247e+01,4.647398681338702886e+01
1.326507802534960589e+01,1.584204231238606830e+01,4.659767541077580688e+01
1.335132813865523183e+01,1.593731214571569232e+01,4.627928185954164064e+01
1.399262853507923232e+01,1.638428633797362721e+01,4.643905571231129414e+01
1.324377874266469490e+01,1.579901273673047157e+01,4.635599049507926139e+01
1.367448999664987319e+01,1.608436454095144441e+01,4.609218208034703679e+01
1.330745961868199956e+01,1.606765295874788180e+01,4.634592828274902843e+01
1.313089873785430939e+01,1.636344601631600781e+01,4.640640230273368161e+01
1.355831186192330762e+01,1.586913829960943900e+01,4.615784605956044118e+01
1.341591317060636435e+01,1.577990328878673054e+01,4.629864968332481112e+01
1.328883202670246355e+01,1.590523263618329963e+01,4.642019626945567978e+01
1.348460323165642372e+01,1.590235331784983686e+01,4.602129102359096180e+01
1.355218555980284201e+01,1.593583699051731628e+01,4.618904108727372915e+01
1.328159141689419442e+01,1.625169837766011227e+01,4.639714015086232024e+01
