pseudorange_1,pseudorange_2,pseudorange_3,pseudorange_4,pseudorange_5,pseudorange_6,pseudorange_7,pseudorange_8
20200003.66935294,22321338.20271611,23200012.843641497,22321314.289729394,20200012.303358275,18078682.66200022,17199990.84771187,18078693.505706124
20199988.988539547,22321328.155826613,23199999.474319067,22321330.9036256,20199994.689582083,18078691.199007723,17200008.226164453,18078685.783274267
20199992.275407366,22321322.017716717,23200019.241317477,22321335.696790066,20200002.208763666,18078696.47704148,17200007.640114225,18078686.765843917
20199987.49769439,22321312.099390507,23200024.228087574,22321328.69170739,20199993.087169435,18078700.199869398,17199993.6499659,18078685.823666044
20200019.647856627,22321313.241075285,23200006.310677588,22321316.008826435,20200017.74256922,18078682.279514782,17200013.093716446,18078700.838957388
20199998.30109268,22321333.45156368,23199998.070296228,22321317.946156047,20200022.42781046,18078673.240375325,17200001.28585977,18078681.11226705
20200013.353171397,22321320.225811098,23200007.612408895,22321329.17667365,20199999.409647863,18078702.77787543,17200004.67728284,18078686.010199897
20200006.678586673,22321318.756678354,23200007.38766539,22321326.83762176,20199986.40198756,18078676.973481957,17200017.875405278,18078676.873349678
20200016.20368712,22321315.6832933,23199999.182898536,22321313.785934824,20200008.913119156,18078686.71208979,17200012.658890914,18078665.75926546
20200007.64098208,22321330.432820372,23199993.453495435,22321335.650726397,20199999.593038306,18078689.70535413,17200024.365071096,18078689.75836281
20199996.626151957,22321342.61424243,23200009.420020435,22321328.37788608,20200004.875150956,18078688.868585914,17200008.234136768,18078697.56272675
20200005.5733647,22321324.914388105,23200015.495749936,22321332.711914696,20200017.3413976,18078681.015607886,17200026.81911056,18078684.120544244
20200017.856458135,22321335.996591713,23200013.562383853,22321340.37135347,20199994.155571464,18078671.496526748,17200005.132363863,18078682.036265165
20199994.80978156,22321326.32910889,23200005.31890876,22321341.02485383,20199992.14794997,18078681.52585012,17200010.113659028,18078689.326035824
20200009.989674047,22321333.068841286,23200005.042675056,22321336.33241476,20199997.84012465,18078687.192815423,17200006.60452442,18078684.123945083
20200017.9565076,22321325.806138277,23200003.977591634,22321323.01190405,20199993.76229559,18078686.71115704,17199995.550963968,18078689.802204665
20200014.037612252,22321333.43149337,23200020.732498627,22321310.414894424,20200004.777424052,18078681.475581307,17199987.101435095,18078679.48457479
20200015.57655486,22321331.18871,23200012.812182624,22321332.85490026,20200008.841896176,18078683.75625035,17200018.27670623,18078668.416791946
20199998.96973068,22321322.337986305,23200010.57577804,22321312.004854195,20200031.055626743,18078685.06470455,17200014.043681014,18078691.565964844
20200014.22969849,22321326.315706644,23200002.35644238,22321333.4319409,20200009.25623308,18078682.930673584,17200008.02419218,18078669.451363232
20200013.472439416,22321321.05665276,23200000.171535138,22321337.223613594,20199993.40650581,18078685.874441914,17200000.169827178,18078689.20604178
20200022.084819045,22321330.050315198,23199997.75399591,22321336.44024207,20199984.50929646,18078688.47950314,17200003.290608205,18078675.929938883
20199991.89392478,22321332.65130844,23199989.665235214,22321322.447216246,20199996.856982704,18078675.11302616,17199985.647244666,18078690.412797093
20199998.630616773,22321339.276816987,23200003.202418517,22321312.791158095,20200016.468592856,18078683.89623308,17199998.492555313,18078683.205603283
20199985.208678816,22321330.833638355,23200003.76433329,22321320.504955757,20200007.10295205,18078688.13565123,17199986.229264945,18078685.11628705
20199999.674561366,22321309.772594944,23200009.69407807,22321328.136884782,20200012.33275279,18078667.43081127,17199994.613296166,18078684.94611368
20200000.584258232,22321328.683506228,23200019.015122067,22321316.520611465,20200024.569131542,18078675.674218927,17200006.10482061,18078698.022164762
20200010.371381655,22321335.878619857,23200004.831741873,22321337.607951,20200005.2348784,18078702.668426704,17199998.678296153,18078695.319385372
20200004.648584764,22321326.49634091,23200004.860079035,22321345.577999506,20200008.224225122,18078680.77570786,17200017.44500175,18078672.399363916
20200003.459703404,22321333.50084988,23199999.375075027,22321318.095494337,20199990.6254541,18078677.035283834,17199988.578152712,18078679.25170954
20200022.7298426,22321335.028798807,23199989.626501456,22321315.762355197,20200004.183735516,18078696.152681597,17200006.492926788,18078696.2699015
20199993.574975707,22321323.418612633,23199998.844174158,22321319.58719259,20200017.48707389,18078686.43036698,17200016.193111546,18078696.663065936
20199999.71378933,22321331.269583687,23200021.81461404,22321332.502222866,20200010.780317884,18078690.05794826,17200006.132085618,18078655.534410577
20199996.959711425,22321326.077756174,23199999.067873076,22321319.52096914,20200005.617094446,18078703.659311876,17200015.484827228,18078683.25911077
20200008.951555,22321334.482813124,23200022.296373893,22321335.259282947,20200009.465795267,18078708.43480481,17200028.56016579,18078703.97300001
20200015.88296408,22321325.8775468,23199993.721449677,22321322.722787112,20199997.16670367,18078689.592130158,17199999.07174655,18078688.139298517
20200015.149102338,22321337.644269403,23200008.39569194,22321330.017234262,20199986.37352231,18078684.18625047,17199997.29574629,18078686.44568314
20200003.181227237,22321326.674529538,23200003.091246042,22321344.32013452,20200022.18867681,18078691.581528295,17199998.750784516,18078703.884035178
20200008.83071731,22321321.66746959,23199997.574570525,22321319.24658907,20199992.18788885,18078690.551687762,17200003.452822287,18078688.75331741
20200020.323475793,22321318.235947244,23200019.257331077,22321325.28869253,20200027.403810855,18078691.528913114,17200007.65212039,18078696.866022553
20200007.621027883,22321335.63208945,23200011.923975453,22321329.137361888,20200009.421379767,18078683.362439774,17200011.833941106,18078681.079229467
20200013.957818374,22321340.549487453,23200011.94285533,22321324.536189273,20200007.849941276,18078710.641730502,17200012.293427195,18078686.348718062
20200025.993253317,22321316.110592145,23200016.756477956,22321325.50088151,20199993.206678405,18078666.777073435,17200007.413318,18078696.892643377
20200005.966472995,22321332.16574165,23200023.453476105,22321331.273161117,20200009.34074656,18078689.116898067,17199981.454393987,18078690.254593283
20200010.069700446,22321318.943827715,23200013.313418806,22321314.552746855,20199998.245536707,18078679.055154923,17200008.957080055,18078670.267420385
20199997.262130573,22321303.772599284,23200023.45426526,22321322.88193,20200002.70614848,18078669.100222707,17200006.10301534,18078687.27118848
20200015.607689425,22321335.04507689,23199994.80106716,22321341.10095975,20200032.160630237,18078679.997507494,17200011.270946916,18078682.023612436
20200025.336808253,22321332.338369828,23200008.8279121,22321325.578917082,20200015.277025003,18078686.154214963,17200017.32804898,18078685.0734661
20200015.458450444,22321319.550726186,23200009.48250333,22321334.68152369,20200007.798723165,18078679.701550927,17200023.379017998,18078686.747145776
20200006.602232866,22321343.062056366,23199995.11391475,22321327.245375585,20200012.128714982,18078674.57366608,17200009.129688878,18078675.848152373
20199996.32571215,22321340.284508657,23200005.39021508,22321350.763566177,20199993.599348385,18078683.07168734,17200010.357280917,18078668.895699274
20200014.609689377,22321324.144860543,23200019.78193438,22321353.44143875,20200014.90468412,18078689.97925781,17200005.39957509,18078696.789513435
20200006.36359735,22321324.296772122,23200002.23735924,22321325.68007084,20200013.08474762,18078666.124281388,17200007.708871286,18078689.369481128
20200029.825260438,22321332.887415178,23200001.152015157,22321313.54455023,20200000.89626623,18078679.947519,17199981.935181055,18078679.97777402
20199999.019400313,22321317.253496133,23199972.78693493,22321330.093264658,20200013.05090712,18078696.337937977,17200000.563915774,18078673.600028444
20200005.571183175,22321324.539941773,23200016.57821215,22321329.485446233,20199990.27223225,18078669.043053787,17200018.479866095,18078704.81166944
20200018.1702814,22321330.322399694,23200018.590229128,22321322.5705958,20199988.099200994,18078701.37407963,17200013.36776395,18078700.766478583
20199997.24038427,22321313.50691364,23200005.482370116,22321328.095384587,20200016.752824783,18078703.3022952,17200006.95571023,18078685.267623402
20200002.437950224,22321316.262364116,23199998.782326978,22321328.570552453,20200026.43239453,18078692.601503953,17199991.482729208,18078692.62424411
20200002.088748403,22321349.080041498,23199992.721300904,22321310.159485303,20200020.890108444,18078681.384666372,17200008.30139803,18078687.923065044
20200011.061283633,22321333.860881157,23200005.0311033,22321319.362121858,20200008.841346033,18078681.44908798,17200009.62355159,18078668.927686088
20199997.06600094,22321328.19483991,23200018.065404266,22321309.826949745,20200019.36754389,18078686.710344996,17200009.96109322,18078679.63898552
20199994.45312164,22321336.466265246,23200005.8227694,22321318.153412435,20200011.954922516,18078684.869669616,17200000.548154842,18078691.92488206
20200019.460463114,22321342.387113508,23199992.178935226,22321350.434548914,20199996.080783185,18078686.20777697,17200022.409956317,18078695.32153685
20200013.268956028,22321337.78658025,23199998.92090182,22321325.23070231,20200017.97018996,18078690.2453108,17199999.198495716,18078682.892926235
20200009.167802744,22321326.05375613,23200005.57841437,22321335.4766527,20200009.396787062,18078674.70584818,17200018.307849523,18078682.1790973
